layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
qualification-6d-candidate_2025-01-02_2025-01-02_1515_return_corr_graph_community_001,qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1515,2025-01-02,2025-01-02 23:15:00,1515,45,return_corr_graph,C001,30,"ABEV,ABR,ABTS,ACCO,ACDC,ACGLN,ACHC,ACI,ADEA,ADM,AEE,AEM,AEO,AEP,AGNC,AHH,AIM,AISP,AKR,ALGN,ALLE,ALRM,AMCR,AME,AMTM,AMX,ANIP,AOS,AOSL,APD"
qualification-6d-candidate_2025-01-02_2025-01-02_1515_return_corr_graph_community_002,qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1515,2025-01-02,2025-01-02 23:15:00,1515,45,return_corr_graph,C002,20,"ABAT,ADI,ADTN,AEHL,AER,AFRM,AKAN,ALAB,ALGM,ALKS,ALKT,ALLT,ALRS,ALXO,AMAT,AMKR,AMRC,AMSC,ANY,APH"
qualification-6d-candidate_2025-01-02_2025-01-02_1515_return_corr_graph_community_003,qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1515,2025-01-02,2025-01-02 23:15:00,1515,45,return_corr_graph,C003,20,"AAP,ABEO,ACEL,ADV,AES,AGIO,AGL,AHCO,AIR,ALDX,ALGS,ALGT,ALK,ALLO,ALLY,ALV,AMC,ANAB,API,APLS"
qualification-6d-candidate_2025-01-02_2025-01-02_1515_return_corr_graph_community_004,qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1515,2025-01-02,2025-01-02 23:15:00,1515,45,return_corr_graph,C004,17,"AA,AAL,ABCL,ABSI,ADBE,ADCT,ADPT,AEVA,AGEN,AIP,AKBA,ALT,ALTO,AMBA,AMLX,AMTX,ANNX"
qualification-6d-candidate_2025-01-02_2025-01-02_1515_return_corr_graph_community_005,qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1515,2025-01-02,2025-01-02 23:15:00,1515,45,return_corr_graph,C005,16,"ABBV,ABT,ACAD,ACN,ACRE,AEG,AGCO,AGI,AGRO,AHR,ALEX,ALSN,AMGN,AMPY,APA,APAM"
qualification-6d-candidate_2025-01-02_2025-01-02_1515_return_corr_graph_community_006,qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1515,2025-01-02,2025-01-02 23:15:00,1515,45,return_corr_graph,C006,16,"AAOI,AB,ABG,ABNB,ABUS,ADC,ADT,ADTX,ADUS,AG,ALC,AMAL,AMG,AMRN,AMZN,ANET"
qualification-6d-candidate_2025-01-02_2025-01-02_1515_return_corr_graph_community_007,qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1515,2025-01-02,2025-01-02 23:15:00,1515,45,return_corr_graph,C007,16,"A,ABP,ABVE,ACLX,ACM,AEMD,AGO,AIRE,AIV,AJG,ALL,ALLR,ALVO,AMBO,AMH,AON"
qualification-6d-candidate_2025-01-02_2025-01-02_1515_return_corr_graph_community_008,qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1515,2025-01-02,2025-01-02 23:15:00,1515,45,return_corr_graph,C008,14,"ACGL,ACIC,ACLS,AESI,AEYE,AI,AIOT,AL,ALIT,ALUR,AMCX,AMD,AMPH,ANGI"
qualification-6d-candidate_2025-01-02_2025-01-02_1515_return_corr_graph_community_009,qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1515,2025-01-02,2025-01-02 23:15:00,1515,45,return_corr_graph,C009,14,"ACHR,ACIW,ADGM,AERT,AGX,AIFU,AKAM,ALHC,AMIX,AMPG,AMPL,AMPX,AMT,ANGO"
qualification-6d-candidate_2025-01-02_2025-01-02_1515_return_corr_graph_community_010,qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1515,2025-01-02,2025-01-02 23:15:00,1515,45,return_corr_graph,C010,13,"ABOS,ACB,ACMR,ADNT,AEHR,AFCG,ALB,ALEC,AMBP,AMRX,ANDE,ANVS,APGE"
qualification-6d-candidate_2025-01-02_2025-01-02_1515_return_corr_graph_community_011,qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1515,2025-01-02,2025-01-02 23:15:00,1515,45,return_corr_graph,C011,9,"AAON,AAPL,ABCB,ACRS,ACVA,ADMA,AMN,APEI,APG"
qualification-6d-candidate_2025-01-02_2025-01-02_1515_return_corr_graph_community_012,qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1515,2025-01-02,2025-01-02 23:15:00,1515,45,return_corr_graph,C012,9,"ADP,ADSK,AEI,AFL,AIG,AM,AMP,ANF,APLE"
qualification-6d-candidate_2025-01-02_2025-01-02_1520_return_corr_graph_community_001,qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1520,2025-01-02,2025-01-02 23:20:00,1520,50,return_corr_graph,C001,30,"ACGL,ACHR,ACLS,ADGM,ADV,AERT,AESI,AEYE,AGX,AI,AIFU,AIOT,AKAM,AL,ALHC,ALIT,ALUR,ALV,ALXO,AMC,AMCX,AMD,AMIX,AMPG,AMPH,AMPL,AMPX,AMT,ANGI,ANGO"
