layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
qualification-6d-candidate_2025-01-03_2025-01-03_1440_dtw_trade_flow_similarity_graph_community_001,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1440,2025-01-03,2025-01-03 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C001,6,"AAOI,AER,AFRM,AGI,AL,ALIT"
qualification-6d-candidate_2025-01-03_2025-01-03_1440_dtw_trade_flow_similarity_graph_community_002,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1440,2025-01-03,2025-01-03 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C002,6,"ABR,ADM,AGRO,AIR,AKAM,AMCR"
qualification-6d-candidate_2025-01-03_2025-01-03_1440_dtw_trade_flow_similarity_graph_community_003,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1440,2025-01-03,2025-01-03 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C003,5,"AAP,AAPL,AGIO,AMAT,AMT"
qualification-6d-candidate_2025-01-03_2025-01-03_1440_dtw_trade_flow_similarity_graph_community_004,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1440,2025-01-03,2025-01-03 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C004,3,"ACI,ADPT,ALV"
qualification-6d-candidate_2025-01-03_2025-01-03_1440_dtw_trade_flow_similarity_graph_community_005,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1440,2025-01-03,2025-01-03 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C005,2,"ADP,APD"
qualification-6d-candidate_2025-01-03_2025-01-03_1445_dtw_trade_flow_similarity_graph_community_001,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1445,2025-01-03,2025-01-03 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C001,8,"AAP,ACM,AEP,AGIO,AGRO,AKAM,ANAB,AOSL"
qualification-6d-candidate_2025-01-03_2025-01-03_1445_dtw_trade_flow_similarity_graph_community_002,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1445,2025-01-03,2025-01-03 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C002,2,"ADC,AMH"
qualification-6d-candidate_2025-01-03_2025-01-03_1445_dtw_trade_flow_similarity_graph_community_003,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1445,2025-01-03,2025-01-03 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C003,2,"ABR,APLE"
qualification-6d-candidate_2025-01-03_2025-01-03_1450_dtw_trade_flow_similarity_graph_community_001,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1450,2025-01-03,2025-01-03 22:50:00,1450,20,dtw_trade_flow_similarity_graph,C001,7,"AAL,ADC,AGI,AIOT,AIP,AM,AMRC"
qualification-6d-candidate_2025-01-03_2025-01-03_1450_dtw_trade_flow_similarity_graph_community_002,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1450,2025-01-03,2025-01-03 22:50:00,1450,20,dtw_trade_flow_similarity_graph,C002,5,"ABLLL,AEP,AGRO,ALIT,AMCR"
qualification-6d-candidate_2025-01-03_2025-01-03_1450_dtw_trade_flow_similarity_graph_community_003,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1450,2025-01-03,2025-01-03 22:50:00,1450,20,dtw_trade_flow_similarity_graph,C003,5,"AAP,ADNT,AIR,AL,AN"
qualification-6d-candidate_2025-01-03_2025-01-03_1450_dtw_trade_flow_similarity_graph_community_004,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1450,2025-01-03,2025-01-03 22:50:00,1450,20,dtw_trade_flow_similarity_graph,C004,3,"AHR,AOSL,APG"
qualification-6d-candidate_2025-01-03_2025-01-03_1455_dtw_trade_flow_similarity_graph_community_001,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1455,2025-01-03,2025-01-03 22:55:00,1455,25,dtw_trade_flow_similarity_graph,C001,7,"ABR,ACHR,AER,AFCG,AMD,ANET,APLE"
qualification-6d-candidate_2025-01-03_2025-01-03_1455_dtw_trade_flow_similarity_graph_community_002,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1455,2025-01-03,2025-01-03 22:55:00,1455,25,dtw_trade_flow_similarity_graph,C002,5,"AGO,AIR,AL,ALIT,AMBA"
qualification-6d-candidate_2025-01-03_2025-01-03_1455_dtw_trade_flow_similarity_graph_community_003,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1455,2025-01-03,2025-01-03 22:55:00,1455,25,dtw_trade_flow_similarity_graph,C003,5,"ABLLL,ACM,AGIO,AGRO,AKAM"
qualification-6d-candidate_2025-01-03_2025-01-03_1455_dtw_trade_flow_similarity_graph_community_004,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1455,2025-01-03,2025-01-03 22:55:00,1455,25,dtw_trade_flow_similarity_graph,C004,4,"ADM,AEIS,AGI,ALGM"
qualification-6d-candidate_2025-01-03_2025-01-03_1455_dtw_trade_flow_similarity_graph_community_005,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1455,2025-01-03,2025-01-03 22:55:00,1455,25,dtw_trade_flow_similarity_graph,C005,3,"AGCO,AN,AOSL"
qualification-6d-candidate_2025-01-03_2025-01-03_1455_dtw_trade_flow_similarity_graph_community_006,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1455,2025-01-03,2025-01-03 22:55:00,1455,25,dtw_trade_flow_similarity_graph,C006,2,"ACIW,AMRC"
qualification-6d-candidate_2025-01-03_2025-01-03_1500_dtw_trade_flow_similarity_graph_community_001,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1500,2025-01-03,2025-01-03 23:00:00,1500,30,dtw_trade_flow_similarity_graph,C001,7,"ABR,ACHR,AER,AFCG,AMD,ANET,APLE"
qualification-6d-candidate_2025-01-03_2025-01-03_1500_dtw_trade_flow_similarity_graph_community_002,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1500,2025-01-03,2025-01-03 23:00:00,1500,30,dtw_trade_flow_similarity_graph,C002,4,"ABLLL,AGRO,AMRC,AOSL"
qualification-6d-candidate_2025-01-03_2025-01-03_1500_dtw_trade_flow_similarity_graph_community_003,qualification-6d-candidate_2025-01-03,qualification-6d-candidate_2025-01-03_2025-01-03_1500,2025-01-03,2025-01-03 23:00:00,1500,30,dtw_trade_flow_similarity_graph,C003,4,"ACMR,AEIS,AGIO,ALGM"
