layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
qualification-6d-candidate_2025-01-07_2025-01-07_1435_flow_alignment_graph_community_001,qualification-6d-candidate_2025-01-07,qualification-6d-candidate_2025-01-07_2025-01-07_1435,2025-01-07,2025-01-07 22:35:00,1435,5,flow_alignment_graph,C001,13,"AAOI,ABAT,ABCL,ABSI,AEHR,AEVA,AI,AISP,ALV,AMC,AMZN,ANET,APLT"
qualification-6d-candidate_2025-01-07_2025-01-07_1435_flow_alignment_graph_community_002,qualification-6d-candidate_2025-01-07,qualification-6d-candidate_2025-01-07_2025-01-07_1435,2025-01-07,2025-01-07 22:35:00,1435,5,flow_alignment_graph,C002,13,"AAL,ABR,ACHC,ACHR,AES,AIMD,ALB,ALT,ALTO,AMD,APA,APH,APLD"
qualification-6d-candidate_2025-01-07_2025-01-07_1435_flow_alignment_graph_community_003,qualification-6d-candidate_2025-01-07,qualification-6d-candidate_2025-01-07_2025-01-07_1435,2025-01-07,2025-01-07 22:35:00,1435,5,flow_alignment_graph,C003,12,"AAPL,AEI,AEM,AEON,AEYE,AIRE,ALAB,ALGS,ALLR,AMAT,AMPX,ANVS"
qualification-6d-candidate_2025-01-07_2025-01-07_1435_flow_alignment_graph_community_004,qualification-6d-candidate_2025-01-07,qualification-6d-candidate_2025-01-07_2025-01-07_1435,2025-01-07,2025-01-07 22:35:00,1435,5,flow_alignment_graph,C004,11,"AA,ACON,ACXP,ADBE,ADMA,AFRM,AG,AGNC,ALC,ALLT,AMPG"
qualification-6d-candidate_2025-01-07_2025-01-07_1440_flow_alignment_graph_community_001,qualification-6d-candidate_2025-01-07,qualification-6d-candidate_2025-01-07_2025-01-07_1440,2025-01-07,2025-01-07 22:40:00,1440,10,flow_alignment_graph,C001,18,"ABCL,ABR,ABSI,ACB,ADCT,ADI,AEHR,AEVA,AGIO,AIMD,AISP,ALHC,ALTO,ALV,AMBP,AMD,AMPH,ANF"
qualification-6d-candidate_2025-01-07_2025-01-07_1440_flow_alignment_graph_community_002,qualification-6d-candidate_2025-01-07,qualification-6d-candidate_2025-01-07_2025-01-07_1440,2025-01-07,2025-01-07 22:40:00,1440,10,flow_alignment_graph,C002,15,"ACXP,ADM,ADMA,ADT,AEE,AEM,AEON,AEYE,AFRM,ALC,ALGM,ALIT,ALLT,AMGN,AMPX"
qualification-6d-candidate_2025-01-07_2025-01-07_1440_flow_alignment_graph_community_003,qualification-6d-candidate_2025-01-07,qualification-6d-candidate_2025-01-07_2025-01-07_1440,2025-01-07,2025-01-07 22:40:00,1440,10,flow_alignment_graph,C003,12,"AAL,ABAT,ADTN,AES,AI,AIOT,ALB,ALT,ALXO,AMCR,AON,APLD"
qualification-6d-candidate_2025-01-07_2025-01-07_1440_flow_alignment_graph_community_004,qualification-6d-candidate_2025-01-07,qualification-6d-candidate_2025-01-07_2025-01-07_1440,2025-01-07,2025-01-07 22:40:00,1440,10,flow_alignment_graph,C004,10,"AAOI,ACHC,AMC,AMTM,AMZN,ANET,APA,APH,APLS,APLT"
qualification-6d-candidate_2025-01-07_2025-01-07_1440_flow_alignment_graph_community_005,qualification-6d-candidate_2025-01-07,qualification-6d-candidate_2025-01-07_2025-01-07_1440,2025-01-07,2025-01-07 22:40:00,1440,10,flow_alignment_graph,C005,10,"AA,AAPL,ACON,ADBE,AG,AGI,AGNC,ALGS,AMAT,AMT"
qualification-6d-candidate_2025-01-07_2025-01-07_1440_flow_alignment_graph_community_006,qualification-6d-candidate_2025-01-07,qualification-6d-candidate_2025-01-07_2025-01-07_1440,2025-01-07,2025-01-07 22:40:00,1440,10,flow_alignment_graph,C006,7,"AAON,ACMR,ADP,AEP,AKAM,ALL,AM"
