layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
qualification-6d-candidate_2025-01-24_2025-01-24_1440_dtw_return_similarity_graph_community_001,qualification-6d-candidate_2025-01-24,qualification-6d-candidate_2025-01-24_2025-01-24_1440,2025-01-24,2025-01-24 22:40:00,1440,10,dtw_return_similarity_graph,C001,2,"AMX,ANNX"
qualification-6d-candidate_2025-01-24_2025-01-24_1450_dtw_return_similarity_graph_community_001,qualification-6d-candidate_2025-01-24,qualification-6d-candidate_2025-01-24_2025-01-24_1450,2025-01-24,2025-01-24 22:50:00,1450,20,dtw_return_similarity_graph,C001,2,"ACI,AMR"
qualification-6d-candidate_2025-01-24_2025-01-24_1450_dtw_return_similarity_graph_community_002,qualification-6d-candidate_2025-01-24,qualification-6d-candidate_2025-01-24_2025-01-24_1450,2025-01-24,2025-01-24 22:50:00,1450,20,dtw_return_similarity_graph,C002,2,"AGO,ANNX"
qualification-6d-candidate_2025-01-24_2025-01-24_1455_dtw_return_similarity_graph_community_001,qualification-6d-candidate_2025-01-24,qualification-6d-candidate_2025-01-24_2025-01-24_1455,2025-01-24,2025-01-24 22:55:00,1455,25,dtw_return_similarity_graph,C001,2,"ACI,AMR"
qualification-6d-candidate_2025-01-24_2025-01-24_1455_dtw_return_similarity_graph_community_002,qualification-6d-candidate_2025-01-24,qualification-6d-candidate_2025-01-24_2025-01-24_1455,2025-01-24,2025-01-24 22:55:00,1455,25,dtw_return_similarity_graph,C002,2,"AFCG,AMH"
qualification-6d-candidate_2025-01-24_2025-01-24_1455_dtw_return_similarity_graph_community_003,qualification-6d-candidate_2025-01-24,qualification-6d-candidate_2025-01-24_2025-01-24_1455,2025-01-24,2025-01-24 22:55:00,1455,25,dtw_return_similarity_graph,C003,2,"AGO,ANNX"
qualification-6d-candidate_2025-01-24_2025-01-24_1500_dtw_return_similarity_graph_community_001,qualification-6d-candidate_2025-01-24,qualification-6d-candidate_2025-01-24_2025-01-24_1500,2025-01-24,2025-01-24 23:00:00,1500,30,dtw_return_similarity_graph,C001,3,"AFCG,AGO,ANNX"
qualification-6d-candidate_2025-01-24_2025-01-24_1500_dtw_return_similarity_graph_community_002,qualification-6d-candidate_2025-01-24,qualification-6d-candidate_2025-01-24_2025-01-24_1500,2025-01-24,2025-01-24 23:00:00,1500,30,dtw_return_similarity_graph,C002,2,"ADSE,AOS"
qualification-6d-candidate_2025-01-24_2025-01-24_1645_dtw_return_similarity_graph_community_001,qualification-6d-candidate_2025-01-24,qualification-6d-candidate_2025-01-24_2025-01-24_1645,2025-01-24,2025-01-25 00:45:00,1645,135,dtw_return_similarity_graph,C001,2,"ACRS,AFG"
qualification-6d-candidate_2025-01-24_2025-01-24_1750_dtw_return_similarity_graph_community_001,qualification-6d-candidate_2025-01-24,qualification-6d-candidate_2025-01-24_2025-01-24_1750,2025-01-24,2025-01-25 01:50:00,1750,200,dtw_return_similarity_graph,C001,2,"ACIU,AOS"
qualification-6d-candidate_2025-01-24_2025-01-24_1915_dtw_return_similarity_graph_community_001,qualification-6d-candidate_2025-01-24,qualification-6d-candidate_2025-01-24_2025-01-24_1915,2025-01-24,2025-01-25 03:15:00,1915,285,dtw_return_similarity_graph,C001,2,"ABVC,ADTX"
qualification-6d-candidate_2025-01-24_2025-01-24_1920_dtw_return_similarity_graph_community_001,qualification-6d-candidate_2025-01-24,qualification-6d-candidate_2025-01-24_2025-01-24_1920,2025-01-24,2025-01-25 03:20:00,1920,290,dtw_return_similarity_graph,C001,2,"ABVC,ADTX"
