layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
qualification-6d-candidate_2025-01-28_2025-01-28_1435_volume_expansion_graph_community_001,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1435,2025-01-28,2025-01-28 22:35:00,1435,5,volume_expansion_graph,C001,11,"AAL,AAOI,ACHR,ACOG,ACXP,AEG,AEHR,AISP,ALGS,AMPG,APLD"
qualification-6d-candidate_2025-01-28_2025-01-28_1435_volume_expansion_graph_community_002,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1435,2025-01-28,2025-01-28 22:35:00,1435,5,volume_expansion_graph,C002,9,"ABAT,ABVC,ADIL,AEMD,AEVA,ALVO,ANIX,APH,API"
qualification-6d-candidate_2025-01-28_2025-01-28_1435_volume_expansion_graph_community_003,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1435,2025-01-28,2025-01-28 22:35:00,1435,5,volume_expansion_graph,C003,8,"ABNB,ABSI,ACNT,ALC,ALUR,ALV,AMAT,APLE"
qualification-6d-candidate_2025-01-28_2025-01-28_1435_volume_expansion_graph_community_004,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1435,2025-01-28,2025-01-28 22:35:00,1435,5,volume_expansion_graph,C004,7,"ACLX,ADTX,AES,AGYS,AIRE,ANVS,ANY"
qualification-6d-candidate_2025-01-28_2025-01-28_1435_volume_expansion_graph_community_005,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1435,2025-01-28,2025-01-28 22:35:00,1435,5,volume_expansion_graph,C005,5,"AA,ABEV,ADBE,ADNT,ALAB"
qualification-6d-candidate_2025-01-28_2025-01-28_1435_volume_expansion_graph_community_006,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1435,2025-01-28,2025-01-28 22:35:00,1435,5,volume_expansion_graph,C006,3,"ABBV,ADGM,AIM"
qualification-6d-candidate_2025-01-28_2025-01-28_1440_volume_expansion_graph_community_001,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1440,2025-01-28,2025-01-28 22:40:00,1440,10,volume_expansion_graph,C001,7,"ACHV,ACMR,ADAG,AEG,AGX,AN,ANVS"
qualification-6d-candidate_2025-01-28_2025-01-28_1440_volume_expansion_graph_community_002,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1440,2025-01-28,2025-01-28 22:40:00,1440,10,volume_expansion_graph,C002,7,"ACNT,AFRM,AG,AGYS,ALV,AMAT,APLE"
qualification-6d-candidate_2025-01-28_2025-01-28_1440_volume_expansion_graph_community_003,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1440,2025-01-28,2025-01-28 22:40:00,1440,10,volume_expansion_graph,C003,5,"AEI,AIXI,AMTB,ANIP,AORT"
qualification-6d-candidate_2025-01-28_2025-01-28_1440_volume_expansion_graph_community_004,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1440,2025-01-28,2025-01-28 22:40:00,1440,10,volume_expansion_graph,C004,5,"AAOI,ACHR,ACXP,AISP,APLD"
qualification-6d-candidate_2025-01-28_2025-01-28_1440_volume_expansion_graph_community_005,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1440,2025-01-28,2025-01-28 22:40:00,1440,10,volume_expansion_graph,C005,4,"ADNT,AGNC,ALAB,AMC"
qualification-6d-candidate_2025-01-28_2025-01-28_1440_volume_expansion_graph_community_006,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1440,2025-01-28,2025-01-28 22:40:00,1440,10,volume_expansion_graph,C006,2,"ADTX,ANY"
qualification-6d-candidate_2025-01-28_2025-01-28_1440_volume_expansion_graph_community_007,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1440,2025-01-28,2025-01-28 22:40:00,1440,10,volume_expansion_graph,C007,2,"ADGM,AIM"
qualification-6d-candidate_2025-01-28_2025-01-28_1440_volume_expansion_graph_community_008,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1440,2025-01-28,2025-01-28 22:40:00,1440,10,volume_expansion_graph,C008,2,"AES,AIRJ"
qualification-6d-candidate_2025-01-28_2025-01-28_1445_volume_expansion_graph_community_001,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1445,2025-01-28,2025-01-28 22:45:00,1445,15,volume_expansion_graph,C001,7,"AAOI,ACHV,ACMR,ADAG,AEG,AGX,ANVS"
qualification-6d-candidate_2025-01-28_2025-01-28_1445_volume_expansion_graph_community_002,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1445,2025-01-28,2025-01-28 22:45:00,1445,15,volume_expansion_graph,C002,2,"ACNT,ALDX"
qualification-6d-candidate_2025-01-28_2025-01-28_1445_volume_expansion_graph_community_003,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1445,2025-01-28,2025-01-28 22:45:00,1445,15,volume_expansion_graph,C003,2,"ADGM,AIM"
qualification-6d-candidate_2025-01-28_2025-01-28_1445_volume_expansion_graph_community_004,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1445,2025-01-28,2025-01-28 22:45:00,1445,15,volume_expansion_graph,C004,2,"AEI,AMTB"
qualification-6d-candidate_2025-01-28_2025-01-28_1445_volume_expansion_graph_community_005,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1445,2025-01-28,2025-01-28 22:45:00,1445,15,volume_expansion_graph,C005,2,"ANIP,AORT"
qualification-6d-candidate_2025-01-28_2025-01-28_1450_volume_expansion_graph_community_001,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1450,2025-01-28,2025-01-28 22:50:00,1450,20,volume_expansion_graph,C001,4,"ACHV,ADAG,AN,ANVS"
qualification-6d-candidate_2025-01-28_2025-01-28_1450_volume_expansion_graph_community_002,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1450,2025-01-28,2025-01-28 22:50:00,1450,20,volume_expansion_graph,C002,3,"ABL,ADEA,ALGS"
qualification-6d-candidate_2025-01-28_2025-01-28_1450_volume_expansion_graph_community_003,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1450,2025-01-28,2025-01-28 22:50:00,1450,20,volume_expansion_graph,C003,2,"ACNT,ALDX"
qualification-6d-candidate_2025-01-28_2025-01-28_1450_volume_expansion_graph_community_004,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1450,2025-01-28,2025-01-28 22:50:00,1450,20,volume_expansion_graph,C004,2,"ADGM,AIM"
qualification-6d-candidate_2025-01-28_2025-01-28_1450_volume_expansion_graph_community_005,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1450,2025-01-28,2025-01-28 22:50:00,1450,20,volume_expansion_graph,C005,2,"AEI,AMTB"
qualification-6d-candidate_2025-01-28_2025-01-28_1450_volume_expansion_graph_community_006,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1450,2025-01-28,2025-01-28 22:50:00,1450,20,volume_expansion_graph,C006,2,"ANIP,AORT"
qualification-6d-candidate_2025-01-28_2025-01-28_1455_volume_expansion_graph_community_001,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1455,2025-01-28,2025-01-28 22:55:00,1455,25,volume_expansion_graph,C001,2,"ADAG,AN"
qualification-6d-candidate_2025-01-28_2025-01-28_1455_volume_expansion_graph_community_002,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1455,2025-01-28,2025-01-28 22:55:00,1455,25,volume_expansion_graph,C002,2,"ADGM,AIM"
qualification-6d-candidate_2025-01-28_2025-01-28_1455_volume_expansion_graph_community_003,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1455,2025-01-28,2025-01-28 22:55:00,1455,25,volume_expansion_graph,C003,2,"ACNT,ALDX"
qualification-6d-candidate_2025-01-28_2025-01-28_1455_volume_expansion_graph_community_004,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1455,2025-01-28,2025-01-28 22:55:00,1455,25,volume_expansion_graph,C004,2,"AEI,AMTB"
qualification-6d-candidate_2025-01-28_2025-01-28_1455_volume_expansion_graph_community_005,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1455,2025-01-28,2025-01-28 22:55:00,1455,25,volume_expansion_graph,C005,2,"ANIP,AORT"
qualification-6d-candidate_2025-01-28_2025-01-28_1500_volume_expansion_graph_community_001,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1500,2025-01-28,2025-01-28 23:00:00,1500,30,volume_expansion_graph,C001,2,"ACNT,ALDX"
qualification-6d-candidate_2025-01-28_2025-01-28_1500_volume_expansion_graph_community_002,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1500,2025-01-28,2025-01-28 23:00:00,1500,30,volume_expansion_graph,C002,2,"ABVX,AMWL"
qualification-6d-candidate_2025-01-28_2025-01-28_1500_volume_expansion_graph_community_003,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1500,2025-01-28,2025-01-28 23:00:00,1500,30,volume_expansion_graph,C003,2,"ADAG,AN"
qualification-6d-candidate_2025-01-28_2025-01-28_1500_volume_expansion_graph_community_004,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1500,2025-01-28,2025-01-28 23:00:00,1500,30,volume_expansion_graph,C004,2,"ANIP,AORT"
qualification-6d-candidate_2025-01-28_2025-01-28_1505_volume_expansion_graph_community_001,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1505,2025-01-28,2025-01-28 23:05:00,1505,35,volume_expansion_graph,C001,2,"ACNT,ALDX"
qualification-6d-candidate_2025-01-28_2025-01-28_1505_volume_expansion_graph_community_002,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1505,2025-01-28,2025-01-28 23:05:00,1505,35,volume_expansion_graph,C002,2,"ABVX,AMWL"
qualification-6d-candidate_2025-01-28_2025-01-28_1505_volume_expansion_graph_community_003,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1505,2025-01-28,2025-01-28 23:05:00,1505,35,volume_expansion_graph,C003,2,"ADAG,AN"
qualification-6d-candidate_2025-01-28_2025-01-28_1505_volume_expansion_graph_community_004,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1505,2025-01-28,2025-01-28 23:05:00,1505,35,volume_expansion_graph,C004,2,"ANIP,AORT"
qualification-6d-candidate_2025-01-28_2025-01-28_1510_volume_expansion_graph_community_001,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1510,2025-01-28,2025-01-28 23:10:00,1510,40,volume_expansion_graph,C001,2,"ACNT,ALDX"
qualification-6d-candidate_2025-01-28_2025-01-28_1510_volume_expansion_graph_community_002,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1510,2025-01-28,2025-01-28 23:10:00,1510,40,volume_expansion_graph,C002,2,"ADAG,AN"
qualification-6d-candidate_2025-01-28_2025-01-28_1515_volume_expansion_graph_community_001,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1515,2025-01-28,2025-01-28 23:15:00,1515,45,volume_expansion_graph,C001,2,"ACNT,ALDX"
qualification-6d-candidate_2025-01-28_2025-01-28_1515_volume_expansion_graph_community_002,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1515,2025-01-28,2025-01-28 23:15:00,1515,45,volume_expansion_graph,C002,2,"ADAG,AN"
qualification-6d-candidate_2025-01-28_2025-01-28_1520_volume_expansion_graph_community_001,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1520,2025-01-28,2025-01-28 23:20:00,1520,50,volume_expansion_graph,C001,2,"ACNT,ALDX"
qualification-6d-candidate_2025-01-28_2025-01-28_1520_volume_expansion_graph_community_002,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1520,2025-01-28,2025-01-28 23:20:00,1520,50,volume_expansion_graph,C002,2,"ADAG,AN"
qualification-6d-candidate_2025-01-28_2025-01-28_1525_volume_expansion_graph_community_001,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1525,2025-01-28,2025-01-28 23:25:00,1525,55,volume_expansion_graph,C001,2,"ACNT,ALDX"
qualification-6d-candidate_2025-01-28_2025-01-28_1525_volume_expansion_graph_community_002,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1525,2025-01-28,2025-01-28 23:25:00,1525,55,volume_expansion_graph,C002,2,"ADAG,AN"
qualification-6d-candidate_2025-01-28_2025-01-28_1530_volume_expansion_graph_community_001,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1530,2025-01-28,2025-01-28 23:30:00,1530,60,volume_expansion_graph,C001,2,"ACNT,ALDX"
qualification-6d-candidate_2025-01-28_2025-01-28_1530_volume_expansion_graph_community_002,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1530,2025-01-28,2025-01-28 23:30:00,1530,60,volume_expansion_graph,C002,2,"ADAG,AN"
qualification-6d-candidate_2025-01-28_2025-01-28_1905_volume_expansion_graph_community_001,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1905,2025-01-28,2025-01-29 03:05:00,1905,275,volume_expansion_graph,C001,2,"AERT,AIMD"
qualification-6d-candidate_2025-01-28_2025-01-28_1910_volume_expansion_graph_community_001,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_1910,2025-01-28,2025-01-29 03:10:00,1910,280,volume_expansion_graph,C001,2,"AERT,AIMD"
qualification-6d-candidate_2025-01-28_2025-01-28_2000_volume_expansion_graph_community_001,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_2000,2025-01-28,2025-01-29 04:00:00,2000,330,volume_expansion_graph,C001,2,"AEON,ANNA"
qualification-6d-candidate_2025-01-28_2025-01-28_2055_volume_expansion_graph_community_001,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_2055,2025-01-28,2025-01-29 04:55:00,2055,385,volume_expansion_graph,C001,2,"ACT,ADGM"
qualification-6d-candidate_2025-01-28_2025-01-28_2100_volume_expansion_graph_community_001,qualification-6d-candidate_2025-01-28,qualification-6d-candidate_2025-01-28_2025-01-28_2100,2025-01-28,2025-01-29 05:00:00,2100,390,volume_expansion_graph,C001,2,"AGM,ALZN"
