trade_date,graph_layer,community_count,min_member_count,avg_member_count,max_member_count,shard_file
2025-01-02,dtw_return_similarity_graph,403,2,4.761638733705773,21,community_member_symbols/2025-01-02__dtw_return_similarity_graph.csv
2025-01-02,dtw_trade_flow_similarity_graph,221,2,7.415196743554953,34,community_member_symbols/2025-01-02__dtw_trade_flow_similarity_graph.csv
2025-01-02,flow_alignment_graph,3054,2,112.76979465058648,356,community_member_symbols/2025-01-02__flow_alignment_graph.csv
2025-01-02,large_trade_alignment_graph,8,2,2.8,4,community_member_symbols/2025-01-02__large_trade_alignment_graph.csv
2025-01-02,return_corr_graph,2723,2,111.2026541929289,245,community_member_symbols/2025-01-02__return_corr_graph.csv
2025-01-02,volume_expansion_graph,3006,2,11.706363440705934,49,community_member_symbols/2025-01-02__volume_expansion_graph.csv
2025-01-03,dtw_return_similarity_graph,418,2,5.951640759930916,26,community_member_symbols/2025-01-03__dtw_return_similarity_graph.csv
2025-01-03,dtw_trade_flow_similarity_graph,151,2,5.8059701492537314,17,community_member_symbols/2025-01-03__dtw_trade_flow_similarity_graph.csv
2025-01-03,flow_alignment_graph,2930,2,116.06155129152371,338,community_member_symbols/2025-01-03__flow_alignment_graph.csv
2025-01-03,large_trade_alignment_graph,2,2,2.0,2,community_member_symbols/2025-01-03__large_trade_alignment_graph.csv
2025-01-03,return_corr_graph,2683,2,107.25290875411574,236,community_member_symbols/2025-01-03__return_corr_graph.csv
2025-01-03,volume_expansion_graph,3646,2,10.970603986908658,46,community_member_symbols/2025-01-03__volume_expansion_graph.csv
2025-01-06,dtw_return_similarity_graph,448,2,4.460825610783488,18,community_member_symbols/2025-01-06__dtw_return_similarity_graph.csv
2025-01-06,dtw_trade_flow_similarity_graph,236,2,7.620858895705521,34,community_member_symbols/2025-01-06__dtw_trade_flow_similarity_graph.csv
2025-01-06,flow_alignment_graph,3241,2,114.30918478829159,290,community_member_symbols/2025-01-06__flow_alignment_graph.csv
2025-01-06,large_trade_alignment_graph,5,2,2.0,2,community_member_symbols/2025-01-06__large_trade_alignment_graph.csv
2025-01-06,return_corr_graph,2806,2,108.83650095443605,255,community_member_symbols/2025-01-06__return_corr_graph.csv
2025-01-06,volume_expansion_graph,3115,2,11.061695579182988,44,community_member_symbols/2025-01-06__volume_expansion_graph.csv
