layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
full-market-graph-build-candidate_2025-01-08_2025-01-08_1435_volume_expansion_graph_community_001,full-market-graph-build-candidate_2025-01-08,full-market-graph-build-candidate_2025-01-08_2025-01-08_1435,2025-01-08,2025-01-08 22:35:00,1435,5,volume_expansion_graph,C001,34,"AA,AAL,AAOI,ABAT,ACHC,ACHR,AGAE,CABO,GANX,GCTK,GDEN,GOVX,GT,GTLB,HSBC,HTGC,HUMA,NMR,NTB,PTN,SYF,SYM,TEF,TWFG,VREX,XPEV,XTIA,YI,YMM,YPF,ZETA,ZIM,ZS,ZYBT"
full-market-graph-build-candidate_2025-01-08_2025-01-08_1435_volume_expansion_graph_community_002,full-market-graph-build-candidate_2025-01-08,full-market-graph-build-candidate_2025-01-08_2025-01-08_1435,2025-01-08,2025-01-08 22:35:00,1435,5,volume_expansion_graph,C002,25,"ADUR,AHG,AIFU,AR,AWRE,COST,CTOR,FTCI,GNE,GNS,GROV,HCKT,INBK,INBX,ITP,KAVL,MAXN,NMTC,NOTE,OCGN,OM,QMMM,REI,VSEC,VYNE"
full-market-graph-build-candidate_2025-01-08_2025-01-08_1435_volume_expansion_graph_community_003,full-market-graph-build-candidate_2025-01-08,full-market-graph-build-candidate_2025-01-08_2025-01-08_1435,2025-01-08,2025-01-08 22:35:00,1435,5,volume_expansion_graph,C003,24,"ANF,B,BMRC,BZFD,CINF,CLRO,DGII,DUO,ECG,FROG,IPAR,LAKE,LLYVA,MCRB,NRXP,OKLO,PINS,RGEN,SLDB,SMSI,SRAD,SRTS,VERI,WCT"
full-market-graph-build-candidate_2025-01-08_2025-01-08_1435_volume_expansion_graph_community_004,full-market-graph-build-candidate_2025-01-08,full-market-graph-build-candidate_2025-01-08_2025-01-08_1435,2025-01-08,2025-01-08 22:35:00,1435,5,volume_expansion_graph,C004,24,"ABCL,ABEV,ABTS,AMST,APPS,BMO,CENT,CETX,CUK,ERO,GDTC,HPE,HUT,JVA,KRUS,KT,KZIA,LUCD,MFG,MNSO,MNTS,OCS,PERF,PRPL"
full-market-graph-build-candidate_2025-01-08_2025-01-08_1435_volume_expansion_graph_community_005,full-market-graph-build-candidate_2025-01-08,full-market-graph-build-candidate_2025-01-08_2025-01-08_1435,2025-01-08,2025-01-08 22:35:00,1435,5,volume_expansion_graph,C005,23,"ADTX,ASRT,BCTX,BTAI,BTCS,CLCO,CLDX,CMCT,EJH,EVGN,F,HUBC,HVT,MSN,MSS,PALI,PRTS,RILY,SNAL,USEG,VCIG,YHC,ZBAO"
full-market-graph-build-candidate_2025-01-08_2025-01-08_1435_volume_expansion_graph_community_006,full-market-graph-build-candidate_2025-01-08,full-market-graph-build-candidate_2025-01-08_2025-01-08_1435,2025-01-08,2025-01-08 22:35:00,1435,5,volume_expansion_graph,C006,22,"ADCT,ATHM,CDIO,COCP,CPOP,CRTO,CRVO,GNLN,GNPX,GP,GRFS,JYD,LOW,NBIS,NNVC,PANL,PSQH,RMTI,RSKD,SKK,SLDP,TSM"
full-market-graph-build-candidate_2025-01-08_2025-01-08_1435_volume_expansion_graph_community_007,full-market-graph-build-candidate_2025-01-08,full-market-graph-build-candidate_2025-01-08_2025-01-08_1435,2025-01-08,2025-01-08 22:35:00,1435,5,volume_expansion_graph,C007,21,"ACHV,AEHL,ARMK,ARWR,BNAI,BSLK,BXMT,CGNX,CURI,ENVB,FOSL,GPCR,HDB,INKT,MQ,PBM,ROIV,SLI,TSEM,UEC,VTAK"
full-market-graph-build-candidate_2025-01-08_2025-01-08_1435_volume_expansion_graph_community_008,full-market-graph-build-candidate_2025-01-08,full-market-graph-build-candidate_2025-01-08_2025-01-08_1435,2025-01-08,2025-01-08 22:35:00,1435,5,volume_expansion_graph,C008,19,"ABVC,AIM,ASPN,BCAB,CENTA,CING,DQ,FTDR,GALT,GGR,GPUS,HCAT,KOS,LFMD,MDIA,NOTV,STGW,VAC,WSBC"
full-market-graph-build-candidate_2025-01-08_2025-01-08_1435_volume_expansion_graph_community_009,full-market-graph-build-candidate_2025-01-08,full-market-graph-build-candidate_2025-01-08_2025-01-08_1435,2025-01-08,2025-01-08 22:35:00,1435,5,volume_expansion_graph,C009,19,"AB,AIRE,ALLR,BNGO,CHRW,CTSO,DDL,DPRO,GFS,HTHT,IMNN,IVDA,MNST,MOB,SQNS,STAI,VZLA,WB,WEX"
full-market-graph-build-candidate_2025-01-08_2025-01-08_1435_volume_expansion_graph_community_010,full-market-graph-build-candidate_2025-01-08,full-market-graph-build-candidate_2025-01-08_2025-01-08_1435,2025-01-08,2025-01-08 22:35:00,1435,5,volume_expansion_graph,C010,18,"ACET,AKBA,ENSC,GOSS,INTJ,JAGX,KLTO,LAND,MNSB,NEUP,NITO,PBFS,PG,PXLW,RRC,SDA,TMHC,WOLF"
full-market-graph-build-candidate_2025-01-08_2025-01-08_1435_volume_expansion_graph_community_011,full-market-graph-build-candidate_2025-01-08,full-market-graph-build-candidate_2025-01-08_2025-01-08_1435,2025-01-08,2025-01-08 22:35:00,1435,5,volume_expansion_graph,C011,18,"ARBB,ARMN,ATS,BDTX,CHGG,CRIS,DAWN,GV,LPLA,PDSB,RGR,RMCF,RPID,SCWO,THRM,VFS,VVOS,WAB"
full-market-graph-build-candidate_2025-01-08_2025-01-08_1435_volume_expansion_graph_community_012,full-market-graph-build-candidate_2025-01-08,full-market-graph-build-candidate_2025-01-08_2025-01-08_1435,2025-01-08,2025-01-08 22:35:00,1435,5,volume_expansion_graph,C012,13,"ABEO,AURA,COEP,DIOD,KAPA,NE,OGI,ORA,PERI,SOWG,VMC,WBTN,WBX"
full-market-graph-build-candidate_2025-01-08_2025-01-08_1435_volume_expansion_graph_community_013,full-market-graph-build-candidate_2025-01-08,full-market-graph-build-candidate_2025-01-08_2025-01-08_1435,2025-01-08,2025-01-08 22:35:00,1435,5,volume_expansion_graph,C013,13,"AAPL,ALL,ATLX,CVGI,GFAI,HST,MGX,NAMS,PAGP,RSSS,UPST,WPM,XAIR"
