layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_001,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C001,31,"ALB,AMD,AVPT,BEAM,CMCSA,CNH,CRM,ECL,EQT,FCPT,HESM,HON,KO,LRCX,MRVL,NFLX,NVDA,ON,OTEX,PANW,PEP,PLTR,SE,SMCI,TMO,UBER,UUUU,VEEV,VRT,VSAT,VTR"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_002,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C002,27,"ADPT,ASML,BRX,CDW,CG,CNM,COTY,CTSH,ED,ESRT,ESTC,GES,HOOD,HST,IAG,IBM,KREF,MIR,NEO,NWL,OUT,PRMB,QNST,SFIX,SLG,TWST,WTTR"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_003,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C003,24,"AEG,AMCX,AMKR,APAM,BAP,CHW,CMRE,COCO,FPI,GIB,GL,GMRE,HAIN,HTGC,JKHY,KGS,LEVI,LKQ,MFIC,NFG,ODFL,PAL,STT,USFD"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_004,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C004,23,"AAPL,AMZN,AXON,BA,BPOP,CCI,CDNS,CHWY,DKNG,DRS,FTNT,GOOGL,META,MSFT,MU,PFE,PUBM,RBLX,SBUX,TAK,TSM,WMT,WULF"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_005,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C005,20,"AJG,BSX,CANG,CROX,CTRA,GS,INUV,KR,MMM,MRNA,NKE,OXY,RCL,SNPS,TGT,TXN,UNH,UTZ,VIR,ZM"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_006,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C006,20,"AEIS,BOX,CRS,DTE,EOLS,ESOA,GOOD,GRMN,HRL,JELD,LZ,ONL,PNW,PRU,RDNT,ROL,RRR,SBH,SNX,TPG"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_007,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C007,16,"AHH,AHR,ALKS,AMBP,AVO,BLZE,BNL,CHY,CUBI,FINV,OCUL,PBI,PHR,SATS,SLNO,TTMI"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_008,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C008,9,"DIS,EXC,JOE,NTAP,OCSL,SCHW,SONY,UROY,WPM"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_009,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C009,9,"ADTN,CGNX,EPRT,HAE,MQ,NCLH,SABR,STFS,ZVIA"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_010,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C010,8,"ADI,DK,HE,KRP,LAUR,OKE,PKG,PSX"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_011,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C011,8,"CNC,F,MO,MRK,MS,PPG,SQM,UPS"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_012,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C012,7,"BLBD,CCD,DAWN,FTS,MLCO,PVH,SN"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_013,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C013,7,"FBRT,GPK,HWM,KEX,NCNO,PD,VZLA"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_014,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C014,7,"HCSG,JAKK,MTDR,NOG,QFIN,RYTM,WING"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_015,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C015,5,"CLVT,EGY,IEP,NXPI,THS"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_016,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C016,5,"APLE,BSM,GDRX,MSM,VIK"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_017,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C017,5,"BBVA,BGS,NTST,RWT,VTRS"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_018,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C018,5,"CTVA,GPRK,SNAP,TM,WFC"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_019,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C019,4,"BLMN,CAE,CHRS,FLO"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_020,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C020,3,"BRZE,CSWC,FMC"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_021,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C021,3,"AEHR,CIG,SHLS"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_022,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C022,3,"COIN,CVX,TSLA"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_023,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C023,3,"CPRX,SLB,TFC"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1440_dtw_trade_flow_similarity_graph_community_024,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C024,3,"ABT,DG,ORCL"
