layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
full-market-graph-build-candidate_2025-01-10_2025-01-10_1435_flow_alignment_graph_community_001,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1435,2025-01-10,2025-01-10 22:35:00,1435,5,flow_alignment_graph,C001,132,"AAL,ACMR,ALLT,ALT,AMPG,AMTM,APA,APLE,APM,APPS,ASAN,ASPN,AVB,AVDL,BAER,BANC,BBAI,BEKE,BFRI,BLDP,BMEA,BTAI,BTCT,BTI,CBAT,CC,CIFR,CMCSA,CMPS,CNH,COMP,CRDO,CRNT,CSIQ,DAL,DBVT,DPRO,DUK,DXPE,EDIT,EOSE,EQX,EVH,EVTL,EXK,FATE,FGL,FHN,FLNC,GAP,GEO,GFL,GSAT,GXAI,HBM,HDB,HLN,HPE,HRTX,HTZ,HUMA,IAC,IBN,INDO,INFY,JEF,JNJ,KDP,KEY,KOS,KULR,LASE,LEN,LODE,LPSN,LUV,LYG,MCHP,MDB,MDLZ,MGNI,MODG,MRVL,NCNO,NDAQ,NFLX,NRXP,NVTS,NXPI,NXT,ON,OTLY,OXLC,PCT,PFLT,PLTR,QMMM,RCEL,RIO,RIOT,SENS,SMMT,SMR,SNOW,SOBR,SOUN,SXTC,TANH,TAP,TDOC,TMDX,TME,TOL,TWLO,U,UAA,UAL,UAMY,UAVS,UGP,UL,VERI,VFC,VICI,VNET,VOD,VRT,VSAT,VST,VTRS,WKEY,WY"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1435_flow_alignment_graph_community_002,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1435,2025-01-10,2025-01-10 22:35:00,1435,5,flow_alignment_graph,C002,98,"ABCL,AEO,AIRE,AISP,AIV,ALAB,ALGS,AMPX,AMZN,APLS,ATOM,AZN,BBAR,BEPC,BFLY,BILL,BNRG,BOXL,BQ,BROS,BSX,BYND,CADL,CART,CAVA,CDE,CDT,CGAU,CHNR,CISO,CLF,CMND,COIN,CORZ,CTM,CTRA,CVAC,CVE,CVM,CYN,CZR,DHT,DKNG,DYN,ECO,EVGO,EXC,FANG,GEVO,GGB,GS,GSK,GTLB,GWAV,HAFN,HLIT,HMC,IDAI,INOD,INTZ,IOT,IVP,JOBY,KOPN,LI,LU,LYRA,MHK,MP,MYSZ,NCPL,NKE,NUKK,NVNI,ONDS,PENG,PHUN,PSNY,PTIX,PYXS,RAPT,RPRX,SGMT,SKYT,SLS,SPCB,SSL,SSTK,SUPV,TRMD,TSLA,UROY,VAL,VIR,VUZI,WATT,WHLR,XERS"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1435_flow_alignment_graph_community_003,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1435,2025-01-10,2025-01-10 22:35:00,1435,5,flow_alignment_graph,C003,91,"ADT,AEYE,ALK,ALL,APH,AR,ARHS,BA,BAC,BARK,BCS,BIDU,BKYI,BP,BTBT,CAN,CAPT,CDZI,CIVI,CLDI,CLS,COP,CPHI,CRH,CRNC,CRSP,DOCU,ENPH,EOG,ESPR,FLNG,FRO,FTNT,GETY,GFI,GM,GORO,HCA,HIMX,HIVE,HL,HPQ,INVZ,IONQ,IP,IREN,ITUB,JBLU,KAPA,LRHC,LWLG,MAXN,MBOT,META,MSFT,MU,NFE,NUE,OGN,ONMD,ORIS,OVV,PBR,PFE,POET,PSIX,PSNL,PYPL,PZZA,QUBT,RBLX,RH,RRC,SEDG,STM,STNG,TLRY,TPR,TRV,UNCY,UPC,VALE,VET,WM,WMT,WNW,WPM,XHG,YPF,ZENA,ZM"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1435_flow_alignment_graph_community_004,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1435,2025-01-10,2025-01-10 22:35:00,1435,5,flow_alignment_graph,C004,88,"AA,AAOI,ABOS,AG,AGNC,ALB,ALV,AMD,API,ARR,BBD,BITF,BNZI,CCL,CLSK,COST,CSX,CURI,DNA,DOW,EQR,ET,FOUR,FSM,FTI,GDS,GH,GILD,GME,GNL,GOOG,GT,HE,HSBC,HUT,HWM,IQ,JD,JKS,KMDA,KO,LRCX,LUMN,LUNR,MAS,MBLY,MFG,MRUS,MVST,NEE,NVDA,OBDC,OCGN,ONON,ORC,ORGN,PAAS,PACB,PATH,PDD,PLUG,PM,PSEC,PTEN,QCOM,QSI,QTRX,REAL,RELX,RKLB,RWT,SANA,SERV,SGMO,SMCI,SOFI,STWD,TAL,TEVA,TFC,TS,TXG,UBER,ULCC,VRAR,VVPR,WMB,YCBD"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1435_flow_alignment_graph_community_005,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1435,2025-01-10,2025-01-10 22:35:00,1435,5,flow_alignment_graph,C005,87,"AEHR,AEM,AIFF,AMLX,AMST,AQN,AQST,AREB,ASML,BAK,BBWI,BCAB,BNGO,BSLK,CGC,CIG,CLNE,CLRB,CNSP,CURR,DDOG,DINO,EONR,ERNA,FAMI,FGEN,FSLR,GFAI,HAL,HOLO,HOTH,IAG,IGC,IPSC,JFBR,KITT,LAES,LAZR,LCID,LICN,LITM,MDT,MPC,NCI,NEXN,NNE,NOK,NOTE,NXE,OPTT,OXY,PAYS,PBF,PDYN,PGY,PNNT,PONY,PSA,PSQH,PUK,RBRK,REKR,RIME,RIVN,ROKU,RXRX,SACH,SAP,SBSW,SCHW,SILO,SLDB,SLDP,SO,SVM,TALK,TEAM,TER,TPET,TRX,UNH,VCIG,VLO,WTO,WULF,WW,ZETA"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1435_flow_alignment_graph_community_006,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1435,2025-01-10,2025-01-10 22:35:00,1435,5,flow_alignment_graph,C006,83,"ABNB,ABSI,ACXP,AIG,AJG,ANVS,APP,ARBE,ARQQ,ASNS,ATAI,AUR,AURA,AVGO,BHP,BWLP,CB,CCI,CEG,CENX,CHWY,CVX,DHI,DIS,DJT,E,EAT,EDN,EQNR,FCEL,FLUT,FNGR,FUBO,GCTK,GDTC,GERN,HALO,IMRX,INUV,KC,KURA,LFWD,LNG,MBIO,MFA,MSTR,NAK,NGD,NINE,NIO,NNOX,OKLO,OKYO,OPEN,OTLK,OUST,PHG,PR,PRZO,REI,RTO,RVSN,RZLV,SAVA,SBLK,SG,SHLS,TD,TGL,TGT,TMC,TNXP,TRUG,TSM,TTE,UMAC,UPST,URBN,USB,VSEE,WEAV,WKHS,WOLF"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1435_flow_alignment_graph_community_007,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1435,2025-01-10,2025-01-10 22:35:00,1435,5,flow_alignment_graph,C007,75,"AAPL,ABAT,ABEV,ANF,ANGO,ARM,ASX,AXP,BCRX,BE,BHAT,BILI,BLNK,BLRX,CCJ,CLBT,CPNG,CRK,DEO,DNN,DVN,EC,EIX,EKSO,ENVX,FCUV,FERG,GEV,GOOGL,GP,HNST,HOOD,IBM,IMG,INMD,INSW,JOB,JSPR,KMI,LPG,M,MMM,MRNA,MSAI,MT,NGG,NMRA,NVAX,NWG,OKTA,OSCR,PAA,PAGS,QNRX,QS,RGTI,RVPH,S,SBEV,SBUX,SDRL,SIRI,SKYQ,SPRC,SU,SXTP,T,TCOM,TOST,TRIP,TSSI,UBS,VIST,WBD,XXII"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1435_flow_alignment_graph_community_008,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1435,2025-01-10,2025-01-10 22:35:00,1435,5,flow_alignment_graph,C008,64,"ACB,ACM,ACRE,AI,AMAT,ANET,APD,APLT,ASTS,BNTX,BTG,BUD,CELH,CFLT,CHPT,CRM,CSCO,CVS,EBAY,FLG,GGAL,GLDG,HYLN,IBRX,ILLR,INDI,KHC,KTOS,LC,LMND,LYB,LYFT,MASS,MVIS,NAT,NLY,NNDM,PANW,PEP,PHM,PL,PSTG,PTON,QMCO,RCKT,RUM,SAN,SATL,SDGR,SHEL,SID,SIDU,SLB,SNDL,SNN,SPCE,STLA,SYM,TLSA,UEC,USIO,UUUU,UWMC,VKTX"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1435_flow_alignment_graph_community_009,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1435,2025-01-10,2025-01-10 22:35:00,1435,5,flow_alignment_graph,C009,54,"ALC,APLD,ARRY,BBIO,BLDR,BTU,BX,CABA,CMPX,CNQ,COHR,CRWD,EFC,EGY,EQT,FLYE,FND,GE,GRRR,HIMS,HON,ING,IOVA,LAC,LII,LTRX,MQ,MRSN,NCLH,NTLA,PCG,PK,PRPH,PSHG,REAX,RKT,ROIV,SE,SLI,SOAR,SRFM,STEM,TGTX,TTD,TVGN,UP,VLN,VRME,VZ,WDC,WIMI,WTI,XP,ZVIA"
full-market-graph-build-candidate_2025-01-10_2025-01-10_1435_flow_alignment_graph_community_010,full-market-graph-build-candidate_2025-01-10,full-market-graph-build-candidate_2025-01-10_2025-01-10_1435,2025-01-10,2025-01-10 22:35:00,1435,5,flow_alignment_graph,C010,50,"ABR,ACHR,AFRM,AMC,AVTR,AVXL,BB,BEP,BKR,BMY,CNX,CPRX,DASH,DLTR,ENB,FSCO,GIS,GPRO,GRAB,HBAN,HD,HMY,INO,INTC,JMIA,JPM,KBH,LULU,MCD,MGM,MPW,NOV,NTES,O,PBR.A,PENN,PGR,QGEN,RCAT,RR,RUN,RXT,SA,SMSI,STI,TIGR,TLN,URG,XTIA,ZNTL"
