layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
full-market-graph-build-candidate_2025-01-21_2025-01-21_1900_large_trade_alignment_graph_community_001,full-market-graph-build-candidate_2025-01-21,full-market-graph-build-candidate_2025-01-21_2025-01-21_1900,2025-01-21,2025-01-22 03:00:00,1900,270,large_trade_alignment_graph,C001,2,"RACE,UAN"
full-market-graph-build-candidate_2025-01-21_2025-01-21_1920_large_trade_alignment_graph_community_001,full-market-graph-build-candidate_2025-01-21,full-market-graph-build-candidate_2025-01-21_2025-01-21_1920,2025-01-21,2025-01-22 03:20:00,1920,290,large_trade_alignment_graph,C001,2,"FCN,NCDL"
full-market-graph-build-candidate_2025-01-21_2025-01-21_1930_large_trade_alignment_graph_community_001,full-market-graph-build-candidate_2025-01-21,full-market-graph-build-candidate_2025-01-21_2025-01-21_1930,2025-01-21,2025-01-22 03:30:00,1930,300,large_trade_alignment_graph,C001,2,"L,WINA"
full-market-graph-build-candidate_2025-01-21_2025-01-21_1935_large_trade_alignment_graph_community_001,full-market-graph-build-candidate_2025-01-21,full-market-graph-build-candidate_2025-01-21_2025-01-21_1935,2025-01-21,2025-01-22 03:35:00,1935,305,large_trade_alignment_graph,C001,2,"L,WINA"
full-market-graph-build-candidate_2025-01-21_2025-01-21_1940_large_trade_alignment_graph_community_001,full-market-graph-build-candidate_2025-01-21,full-market-graph-build-candidate_2025-01-21_2025-01-21_1940,2025-01-21,2025-01-22 03:40:00,1940,310,large_trade_alignment_graph,C001,2,"L,WINA"
full-market-graph-build-candidate_2025-01-21_2025-01-21_1945_large_trade_alignment_graph_community_001,full-market-graph-build-candidate_2025-01-21,full-market-graph-build-candidate_2025-01-21_2025-01-21_1945,2025-01-21,2025-01-22 03:45:00,1945,315,large_trade_alignment_graph,C001,2,"L,WINA"
full-market-graph-build-candidate_2025-01-21_2025-01-21_1950_large_trade_alignment_graph_community_001,full-market-graph-build-candidate_2025-01-21,full-market-graph-build-candidate_2025-01-21_2025-01-21_1950,2025-01-21,2025-01-22 03:50:00,1950,320,large_trade_alignment_graph,C001,2,"L,WINA"
full-market-graph-build-candidate_2025-01-21_2025-01-21_1955_large_trade_alignment_graph_community_001,full-market-graph-build-candidate_2025-01-21,full-market-graph-build-candidate_2025-01-21_2025-01-21_1955,2025-01-21,2025-01-22 03:55:00,1955,325,large_trade_alignment_graph,C001,2,"L,WINA"
full-market-graph-build-candidate_2025-01-21_2025-01-21_2000_large_trade_alignment_graph_community_001,full-market-graph-build-candidate_2025-01-21,full-market-graph-build-candidate_2025-01-21_2025-01-21_2000,2025-01-21,2025-01-22 04:00:00,2000,330,large_trade_alignment_graph,C001,2,"L,WINA"
full-market-graph-build-candidate_2025-01-21_2025-01-21_2005_large_trade_alignment_graph_community_001,full-market-graph-build-candidate_2025-01-21,full-market-graph-build-candidate_2025-01-21_2025-01-21_2005,2025-01-21,2025-01-22 04:05:00,2005,335,large_trade_alignment_graph,C001,5,"ASPN,CIEN,ITW,L,WINA"
full-market-graph-build-candidate_2025-01-21_2025-01-21_2010_large_trade_alignment_graph_community_001,full-market-graph-build-candidate_2025-01-21,full-market-graph-build-candidate_2025-01-21_2025-01-21_2010,2025-01-21,2025-01-22 04:10:00,2010,340,large_trade_alignment_graph,C001,5,"ASPN,CIEN,ITW,L,WINA"
full-market-graph-build-candidate_2025-01-21_2025-01-21_2015_large_trade_alignment_graph_community_001,full-market-graph-build-candidate_2025-01-21,full-market-graph-build-candidate_2025-01-21_2025-01-21_2015,2025-01-21,2025-01-22 04:15:00,2015,345,large_trade_alignment_graph,C001,5,"ASPN,CIEN,ITW,L,WINA"
full-market-graph-build-candidate_2025-01-21_2025-01-21_2020_large_trade_alignment_graph_community_001,full-market-graph-build-candidate_2025-01-21,full-market-graph-build-candidate_2025-01-21_2025-01-21_2020,2025-01-21,2025-01-22 04:20:00,2020,350,large_trade_alignment_graph,C001,5,"ASPN,CIEN,ITW,L,WINA"
full-market-graph-build-candidate_2025-01-21_2025-01-21_2040_large_trade_alignment_graph_community_001,full-market-graph-build-candidate_2025-01-21,full-market-graph-build-candidate_2025-01-21_2025-01-21_2040,2025-01-21,2025-01-22 04:40:00,2040,370,large_trade_alignment_graph,C001,3,"CRK,EDU,MBINL"
