layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
full-market-graph-build-candidate_2025-01-23_2025-01-23_1515_return_corr_graph_community_001,full-market-graph-build-candidate_2025-01-23,full-market-graph-build-candidate_2025-01-23_2025-01-23_1515,2025-01-23,2025-01-23 23:15:00,1515,45,return_corr_graph,C001,229,"AAPL,ABT,ACCO,ACGL,AGI,AGO,AIZ,AJG,ALHC,ALKT,ALNY,ALTS,AME,AMPG,ANET,APH,APLE,APP,ARCT,ARKO,ARMK,ASST,ATLX,AURA,AVB,AXS,B,BAH,BFH,BHC,BJRI,BL,BOH,BRK.A,BRO,BRSP,BTAI,BTM,BWIN,CAPR,CBAN,CCRN,CECO,CEG,CFFN,CG,CGBD,CGON,CHWY,CIB,CINF,CLH,CMI,CMPO,CMTG,CNX,CODI,COR,CPA,CPRT,CRBP,CRSP,CSL,CSWC,CTKB,CTSH,CUBI,CVBF,CXW,DASH,DRUG,DSGX,DTE,DUOT,DVA,DX,EFSC,EFX,EFXT,EH,ELS,ENTG,EPAC,EVR,EXFY,EZGO,FBIO,FICO,FLR,FRME,FRSH,FTS,FWRG,FYBR,GBDC,GCMG,GDDY,GILD,GL,GLPG,GMED,GROY,GTLS,GWAV,HCSG,HGV,HHH,HLI,HLMN,HTGC,HUYA,HYMC,IHS,IMNM,INN,INOD,IPGP,IVVD,JBTM,JEF,JHG,JOUT,JPM,KLTR,KREF,LBRDK,LCTX,LDI,LNC,LTC,LTH,LVO,LZ,MA,MANH,MC,MCO,MD,MFC,MFG,MGNI,MGX,MLI,MMC,MMS,MQ,MRX,MS,MSFT,MTCH,MTRX,MYGN,NATL,NBHC,NCPL,NEOV,NITO,NRIX,NXST,OABI,OM,ONCY,OSBC,OTIS,OXLC,PACB,PANL,PAYC,PCOR,PFLT,PGR,PHIO,PINS,PMAX,PROK,PTC,PUBM,QNST,RACE,RAIL,RELX,RITM,ROL,RR,RWAY,SAP,SATS,SCHW,SF,SFIX,SFM,SGLY,SGMO,SKT,SLF,SOLV,SPRY,SRE,SRFM,SYM,TCOM,TDUP,TGTX,TIGO,TNDM,TPG,TPVG,TRIN,TSM,TVTX,TXRH,UPWK,USAC,USIO,VCTR,VNET,VOD,VVOS,WAB,WBTN,WDS,WELL,WH,WKSP,WLK,WRD,WU,WWW,ZTS"
full-market-graph-build-candidate_2025-01-23_2025-01-23_1515_return_corr_graph_community_002,full-market-graph-build-candidate_2025-01-23,full-market-graph-build-candidate_2025-01-23_2025-01-23_1515,2025-01-23,2025-01-23 23:15:00,1515,45,return_corr_graph,C002,145,"ACHC,ADBE,ADI,ADSE,AIT,ALT,ALVO,AMC,AMD,AMRC,AS,ASLE,ASO,ASTS,AVNS,AVY,BBIO,BHR,BJ,BLND,BLNK,BMRN,BPOP,BRKR,BUR,BWXT,BXMT,CADL,CAH,CANG,CCI,CDW,CERS,CGC,CRCT,CRGY,CRML,CYH,DAL,DVAX,EDIT,ESNT,EYE,FBP,FDMT,FIGS,FLG,FNB,FSLR,FTNT,GEHC,GFS,GNK,GNL,GTLB,GVA,HAFN,HALO,HE,HEI.A,HOLO,HOLX,HROW,HTLD,IBRX,IIPR,INGR,IPSC,ISPC,KFY,KNX,KR,LAUR,LB,LEDS,LEGN,LNTH,LPSN,LUMN,LYFT,LZB,M,MAC,MDB,MFA,MGPI,MNRO,MODG,MP,NAT,NE,NVR,NVTS,NWL,OLN,PATK,PCRX,PEN,PLAB,POWL,PPC,PRME,PYPL,QRVO,QTRX,RBRK,RDN,RIG,ROST,RVMD,RXST,SGHC,SILA,SRPT,ST,SYK,TCMD,TEAM,TFIN,TOI,TRDA,TWLO,TXN,UA,UAA,UAL,UAVS,UCTT,UDMY,UHAL.B,ULTA,URG,VAL,VIAV,VICR,VRNS,WATT,WBX,WEN,WERN,WNC,WVE,XCH,XRX,ZYME"
full-market-graph-build-candidate_2025-01-23_2025-01-23_1515_return_corr_graph_community_003,full-market-graph-build-candidate_2025-01-23,full-market-graph-build-candidate_2025-01-23_2025-01-23_1515,2025-01-23,2025-01-23 23:15:00,1515,45,return_corr_graph,C003,140,"AAT,ACLS,ALGM,AMLX,ANNX,ARDX,ARLP,ATXS,AVT,AZTA,BAK,BBD,BCTX,BHAT,BOC,BSY,BUD,BWLP,BZFD,CFLT,CHPT,CLCO,CSAN,CUBE,CURV,DDOG,DEO,ELP,EQH,EQNR,EQX,ESRT,EU,EXK,FCEL,FOR,FTHM,GDRX,GLOB,GOTU,GPCR,GRRR,GSK,GXO,HBIO,HOG,HSY,HWH,HZO,IMTX,INSW,INTR,INVZ,IXHL,JMIA,JTAI,LEU,LICN,LII,LPX,MEDP,MGA,MGNX,MIGI,MLKN,NB,NG,NICE,NINE,NIPG,NOMD,NUVB,NVGS,NXE,NXPI,OKTA,OPEN,ORCL,OUT,PBI,PDM,PG,PL,PSA,PUK,QGEN,QXO,RDW,RDZN,RKLB,RL,RPRX,RSKD,RVPH,SBLK,SBS,SCLX,SEAT,SHW,SIGA,SIRI,SITC,SJM,SLDB,SMPL,SN,SNDR,SPCE,SPH,SSRM,STE,STEP,STI,SUPV,TFC,TGB,TH,TK,TKO,TKR,TNK,TRIP,TRMB,TRMD,UPST,VIST,VIV,VNOM,VTYX,WHLR,WK,WMG,WOLF,WOOF,XCUR,YETI,YPF,ZBH,ZIP,ZLAB"
full-market-graph-build-candidate_2025-01-23_2025-01-23_1515_return_corr_graph_community_004,full-market-graph-build-candidate_2025-01-23,full-market-graph-build-candidate_2025-01-23_2025-01-23_1515,2025-01-23,2025-01-23 23:15:00,1515,45,return_corr_graph,C004,128,"AAON,ACHR,ADTN,AES,AG,AGX,AGYS,ANAB,ANTX,AOS,ARCO,ARDT,ARMN,AROC,ARQQ,ASM,ASPI,ATGE,ATHM,ATYR,BANR,BDTX,BKV,BTDR,BXP,CCK,CMP,CRMD,CVAC,CYBN,DAVE,DENN,DOV,DRIO,DWTX,DY,EGO,EL,ENB,ERIC,EXPI,EYPT,F,FCF,FER,FHB,FIVN,FR,GRBK,GRI,GTN,HNST,HSAI,ICL,IDAI,IONQ,JBHT,JBI,JBLU,JOBY,KDP,KSS,KVYO,LOOP,LWLG,MAIA,MAPS,METC,MNSO,MOB,MSAI,NBIS,NIO,NMRA,NPKI,NSA,OBK,OCS,OGEN,OGN,ONL,OSS,PBF,PCT,PHAT,PHUN,PLAY,PRMB,PRTS,QMCO,QSI,RAMP,RCAT,REXR,RGTI,RILYL,ROAD,ROOT,RYAN,SA,SERV,SGMT,SHLS,SKLZ,SNCY,SNDL,SOBO,SVM,SWX,SYRE,TANH,TARA,TEN,TGL,TGS,THS,TMCI,TMUS,TRP,TVGN,USNA,VIRT,VST,VUZI,VZLA,WFRD,XEL,XHG"
full-market-graph-build-candidate_2025-01-23_2025-01-23_1515_return_corr_graph_community_005,full-market-graph-build-candidate_2025-01-23,full-market-graph-build-candidate_2025-01-23_2025-01-23_1515,2025-01-23,2025-01-23 23:15:00,1515,45,return_corr_graph,C005,127,"AAP,ABM,ACIW,ADCT,AI,ALEC,ALLT,AMBP,AMCX,AMGN,APLT,ARBK,ARQT,ASNS,AVNT,AVXL,BFLY,BFST,BKD,BR,BZ,CACI,CAKE,CART,CBRE,CBT,CEPU,CHRS,CI,CM,CMBM,COGT,CP,CRNX,CSIQ,CVNA,CWK,DAY,DB,DKNG,DTIL,EARN,EAT,ECG,EW,FFBC,FIBK,FIP,FRO,FRPT,FVRR,GATX,GCT,GLUE,HCC,HIMX,HIW,HP,IART,IDYA,INDO,INTA,ITRM,KC,KEX,LAZ,LIN,LIVN,LODE,LQDT,LSTR,LUNR,MAN,MBIO,MKTW,MLYS,MREO,NFBK,NMIH,NNE,NRG,NTLA,OBDC,OCUL,OKLO,OMER,ON,OPFI,ORN,OUST,PAYX,PHG,PHR,PNR,PODD,POET,PSTG,PSX,PTON,QBTS,QUBT,RBBN,RBLX,RIGL,RMNI,RNW,SAVA,SCM,SEDG,SLN,SMWB,SNDX,SRAD,TBLA,TDS,TLN,TMDX,TRI,TRMK,UNCY,UNP,VSTM,VVX,WAY,WS,YMM,ZIM"
full-market-graph-build-candidate_2025-01-23_2025-01-23_1515_return_corr_graph_community_006,full-market-graph-build-candidate_2025-01-23,full-market-graph-build-candidate_2025-01-23_2025-01-23_1515,2025-01-23,2025-01-23 23:15:00,1515,45,return_corr_graph,C006,117,"ABAT,ACON,ALAR,ARE,ARWR,ASPN,AXL,AXSM,BCE,BENF,BIVI,BN,BZAI,CARS,CHSN,CIG,CIM,CIVI,CLF,CMC,COLD,CRESY,CRL,CVRX,DAN,DCBO,DCGO,DEA,DEC,DELL,DOLE,DOX,DPZ,EB,EDN,ELAN,ENVB,EXP,FFWM,FIS,FLGT,FSCO,GBCI,GPRO,GRWG,GT,HELE,HLLY,HTHT,IMRX,INMD,ITUB,JD,JLL,KAPA,KEYS,KLAC,KRC,LAMR,LIDR,LKQ,LOB,MASS,MEI,MOBX,MRAM,MTEN,MYSZ,NAVI,NEE,NGG,NTES,NUS,NVT,NX,OLED,PAGS,PCH,PI,PRTH,PRVA,QTWO,QURE,ROIV,RRGB,RRX,RUM,SAN,SBH,SBRA,SEI,SSYS,STEM,STZ,SYPR,TALO,TAOP,TEF,TEL,TM,TME,TMQ,TNET,TSEM,TTD,UBER,UBS,VALE,VENU,VLO,WEC,WGO,WPC,WW,XFOR,XRAY,ZD"
full-market-graph-build-candidate_2025-01-23_2025-01-23_1515_return_corr_graph_community_007,full-market-graph-build-candidate_2025-01-23,full-market-graph-build-candidate_2025-01-23_2025-01-23_1515,2025-01-23,2025-01-23 23:15:00,1515,45,return_corr_graph,C007,113,"ADGM,AGEN,AIFF,ALEX,ALMS,API,APPS,ARLO,ASC,ASGN,ATR,BARK,BBAI,BCH,BCRX,BCYC,BKKT,BLDP,BP,CALX,CAN,CDE,CGEM,CGTX,CIEN,CIO,CNSP,CNTA,CR,CRNC,CRWD,CURI,CWAN,CYRX,DCI,DDD,DLO,DMLP,E,EC,EOLS,FCUV,FROG,GSIT,HCM,HOOD,HOWL,HUMA,HXL,IBIO,IRM,JBL,JOB,KGEI,KSCP,LBTYA,LBTYK,LNG,LRN,LU,LXRX,MAA,MANU,MAXN,MESO,MIRM,MITT,MPWR,MTG,NFG,NKTR,NKTX,NRDY,NUKK,OFG,OS,OSPN,PAPL,PEGA,PNC,RAPT,REGN,REKR,RYTM,RZLV,SAM,SBAC,SCWO,SFL,SLI,SMG,SOUN,STLA,STM,TAL,THO,TIGR,TIMB,TSLX,TSSI,TTC,TTE,UEC,UMBF,UVSP,VEEV,VIR,VNDA,VOR,WBD,XENE,XOM,XP"
full-market-graph-build-candidate_2025-01-23_2025-01-23_1515_return_corr_graph_community_008,full-market-graph-build-candidate_2025-01-23,full-market-graph-build-candidate_2025-01-23_2025-01-23_1515,2025-01-23,2025-01-23 23:15:00,1515,45,return_corr_graph,C008,107,"ADTX,AFL,AIRE,ALLO,AMCR,AORT,APO,ARCC,ARGX,ATEC,ATOS,AVPT,AXON,BDMD,BE,BGC,BIOA,BK,BLX,BMEA,BSX,CDNA,CLMT,CME,CNS,CODX,COMM,COP,CPK,CRBG,CTAS,CXT,DE,DFIN,DIS,DSP,EG,ELME,EPD,ESPR,EXAS,FF,FOUR,GD,GDOT,HLN,HUBS,IBM,ING,INMB,INUV,JKS,JXN,KD,LFST,LHX,LITM,LSPD,MAX,MBI,MITK,MSI,NET,NOC,NOTE,NVCR,OCGN,OLLI,OPAL,ORLA,OWL,PCTY,PRCH,PSNL,PSNY,QLYS,QMMM,REI,RERE,RHI,ROK,ROP,RSG,RSI,RTX,SAIC,SJT,SKYX,SMLR,SSL,T,TCBI,TCPC,TLSA,TNXP,TNYA,TRN,TRTX,TXNM,ULCC,UPLD,USEG,UTZ,VIRC,WIX,WT,ZION"
full-market-graph-build-candidate_2025-01-23_2025-01-23_1515_return_corr_graph_community_009,full-market-graph-build-candidate_2025-01-23,full-market-graph-build-candidate_2025-01-23_2025-01-23_1515,2025-01-23,2025-01-23 23:15:00,1515,45,return_corr_graph,C009,107,"ABBV,AHR,AL,ATAI,AZN,BB,BBCP,BILI,BLFS,BLK,BMR,BNAI,BRX,BURU,BWA,CHGG,CNK,CNMD,COHU,CRC,CWST,DHR,DNOW,DXPE,EHC,ENOV,EOG,ERO,ESS,FBIN,FINV,FUTU,FVR,GBX,GDYN,GEO,GGAL,HCA,HITI,HLT,IBKR,IQ,JACK,JANX,KGC,KW,LAND,LASE,LC,LCID,LI,LSH,LUV,LYTS,MAR,MDLZ,MGY,MPW,NAK,NIXX,NNDM,NUE,NVS,OMEX,OPK,OR,ORIS,PBA,PBR,PBR.A,PEP,PGC,PLTK,PPTA,PTLE,PUMP,QDEL,QNRX,RCL,RPTX,RVTY,SAFE,SEB,SHC,SKYW,SOFI,STAA,SVRA,TCBX,TDW,TFII,THC,TITN,TPB,TRUP,TTEK,UMH,USAU,VLN,VTEX,WKHS,WST,WTO,XPEV,XPRO,ZK,ZVIA"
full-market-graph-build-candidate_2025-01-23_2025-01-23_1515_return_corr_graph_community_010,full-market-graph-build-candidate_2025-01-23,full-market-graph-build-candidate_2025-01-23_2025-01-23_1515,2025-01-23,2025-01-23 23:15:00,1515,45,return_corr_graph,C010,106,"ABUS,ACHV,ACN,AGIO,AISP,AKBA,ALIT,ALLY,AMBA,AMSC,AMT,ANGO,APAM,APM,APPN,ARI,AVAV,AXGN,BAC,BAM,BFRG,BLRX,BNZI,BROS,BURL,CBRL,CDLX,CELC,CGAU,CLVT,CLW,CMCSA,COMP,CRM,CYBR,DBRG,DEI,DSX,EMR,EXLS,EXTR,FLNC,FPI,FTAI,GEV,GLBE,GLW,GSHD,GWRE,HAE,HCWC,HPP,INTZ,IVR,JNJ,JOE,JSPR,KSPI,LFMD,LMND,LTBR,LVLU,MCW,MLTX,MRK,MXCT,NABL,NFE,NOK,NOW,NTNX,NVRI,NVST,OII,OIS,OSK,PGY,PLNT,PLTR,POWW,PRAX,PSEC,QSR,RILY,RLX,RMBS,RWT,RXRX,SHOP,SMR,SNY,SST,STNG,TSLA,VERA,VYGR,WHD,WING,WKEY,WTTR,WWD,XMTR,XPOF,Z,ZG,ZNTL"
