layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440_dtw_return_similarity_graph_community_001,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440,2025-01-29,2025-01-29 22:40:00,1440,10,dtw_return_similarity_graph,C001,9,"ATOS,BKD,BRZE,CERS,EQH,OSW,PAYX,PFS,SGLY"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440_dtw_return_similarity_graph_community_002,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440,2025-01-29,2025-01-29 22:40:00,1440,10,dtw_return_similarity_graph,C002,9,"EXTR,FLGC,GNW,POWW,RPRX,SO,VVV,WBS,WDS"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440_dtw_return_similarity_graph_community_003,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440,2025-01-29,2025-01-29 22:40:00,1440,10,dtw_return_similarity_graph,C003,7,"ALK,CRDF,DEO,MMS,REXR,SFIX,SLGN"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440_dtw_return_similarity_graph_community_004,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440,2025-01-29,2025-01-29 22:40:00,1440,10,dtw_return_similarity_graph,C004,6,"FMS,MTCH,MTZ,NSC,OWL,PLX"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440_dtw_return_similarity_graph_community_005,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440,2025-01-29,2025-01-29 22:40:00,1440,10,dtw_return_similarity_graph,C005,4,"ALHC,CLNE,DLTR,PFGC"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440_dtw_return_similarity_graph_community_006,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440,2025-01-29,2025-01-29 22:40:00,1440,10,dtw_return_similarity_graph,C006,3,"ACGL,BIP,FSM"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440_dtw_return_similarity_graph_community_007,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440,2025-01-29,2025-01-29 22:40:00,1440,10,dtw_return_similarity_graph,C007,3,"BMBL,DNUT,LEG"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440_dtw_return_similarity_graph_community_008,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440,2025-01-29,2025-01-29 22:40:00,1440,10,dtw_return_similarity_graph,C008,3,"GPN,HNST,WEN"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440_dtw_return_similarity_graph_community_009,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440,2025-01-29,2025-01-29 22:40:00,1440,10,dtw_return_similarity_graph,C009,2,"ABSI,EXAS"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440_dtw_return_similarity_graph_community_010,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440,2025-01-29,2025-01-29 22:40:00,1440,10,dtw_return_similarity_graph,C010,2,"AHR,NXTT"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440_dtw_return_similarity_graph_community_011,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440,2025-01-29,2025-01-29 22:40:00,1440,10,dtw_return_similarity_graph,C011,2,"CLOV,JDZG"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440_dtw_return_similarity_graph_community_012,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440,2025-01-29,2025-01-29 22:40:00,1440,10,dtw_return_similarity_graph,C012,2,"ARQT,MWA"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440_dtw_return_similarity_graph_community_013,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440,2025-01-29,2025-01-29 22:40:00,1440,10,dtw_return_similarity_graph,C013,2,"AMCR,NXT"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440_dtw_return_similarity_graph_community_014,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1440,2025-01-29,2025-01-29 22:40:00,1440,10,dtw_return_similarity_graph,C014,2,"HUMA,WES"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_001,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C001,15,"ACRS,BKD,EQH,EXTR,FLGC,GNW,IAS,MFG,OSW,PNR,POWW,SO,UTI,VVV,WBS"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_002,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C002,13,"ALHC,BIP,BMBL,CLNE,DCGO,GOSS,LEG,LQDA,PFGC,REXR,SFIX,SLGN,WES"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_003,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C003,7,"AMBA,DSGX,GVH,MGPI,PRGS,RELY,SGLY"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_004,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C004,7,"ACAD,CRDF,FAST,MMS,MTCH,PLX,SVRA"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_005,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C005,4,"ARLP,BRZE,PAYX,SIG"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_006,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C006,4,"AUPH,HNST,OLN,RSKD"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_007,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C007,3,"ARW,AVT,GEVO"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_008,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C008,3,"CALX,GPN,WEN"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_009,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C009,2,"AMCR,BAND"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_010,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C010,2,"ARDX,BKE"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_011,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C011,2,"DLB,FLEX"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_012,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C012,2,"ENOV,NRG"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_013,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C013,2,"FLO,GRBK"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_014,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C014,2,"FPH,VCYT"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_015,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C015,2,"ATI,FR"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_016,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C016,2,"KO,SIGI"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_017,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C017,2,"DV,MLGO"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_018,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C018,2,"NUS,PFS"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_019,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C019,2,"GANX,PM"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_020,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C020,2,"DSP,ROL"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_021,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C021,2,"RVMD,WB"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_022,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C022,2,"BDTX,UTZ"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445_dtw_return_similarity_graph_community_023,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1445,2025-01-29,2025-01-29 22:45:00,1445,15,dtw_return_similarity_graph,C023,2,"CGEN,WDC"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450_dtw_return_similarity_graph_community_001,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450,2025-01-29,2025-01-29 22:50:00,1450,20,dtw_return_similarity_graph,C001,12,"ACRS,AMBA,AUPH,CWK,GNW,IAS,MFG,MGPI,OLN,PNR,POWW,RSKD"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450_dtw_return_similarity_graph_community_002,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450,2025-01-29,2025-01-29 22:50:00,1450,20,dtw_return_similarity_graph,C002,11,"CLNE,DCGO,GLDG,GOSS,LQDA,PFGC,REXR,SFIX,SKM,TALK,WES"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450_dtw_return_similarity_graph_community_003,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450,2025-01-29,2025-01-29 22:50:00,1450,20,dtw_return_similarity_graph,C003,9,"BKD,BUSE,CALX,CERS,FF,IPI,SF,SO,WEN"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450_dtw_return_similarity_graph_community_004,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450,2025-01-29,2025-01-29 22:50:00,1450,20,dtw_return_similarity_graph,C004,9,"FLGC,GVH,NAVI,PEBO,PFS,SIG,VTYX,VVV,WLY"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450_dtw_return_similarity_graph_community_005,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450,2025-01-29,2025-01-29 22:50:00,1450,20,dtw_return_similarity_graph,C005,8,"ARLP,ATOS,BHAT,DY,HTHT,MAPS,UTI,WBS"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450_dtw_return_similarity_graph_community_006,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450,2025-01-29,2025-01-29 22:50:00,1450,20,dtw_return_similarity_graph,C006,6,"BDTX,GDYN,OS,OSW,UTZ,VVOS"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450_dtw_return_similarity_graph_community_007,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450,2025-01-29,2025-01-29 22:50:00,1450,20,dtw_return_similarity_graph,C007,3,"EC,PYXS,TCOM"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450_dtw_return_similarity_graph_community_008,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450,2025-01-29,2025-01-29 22:50:00,1450,20,dtw_return_similarity_graph,C008,3,"EXAS,PSO,RRGB"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450_dtw_return_similarity_graph_community_009,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450,2025-01-29,2025-01-29 22:50:00,1450,20,dtw_return_similarity_graph,C009,2,"ARW,AVT"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450_dtw_return_similarity_graph_community_010,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450,2025-01-29,2025-01-29 22:50:00,1450,20,dtw_return_similarity_graph,C010,2,"ATI,FR"
full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450_dtw_return_similarity_graph_community_011,full-market-graph-build-candidate-tail4_2025-01-29,full-market-graph-build-candidate-tail4_2025-01-29_2025-01-29_1450,2025-01-29,2025-01-29 22:50:00,1450,20,dtw_return_similarity_graph,C011,2,"AVNS,SARO"
