symbol,source_symbol,company_name,sector_code,industry_code,last_price,rank,market_cap
A,A,A,UNKNOWN,UNKNOWN,0.0,0,0.0
AA,AA,AA,UNKNOWN,UNKNOWN,0.0,0,0.0
AAL,AAL,AAL,UNKNOWN,UNKNOWN,0.0,0,0.0
AAMI,AAMI,AAMI,UNKNOWN,UNKNOWN,0.0,0,0.0
AAOI,AAOI,AAOI,UNKNOWN,UNKNOWN,0.0,0,0.0
AAON,AAON,AAON,UNKNOWN,UNKNOWN,0.0,0,0.0
AAP,AAP,AAP,UNKNOWN,UNKNOWN,0.0,0,0.0
AAPG,AAPG,AAPG,UNKNOWN,UNKNOWN,0.0,0,0.0
AAPL,AAPL,AAPL,UNKNOWN,UNKNOWN,0.0,0,0.0
AAT,AAT,AAT,UNKNOWN,UNKNOWN,0.0,0,0.0
ABAT,ABAT,ABAT,UNKNOWN,UNKNOWN,0.0,0,0.0
ABBV,ABBV,ABBV,UNKNOWN,UNKNOWN,0.0,0,0.0
ABCB,ABCB,ABCB,UNKNOWN,UNKNOWN,0.0,0,0.0
ABCL,ABCL,ABCL,UNKNOWN,UNKNOWN,0.0,0,0.0
ABEO,ABEO,ABEO,UNKNOWN,UNKNOWN,0.0,0,0.0
ABEV,ABEV,ABEV,UNKNOWN,UNKNOWN,0.0,0,0.0
ABG,ABG,ABG,UNKNOWN,UNKNOWN,0.0,0,0.0
ABM,ABM,ABM,UNKNOWN,UNKNOWN,0.0,0,0.0
ABNB,ABNB,ABNB,UNKNOWN,UNKNOWN,0.0,0,0.0
ABR,ABR,ABR,UNKNOWN,UNKNOWN,0.0,0,0.0
ABSI,ABSI,ABSI,UNKNOWN,UNKNOWN,0.0,0,0.0
ABT,ABT,ABT,UNKNOWN,UNKNOWN,0.0,0,0.0
ABUS,ABUS,ABUS,UNKNOWN,UNKNOWN,0.0,0,0.0
ABVX,ABVX,ABVX,UNKNOWN,UNKNOWN,0.0,0,0.0
ACA,ACA,ACA,UNKNOWN,UNKNOWN,0.0,0,0.0
ACAD,ACAD,ACAD,UNKNOWN,UNKNOWN,0.0,0,0.0
ACB,ACB,ACB,UNKNOWN,UNKNOWN,0.0,0,0.0
ACCO,ACCO,ACCO,UNKNOWN,UNKNOWN,0.0,0,0.0
ACDC,ACDC,ACDC,UNKNOWN,UNKNOWN,0.0,0,0.0
ACEL,ACEL,ACEL,UNKNOWN,UNKNOWN,0.0,0,0.0
ACET,ACET,ACET,UNKNOWN,UNKNOWN,0.0,0,0.0
ACGL,ACGL,ACGL,UNKNOWN,UNKNOWN,0.0,0,0.0
ACHC,ACHC,ACHC,UNKNOWN,UNKNOWN,0.0,0,0.0
ACHR,ACHR,ACHR,UNKNOWN,UNKNOWN,0.0,0,0.0
ACHV,ACHV,ACHV,UNKNOWN,UNKNOWN,0.0,0,0.0
ACI,ACI,ACI,UNKNOWN,UNKNOWN,0.0,0,0.0
ACIC,ACIC,ACIC,UNKNOWN,UNKNOWN,0.0,0,0.0
ACIW,ACIW,ACIW,UNKNOWN,UNKNOWN,0.0,0,0.0
ACLS,ACLS,ACLS,UNKNOWN,UNKNOWN,0.0,0,0.0
ACM,ACM,ACM,UNKNOWN,UNKNOWN,0.0,0,0.0
ACMR,ACMR,ACMR,UNKNOWN,UNKNOWN,0.0,0,0.0
ACN,ACN,ACN,UNKNOWN,UNKNOWN,0.0,0,0.0
ACNB,ACNB,ACNB,UNKNOWN,UNKNOWN,0.0,0,0.0
ACNT,ACNT,ACNT,UNKNOWN,UNKNOWN,0.0,0,0.0
ACOG,ACOG,ACOG,UNKNOWN,UNKNOWN,0.0,0,0.0
ACR,ACR,ACR,UNKNOWN,UNKNOWN,0.0,0,0.0
ACRE,ACRE,ACRE,UNKNOWN,UNKNOWN,0.0,0,0.0
ACRS,ACRS,ACRS,UNKNOWN,UNKNOWN,0.0,0,0.0
ACT,ACT,ACT,UNKNOWN,UNKNOWN,0.0,0,0.0
ACTG,ACTG,ACTG,UNKNOWN,UNKNOWN,0.0,0,0.0
ACU,ACU,ACU,UNKNOWN,UNKNOWN,0.0,0,0.0
ACVA,ACVA,ACVA,UNKNOWN,UNKNOWN,0.0,0,0.0
ADAG,ADAG,ADAG,UNKNOWN,UNKNOWN,0.0,0,0.0
ADBE,ADBE,ADBE,UNKNOWN,UNKNOWN,0.0,0,0.0
ADC,ADC,ADC,UNKNOWN,UNKNOWN,0.0,0,0.0
ADEA,ADEA,ADEA,UNKNOWN,UNKNOWN,0.0,0,0.0
ADI,ADI,ADI,UNKNOWN,UNKNOWN,0.0,0,0.0
ADM,ADM,ADM,UNKNOWN,UNKNOWN,0.0,0,0.0
ADMA,ADMA,ADMA,UNKNOWN,UNKNOWN,0.0,0,0.0
ADNT,ADNT,ADNT,UNKNOWN,UNKNOWN,0.0,0,0.0
ADP,ADP,ADP,UNKNOWN,UNKNOWN,0.0,0,0.0
ADPT,ADPT,ADPT,UNKNOWN,UNKNOWN,0.0,0,0.0
ADSE,ADSE,ADSE,UNKNOWN,UNKNOWN,0.0,0,0.0
ADSK,ADSK,ADSK,UNKNOWN,UNKNOWN,0.0,0,0.0
ADT,ADT,ADT,UNKNOWN,UNKNOWN,0.0,0,0.0
ADTN,ADTN,ADTN,UNKNOWN,UNKNOWN,0.0,0,0.0
ADUR,ADUR,ADUR,UNKNOWN,UNKNOWN,0.0,0,0.0
ADUS,ADUS,ADUS,UNKNOWN,UNKNOWN,0.0,0,0.0
ADV,ADV,ADV,UNKNOWN,UNKNOWN,0.0,0,0.0
AEE,AEE,AEE,UNKNOWN,UNKNOWN,0.0,0,0.0
AEG,AEG,AEG,UNKNOWN,UNKNOWN,0.0,0,0.0
AEHR,AEHR,AEHR,UNKNOWN,UNKNOWN,0.0,0,0.0
AEIS,AEIS,AEIS,UNKNOWN,UNKNOWN,0.0,0,0.0
AEM,AEM,AEM,UNKNOWN,UNKNOWN,0.0,0,0.0
AENT,AENT,AENT,UNKNOWN,UNKNOWN,0.0,0,0.0
AEO,AEO,AEO,UNKNOWN,UNKNOWN,0.0,0,0.0
AEP,AEP,AEP,UNKNOWN,UNKNOWN,0.0,0,0.0
AER,AER,AER,UNKNOWN,UNKNOWN,0.0,0,0.0
AES,AES,AES,UNKNOWN,UNKNOWN,0.0,0,0.0
AESI,AESI,AESI,UNKNOWN,UNKNOWN,0.0,0,0.0
AEVA,AEVA,AEVA,UNKNOWN,UNKNOWN,0.0,0,0.0
AEYE,AEYE,AEYE,UNKNOWN,UNKNOWN,0.0,0,0.0
AFBI,AFBI,AFBI,UNKNOWN,UNKNOWN,0.0,0,0.0
AFCG,AFCG,AFCG,UNKNOWN,UNKNOWN,0.0,0,0.0
AFG,AFG,AFG,UNKNOWN,UNKNOWN,0.0,0,0.0
AFJK,AFJK,AFJK,UNKNOWN,UNKNOWN,0.0,0,0.0
AFL,AFL,AFL,UNKNOWN,UNKNOWN,0.0,0,0.0
AFRI,AFRI,AFRI,UNKNOWN,UNKNOWN,0.0,0,0.0
AFRM,AFRM,AFRM,UNKNOWN,UNKNOWN,0.0,0,0.0
AFYA,AFYA,AFYA,UNKNOWN,UNKNOWN,0.0,0,0.0
AG,AG,AG,UNKNOWN,UNKNOWN,0.0,0,0.0
AGCO,AGCO,AGCO,UNKNOWN,UNKNOWN,0.0,0,0.0
AGEN,AGEN,AGEN,UNKNOWN,UNKNOWN,0.0,0,0.0
AGI,AGI,AGI,UNKNOWN,UNKNOWN,0.0,0,0.0
AGIO,AGIO,AGIO,UNKNOWN,UNKNOWN,0.0,0,0.0
AGL,AGL,AGL,UNKNOWN,UNKNOWN,0.0,0,0.0
AGM,AGM,AGM,UNKNOWN,UNKNOWN,0.0,0,0.0
AGNC,AGNC,AGNC,UNKNOWN,UNKNOWN,0.0,0,0.0
AGO,AGO,AGO,UNKNOWN,UNKNOWN,0.0,0,0.0
AGRO,AGRO,AGRO,UNKNOWN,UNKNOWN,0.0,0,0.0
AGX,AGX,AGX,UNKNOWN,UNKNOWN,0.0,0,0.0
AGYS,AGYS,AGYS,UNKNOWN,UNKNOWN,0.0,0,0.0
AHCO,AHCO,AHCO,UNKNOWN,UNKNOWN,0.0,0,0.0
AHR,AHR,AHR,UNKNOWN,UNKNOWN,0.0,0,0.0
