trade_date,graph_layer,community_count,min_member_count,avg_member_count,max_member_count,shard_file
2025-01-02,dtw_return_similarity_graph,251,2,43.841869463394765,64,community_member_symbols/2025-01-02__dtw_return_similarity_graph.csv
2025-01-02,dtw_trade_flow_similarity_graph,702,2,39.69353521858532,78,community_member_symbols/2025-01-02__dtw_trade_flow_similarity_graph.csv
2025-01-02,flow_alignment_graph,577,2,3492.9897539542408,3704,community_member_symbols/2025-01-02__flow_alignment_graph.csv
2025-01-02,large_trade_alignment_graph,8,2,2.8,4,community_member_symbols/2025-01-02__large_trade_alignment_graph.csv
2025-01-02,return_corr_graph,3211,2,2536.235398942568,3362,community_member_symbols/2025-01-02__return_corr_graph.csv
2025-01-02,volume_expansion_graph,3062,2,127.00532884588416,492,community_member_symbols/2025-01-02__volume_expansion_graph.csv
2025-01-03,dtw_return_similarity_graph,245,2,44.010399673735726,64,community_member_symbols/2025-01-03__dtw_return_similarity_graph.csv
2025-01-03,dtw_trade_flow_similarity_graph,683,2,40.29413547507198,81,community_member_symbols/2025-01-03__dtw_trade_flow_similarity_graph.csv
2025-01-03,flow_alignment_graph,518,2,3562.640645220086,3725,community_member_symbols/2025-01-03__flow_alignment_graph.csv
2025-01-03,large_trade_alignment_graph,2,2,5.888888888888889,7,community_member_symbols/2025-01-03__large_trade_alignment_graph.csv
2025-01-03,return_corr_graph,2376,2,2573.235803457581,3324,community_member_symbols/2025-01-03__return_corr_graph.csv
2025-01-03,volume_expansion_graph,3792,2,109.69490267709344,493,community_member_symbols/2025-01-03__volume_expansion_graph.csv
2025-01-06,dtw_return_similarity_graph,245,2,43.684688360705906,72,community_member_symbols/2025-01-06__dtw_return_similarity_graph.csv
2025-01-06,dtw_trade_flow_similarity_graph,706,2,40.86650558743582,81,community_member_symbols/2025-01-06__dtw_trade_flow_similarity_graph.csv
2025-01-06,flow_alignment_graph,747,2,3577.142676422811,3774,community_member_symbols/2025-01-06__flow_alignment_graph.csv
2025-01-06,large_trade_alignment_graph,6,2,2.0,2,community_member_symbols/2025-01-06__large_trade_alignment_graph.csv
2025-01-06,return_corr_graph,2964,2,2622.710902680769,3470,community_member_symbols/2025-01-06__return_corr_graph.csv
2025-01-06,volume_expansion_graph,3132,2,108.40704621935306,413,community_member_symbols/2025-01-06__volume_expansion_graph.csv
2025-01-07,dtw_return_similarity_graph,240,2,45.19239689422204,64,community_member_symbols/2025-01-07__dtw_return_similarity_graph.csv
2025-01-07,dtw_trade_flow_similarity_graph,672,2,41.621794389711965,85,community_member_symbols/2025-01-07__dtw_trade_flow_similarity_graph.csv
2025-01-07,flow_alignment_graph,539,2,3512.5464590602446,3703,community_member_symbols/2025-01-07__flow_alignment_graph.csv
2025-01-07,large_trade_alignment_graph,8,2,3.56,6,community_member_symbols/2025-01-07__large_trade_alignment_graph.csv
2025-01-07,return_corr_graph,3579,2,2631.9022511764624,3418,community_member_symbols/2025-01-07__return_corr_graph.csv
2025-01-07,volume_expansion_graph,3287,2,114.86009276319969,481,community_member_symbols/2025-01-07__volume_expansion_graph.csv
2025-01-08,dtw_return_similarity_graph,247,2,45.37965830752323,63,community_member_symbols/2025-01-08__dtw_return_similarity_graph.csv
2025-01-08,dtw_trade_flow_similarity_graph,707,2,41.478466076696165,80,community_member_symbols/2025-01-08__dtw_trade_flow_similarity_graph.csv
2025-01-08,flow_alignment_graph,544,2,3501.828923172362,3689,community_member_symbols/2025-01-08__flow_alignment_graph.csv
2025-01-08,large_trade_alignment_graph,4,2,2.0,2,community_member_symbols/2025-01-08__large_trade_alignment_graph.csv
2025-01-08,return_corr_graph,3122,2,2596.7555304577677,3394,community_member_symbols/2025-01-08__return_corr_graph.csv
2025-01-08,volume_expansion_graph,2896,2,108.86915887850468,468,community_member_symbols/2025-01-08__volume_expansion_graph.csv
2025-01-10,dtw_return_similarity_graph,252,2,44.77900552486188,82,community_member_symbols/2025-01-10__dtw_return_similarity_graph.csv
2025-01-10,dtw_trade_flow_similarity_graph,682,2,40.7426053181954,80,community_member_symbols/2025-01-10__dtw_trade_flow_similarity_graph.csv
2025-01-10,flow_alignment_graph,781,2,3473.6735335053736,3682,community_member_symbols/2025-01-10__flow_alignment_graph.csv
2025-01-10,large_trade_alignment_graph,22,2,4.235294117647059,7,community_member_symbols/2025-01-10__large_trade_alignment_graph.csv
2025-01-10,return_corr_graph,2949,2,2597.039776840439,3431,community_member_symbols/2025-01-10__return_corr_graph.csv
2025-01-10,volume_expansion_graph,2728,2,123.37549349320076,468,community_member_symbols/2025-01-10__volume_expansion_graph.csv
2025-01-13,dtw_return_similarity_graph,248,2,45.6522462562396,62,community_member_symbols/2025-01-13__dtw_return_similarity_graph.csv
2025-01-13,dtw_trade_flow_similarity_graph,691,2,43.018388474625354,94,community_member_symbols/2025-01-13__dtw_trade_flow_similarity_graph.csv
2025-01-13,flow_alignment_graph,718,2,3489.9352259568223,3680,community_member_symbols/2025-01-13__flow_alignment_graph.csv
2025-01-13,large_trade_alignment_graph,2,2,2.0,2,community_member_symbols/2025-01-13__large_trade_alignment_graph.csv
2025-01-13,return_corr_graph,3441,2,2414.5428609066175,3354,community_member_symbols/2025-01-13__return_corr_graph.csv
2025-01-13,volume_expansion_graph,2888,2,157.52730351347537,524,community_member_symbols/2025-01-13__volume_expansion_graph.csv
2025-01-14,dtw_return_similarity_graph,256,2,45.52698104035002,75,community_member_symbols/2025-01-14__dtw_return_similarity_graph.csv
2025-01-14,dtw_trade_flow_similarity_graph,697,2,42.63035388544327,85,community_member_symbols/2025-01-14__dtw_trade_flow_similarity_graph.csv
2025-01-14,flow_alignment_graph,532,2,3466.2355206304433,3658,community_member_symbols/2025-01-14__flow_alignment_graph.csv
2025-01-14,large_trade_alignment_graph,9,2,2.652173913043478,3,community_member_symbols/2025-01-14__large_trade_alignment_graph.csv
2025-01-14,return_corr_graph,2318,2,2536.6855173933513,3280,community_member_symbols/2025-01-14__return_corr_graph.csv
2025-01-14,volume_expansion_graph,2980,2,110.35890683937086,429,community_member_symbols/2025-01-14__volume_expansion_graph.csv
2025-01-15,dtw_return_similarity_graph,250,2,46.05201082753287,65,community_member_symbols/2025-01-15__dtw_return_similarity_graph.csv
2025-01-15,dtw_trade_flow_similarity_graph,673,2,42.44969731911213,78,community_member_symbols/2025-01-15__dtw_trade_flow_similarity_graph.csv
2025-01-15,flow_alignment_graph,672,2,3459.511569596143,3636,community_member_symbols/2025-01-15__flow_alignment_graph.csv
2025-01-15,large_trade_alignment_graph,3,4,5.5,6,community_member_symbols/2025-01-15__large_trade_alignment_graph.csv
2025-01-15,return_corr_graph,2724,2,2531.1223000712935,3282,community_member_symbols/2025-01-15__return_corr_graph.csv
2025-01-15,volume_expansion_graph,3427,2,127.0417139783661,527,community_member_symbols/2025-01-15__volume_expansion_graph.csv
2025-01-16,dtw_return_similarity_graph,258,2,46.64617125612976,63,community_member_symbols/2025-01-16__dtw_return_similarity_graph.csv
2025-01-16,dtw_trade_flow_similarity_graph,673,2,43.744923857868024,90,community_member_symbols/2025-01-16__dtw_trade_flow_similarity_graph.csv
2025-01-16,flow_alignment_graph,505,2,3465.6951014682504,3596,community_member_symbols/2025-01-16__flow_alignment_graph.csv
2025-01-16,return_corr_graph,2282,2,2560.97386901519,3237,community_member_symbols/2025-01-16__return_corr_graph.csv
2025-01-16,volume_expansion_graph,3087,2,155.2974185577736,563,community_member_symbols/2025-01-16__volume_expansion_graph.csv
2025-01-17,dtw_return_similarity_graph,257,2,45.60378451438502,62,community_member_symbols/2025-01-17__dtw_return_similarity_graph.csv
