layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
full-market-graph-build-v2_2025-01-10_2025-01-10_1435_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_1435,2025-01-10,2025-01-10 22:35:00,1435,5,large_trade_alignment_graph,C001,7,"ALL,ARM,BSX,CACC,CRDO,HOOD,SPOT"
full-market-graph-build-v2_2025-01-10_2025-01-10_1440_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_1440,2025-01-10,2025-01-10 22:40:00,1440,10,large_trade_alignment_graph,C001,7,"ALL,ARM,BSX,CACC,CRDO,HOOD,SPOT"
full-market-graph-build-v2_2025-01-10_2025-01-10_1445_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_1445,2025-01-10,2025-01-10 22:45:00,1445,15,large_trade_alignment_graph,C001,7,"ALL,ARM,BSX,CACC,CRDO,HOOD,SPOT"
full-market-graph-build-v2_2025-01-10_2025-01-10_1545_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_1545,2025-01-10,2025-01-10 23:45:00,1545,75,large_trade_alignment_graph,C001,3,"AIV,CLMB,ROOT"
full-market-graph-build-v2_2025-01-10_2025-01-10_1550_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_1550,2025-01-10,2025-01-10 23:50:00,1550,80,large_trade_alignment_graph,C001,3,"AIV,CLMB,ROOT"
full-market-graph-build-v2_2025-01-10_2025-01-10_1555_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_1555,2025-01-10,2025-01-10 23:55:00,1555,85,large_trade_alignment_graph,C001,3,"AIV,CLMB,ROOT"
full-market-graph-build-v2_2025-01-10_2025-01-10_1600_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_1600,2025-01-10,2025-01-11 00:00:00,1600,90,large_trade_alignment_graph,C001,3,"AIV,CLMB,ROOT"
full-market-graph-build-v2_2025-01-10_2025-01-10_1605_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_1605,2025-01-10,2025-01-11 00:05:00,1605,95,large_trade_alignment_graph,C001,7,"AIV,CLMB,EXPE,GIS,ROOT,SPGI,WAT"
full-market-graph-build-v2_2025-01-10_2025-01-10_1945_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_1945,2025-01-10,2025-01-11 03:45:00,1945,315,large_trade_alignment_graph,C001,2,"MORN,UI"
full-market-graph-build-v2_2025-01-10_2025-01-10_1950_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_1950,2025-01-10,2025-01-11 03:50:00,1950,320,large_trade_alignment_graph,C001,2,"FCNCA,LAD"
full-market-graph-build-v2_2025-01-10_2025-01-10_1950_large_trade_alignment_graph_community_002,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_1950,2025-01-10,2025-01-11 03:50:00,1950,320,large_trade_alignment_graph,C002,2,"MORN,UI"
full-market-graph-build-v2_2025-01-10_2025-01-10_1955_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_1955,2025-01-10,2025-01-11 03:55:00,1955,325,large_trade_alignment_graph,C001,2,"FCNCA,LAD"
full-market-graph-build-v2_2025-01-10_2025-01-10_1955_large_trade_alignment_graph_community_002,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_1955,2025-01-10,2025-01-11 03:55:00,1955,325,large_trade_alignment_graph,C002,2,"MORN,UI"
full-market-graph-build-v2_2025-01-10_2025-01-10_2000_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_2000,2025-01-10,2025-01-11 04:00:00,2000,330,large_trade_alignment_graph,C001,2,"FCNCA,LAD"
full-market-graph-build-v2_2025-01-10_2025-01-10_2000_large_trade_alignment_graph_community_002,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_2000,2025-01-10,2025-01-11 04:00:00,2000,330,large_trade_alignment_graph,C002,2,"MORN,UI"
full-market-graph-build-v2_2025-01-10_2025-01-10_2005_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_2005,2025-01-10,2025-01-11 04:05:00,2005,335,large_trade_alignment_graph,C001,2,"FCNCA,LAD"
full-market-graph-build-v2_2025-01-10_2025-01-10_2005_large_trade_alignment_graph_community_002,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_2005,2025-01-10,2025-01-11 04:05:00,2005,335,large_trade_alignment_graph,C002,2,"MORN,UI"
full-market-graph-build-v2_2025-01-10_2025-01-10_2010_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_2010,2025-01-10,2025-01-11 04:10:00,2010,340,large_trade_alignment_graph,C001,2,"FCNCA,LAD"
full-market-graph-build-v2_2025-01-10_2025-01-10_2010_large_trade_alignment_graph_community_002,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_2010,2025-01-10,2025-01-11 04:10:00,2010,340,large_trade_alignment_graph,C002,2,"MORN,UI"
full-market-graph-build-v2_2025-01-10_2025-01-10_2015_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_2015,2025-01-10,2025-01-11 04:15:00,2015,345,large_trade_alignment_graph,C001,2,"MORN,UI"
full-market-graph-build-v2_2025-01-10_2025-01-10_2020_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_2020,2025-01-10,2025-01-11 04:20:00,2020,350,large_trade_alignment_graph,C001,2,"CACC,HHH"
full-market-graph-build-v2_2025-01-10_2025-01-10_2020_large_trade_alignment_graph_community_002,full-market-graph-build-v2_2025-01-10,full-market-graph-build-v2_2025-01-10_2025-01-10_2020,2025-01-10,2025-01-11 04:20:00,2020,350,large_trade_alignment_graph,C002,2,"MORN,UI"
