layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
full-market-graph-build-v2_2025-01-14_2025-01-14_1440_dtw_return_similarity_graph_community_001,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1440,2025-01-14,2025-01-14 22:40:00,1440,10,dtw_return_similarity_graph,C001,58,"ABVE,ACNT,ADIL,ADSE,LAKE,LANDO,LFUS,LGCL,LINK,LKFN,LND,LSTA,LXFR,MAGN,MATX,MBIN,MGEE,MGRC,MNOV,MRT,MSA,MSBI,MSEX,MSGE,MSGS,NEUP,NHTC,NIC,NISN,NKSH,NRSN,NUTX,NVNO,NVVE,PDLB,PED,PINE,PJT,PKST,PMAX,PNRG,PRSU,PXS,RDI,RDWR,REBN,RVSB,SGA,SMP,SURG,TAYD,TUSK,UONEK,VREX,VTSI,WLYB,WMK,WNEB"
full-market-graph-build-v2_2025-01-14_2025-01-14_1440_dtw_return_similarity_graph_community_002,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1440,2025-01-14,2025-01-14 22:40:00,1440,10,dtw_return_similarity_graph,C002,55,"AERT,AIHS,LII,LOCL,MARPS,MBWM,MCBS,MGRX,MGYR,MNDO,MNY,MORN,MRM,MSB,MTNB,NAUT,NCSM,NESR,NMM,NOAH,NREF,NRIM,NTIC,NXTC,ODC,OMAB,OPAD,PAHC,PAVM,PFBC,PLMR,POLA,PSBD,QNCX,RBC,RILYT,SABS,SEVN,SNAL,SOPH,SPMC,SSD,SSSS,SUUN,TELO,TENX,TG,TORO,TYL,VIRC,XLO,XWEL,YXT,YYGH,ZEPP"
full-market-graph-build-v2_2025-01-14_2025-01-14_1440_dtw_return_similarity_graph_community_006,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1440,2025-01-14,2025-01-14 22:40:00,1440,10,dtw_return_similarity_graph,C006,33,"FAT,FRAF,GIGM,GWH,HCTI,HIHO,IBAC,ILAG,IMMP,INBS,MFG,MGIC,MTVA,NBHC,NCNA,NRP,OLB,OPHC,PHGE,RLGT,SHPH,SINT,SKYE,SNFCA,SNOA,SNYR,SSBI,STHO,TISI,TLS,TSBK,USGO,YHNA"
full-market-graph-build-v2_2025-01-14_2025-01-14_1440_dtw_return_similarity_graph_community_003,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1440,2025-01-14,2025-01-14 22:40:00,1440,10,dtw_return_similarity_graph,C003,2,"AQMS,ZJYL"
full-market-graph-build-v2_2025-01-14_2025-01-14_1440_dtw_return_similarity_graph_community_004,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1440,2025-01-14,2025-01-14 22:40:00,1440,10,dtw_return_similarity_graph,C004,2,"CNS,CNTA"
full-market-graph-build-v2_2025-01-14_2025-01-14_1440_dtw_return_similarity_graph_community_005,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1440,2025-01-14,2025-01-14 22:40:00,1440,10,dtw_return_similarity_graph,C005,2,"DRUG,YI"
full-market-graph-build-v2_2025-01-14_2025-01-14_1440_dtw_return_similarity_graph_community_007,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1440,2025-01-14,2025-01-14 22:40:00,1440,10,dtw_return_similarity_graph,C007,2,"XTKG,ZONE"
full-market-graph-build-v2_2025-01-14_2025-01-14_1445_dtw_return_similarity_graph_community_001,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1445,2025-01-14,2025-01-14 22:45:00,1445,15,dtw_return_similarity_graph,C001,57,"ADSE,LFUS,LGCL,LINK,LKFN,LND,LSTA,MGRC,MLP,MNOV,MRKR,MRT,MSA,MSBI,MSGE,MSGS,MTX,NATH,NIC,NISN,NKSH,NUTX,NVNO,NVVE,ONIT,OPXS,PBT,PINE,PKBK,PNRG,PRLB,PXS,RDHL,RFIL,RLYB,RVP,SAR,SBET,SDHY,SER,SGU,SNES,SNTI,STRT,SUNS,TCX,TRNS,TRST,TSAT,ULY,UONEK,UTMD,VHI,VLGEA,WAFU,WALD,WORX"
full-market-graph-build-v2_2025-01-14_2025-01-14_1445_dtw_return_similarity_graph_community_002,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1445,2025-01-14,2025-01-14 22:45:00,1445,15,dtw_return_similarity_graph,C002,47,"AERT,LEE,LITB,LOCL,MBWM,MCB,MGRX,MGYR,MMA,MNDO,MNY,MRBK,MSB,MSC,NAUT,NCSM,NOAH,NRIM,NTIC,NXTC,ODC,OMAB,ONEG,ONTF,OPAD,PAVM,PFBC,PMN,POLA,PSBD,QRHC,RBC,RKDA,RPT,SEVN,SOPH,SSD,SSSS,TLPH,TNC,TYL,USPH,VIRC,VOXR,VSME,XLO,XOS"
full-market-graph-build-v2_2025-01-14_2025-01-14_1445_dtw_return_similarity_graph_community_004,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1445,2025-01-14,2025-01-14 22:45:00,1445,15,dtw_return_similarity_graph,C004,33,"ASTI,AUNA,BBDO,BFIN,CLIK,CSR,DAC,EDRY,ELA,ENLT,FAT,FRAF,GIGM,GLE,HIHO,IBAC,ILAG,MFG,MGIC,NBHC,NTIP,OLB,OPHC,PHGE,RLGT,SNFCA,SNOA,SNYR,SSBI,SYBX,TISI,TSBK,YHNA"
full-market-graph-build-v2_2025-01-14_2025-01-14_1445_dtw_return_similarity_graph_community_003,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1445,2025-01-14,2025-01-14 22:45:00,1445,15,dtw_return_similarity_graph,C003,3,"AGNCL,AIRI,SLNG"
full-market-graph-build-v2_2025-01-14_2025-01-14_1445_dtw_return_similarity_graph_community_005,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1445,2025-01-14,2025-01-14 22:45:00,1445,15,dtw_return_similarity_graph,C005,2,"DKL,DTI"
full-market-graph-build-v2_2025-01-14_2025-01-14_1445_dtw_return_similarity_graph_community_006,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1445,2025-01-14,2025-01-14 22:45:00,1445,15,dtw_return_similarity_graph,C006,2,"EGP,ZBAO"
full-market-graph-build-v2_2025-01-14_2025-01-14_1450_dtw_return_similarity_graph_community_003,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1450,2025-01-14,2025-01-14 22:50:00,1450,20,dtw_return_similarity_graph,C003,57,"LANDO,LARK,LFUS,LGCL,LINK,LND,LSTA,MDBH,MLP,MNOV,MOG.A,MPX,MRCC,MRT,MSA,MSGS,NATH,NBN,NEU,NISN,NKSH,NPO,NUTX,NVNO,NVVE,PDLB,PKBK,PNRG,PRSU,RAY,RFIL,RILYL,RITR,RUSHB,RVP,RVSB,SAR,SGU,SNES,SNTI,SOHO,SOHU,SPRU,STRT,TAYD,TLX,TOPS,UEIC,ULY,VABK,VLGEA,VTSI,WAFU,WLFC,WMK,WNEB,XOMA"
full-market-graph-build-v2_2025-01-14_2025-01-14_1450_dtw_return_similarity_graph_community_001,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1450,2025-01-14,2025-01-14 22:50:00,1450,20,dtw_return_similarity_graph,C001,49,"AERT,GPI,LZM,MBWM,MFIN,MGRX,MGYR,MMA,MNY,MRBK,MSB,MSC,MTR,NCSM,NESR,NTIC,NXTC,ODC,OMAB,ONEG,OPRX,PFBC,PLBC,PMN,POLA,QRHC,RBB,RBC,RCKY,RKDA,RPT,SELX,SEVN,SOPA,SOPH,SPFI,TENX,THFF,TLPH,UHG,UUU,VALN,VIRC,VSME,WF,WPRT,XPOF,YAAS,YQ"
full-market-graph-build-v2_2025-01-14_2025-01-14_1450_dtw_return_similarity_graph_community_002,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1450,2025-01-14,2025-01-14 22:50:00,1450,20,dtw_return_similarity_graph,C002,33,"ATLCZ,AUNA,BFIN,BRLT,CSR,DAC,EDRY,ELA,ENLT,FAT,FRAF,GIGM,GLE,HIHO,IBAC,ILAG,IMTE,MFG,MGIC,NTIP,OLB,OPHC,PHGE,RLGT,SNFCA,SNYR,SSBI,SYBX,TISI,TROO,TSBK,WHF,YHNA"
