layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_003,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C003,39,"AEI,ALNT,ATNM,AUUD,AXR,BOC,EBMT,EFOI,EVGN,FEDU,FLXS,FRD,FRST,GNLN,GV,GWH,HCSG,HNNA,HUDI,JYNT,LE,LGCB,MPX,MSN,MTEK,NBY,OBT,OST,POLA,PPBT,RILYN,SGC,STRT,TAYD,TLSI,TROO,UCL,ULH,ULY"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_001,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C001,32,"ABTS,AHT,AMST,AMTB,ARMP,ASTI,ATXS,BETR,BPYPM,ELA,EML,FNWB,LCNB,MRM,NC,NVX,OXSQG,PCB,PCSA,PHI,PMN,PRPH,QNRX,RYI,SGU,SIFY,TCI,THRY,UPC,USPH,XTKG,YI"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_002,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C002,14,"ACGLN,ADXN,AFBI,ALCO,DNTH,EP,GHRS,OOMA,PTN,SLE,SSBI,SVRE,VALU,YHGJ"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_005,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C005,13,"ANDE,CHH,CMPR,CRVL,CWT,CXT,KMPR,NAMS,POST,SAH,STRA,VAC,WMK"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_010,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C010,12,"CBZ,FBK,HIPO,HUBG,LGIH,LKFN,LTM,MORN,SAM,TECX,TMP,WLFC"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_006,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C006,10,"ANIK,BQ,CLIR,HCWB,IRMD,MRT,PKOH,SNTI,VABK,WF"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_004,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C004,8,"AENT,AFCG,CENTA,FLUX,MNTK,NGVC,NTCT,UTL"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_016,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C016,3,"DJCO,FCNCA,WDFC"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_007,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C007,2,"AWI,MMSI"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_008,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C008,2,"AWX,XPER"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_009,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C009,2,"BVS,DSGR"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_011,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C011,2,"CCAP,CYRX"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_012,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C012,2,"CELC,CGEM"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_013,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C013,2,"CHEF,SITM"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_014,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C014,2,"CREV,IX"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_015,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C015,2,"DCBO,STTK"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_017,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C017,2,"FER,WASH"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_018,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C018,2,"HTCO,TOVX"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_019,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C019,2,"IMCR,IPDN"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_020,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C020,2,"KRO,SNT"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_021,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C021,2,"LDI,SUNS"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_022,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C022,2,"LZB,TNC"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_023,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C023,2,"MG,MSEX"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_024,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C024,2,"PHIN,SKY"
full-market-graph-build-v2_2025-01-22_2025-01-22_1440_dtw_trade_flow_similarity_graph_community_025,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1440,2025-01-22,2025-01-22 22:40:00,1440,10,dtw_trade_flow_similarity_graph,C025,2,"SOS,XWEL"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_003,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C003,38,"ALNT,BOC,BRID,BRT,BWMN,EBMT,EVGN,FEDU,FET,FLXS,FRD,FRST,GCMG,HNNA,HUDI,IIIV,IKT,IPWR,LGCB,METCB,MPX,MSN,NCL,OBT,OST,PDLB,POLA,PVL,RLYB,SGC,STRT,TAYD,TC,TLSI,TROO,ULH,ULY,VHI"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_004,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C004,29,"AMST,ASTI,ATEX,ATXS,BETR,BPYPM,ELA,ELPW,EML,FNWB,INBX,KLTO,LCNB,MGIC,MKZR,NC,NVX,OXBR,OXSQG,PCB,PHI,PMN,RYI,SGU,SIFY,TCI,USPH,XTKG,YI"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_002,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C002,11,"ADXN,AFBI,ALCO,CTRM,DBVT,EP,JFBR,SSBI,TLPH,VALU,YHGJ"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_011,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C011,9,"BQ,IRMD,MRT,PRPO,SMID,TRC,TRIB,VABK,WF"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_014,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C014,6,"CPK,KMPR,MEDP,SAH,STRA,WMK"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_021,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C021,5,"HUBG,MORN,PJT,TMP,WLFC"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_001,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C001,4,"ACTG,CDTX,CNXN,UTL"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_016,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C016,4,"CTBI,NBN,PACK,WLDN"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_005,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C005,2,"ANIK,ARMP"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_006,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C006,2,"ARTNA,EGAN"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_007,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C007,2,"AWI,MMSI"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_008,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C008,2,"BAOS,THRY"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_009,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C009,2,"BKTI,QNCX"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_010,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C010,2,"BOH,PRG"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_012,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C012,2,"BVS,DSGR"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_013,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C013,2,"CLBK,GIFI"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_015,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C015,2,"CREV,IX"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_017,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C017,2,"DJCO,FCNCA"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_018,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C018,2,"FTEL,RFL"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_019,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C019,2,"GATX,GKOS"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_020,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C020,2,"HBB,TR"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_022,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C022,2,"INSE,WOW"
full-market-graph-build-v2_2025-01-22_2025-01-22_1445_dtw_trade_flow_similarity_graph_community_023,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1445,2025-01-22,2025-01-22 22:45:00,1445,15,dtw_trade_flow_similarity_graph,C023,2,"SOS,XWEL"
