layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
full-market-graph-build-v2_2025-01-22_2025-01-22_1435_volume_expansion_graph_community_001,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1435,2025-01-22,2025-01-22 22:35:00,1435,5,volume_expansion_graph,C001,338,"AAOI,AAPL,AB,ABAT,ABBV,ABEV,ABOS,ABSI,ABT,ABUS,ACB,ACHR,ACHV,ACON,ACR,ACRE,ADGM,ADI,ADPT,ADTN,ADUS,AEHL,AEP,AES,AEYE,AG,AGNC,AI,AIFF,AIRE,AIRS,AISP,ALB,ALTS,ALXO,ALZN,AMTB,ANAB,ANY,AORT,ARDT,AREB,ARTL,ASRT,AVGO,BAK,BAOS,BBCP,BBIO,BCAB,BCAX,BDTX,BFST,BGLC,BIAF,BIOX,BLNK,BNAI,BNTX,BNZI,BOC,BOKF,BRTX,BSLK,BTBT,BTDR,BTE,BW,BYRN,BZAI,CACI,CBAT,CBNK,CERS,CGON,CHMI,CHRD,CHSN,CISS,CIVB,CMBM,CMTL,CNET,COOK,CQP,CRML,CRVO,CSQ,CTNM,CTNT,CTOR,CTOS,CVBF,CVM,CVU,CWST,DBD,DDC,DDL,DELL,DEVS,DGLY,DHCNI,DOYU,DRMA,DTCK,DWTX,ECX,EKSO,ELP,ENVB,EQNR,EXFY,FEIM,FEMY,FIZZ,FLGC,FLL,FRPT,FRSX,FTAI,FTCI,FTFT,FTK,FTS,FUBO,FUFU,FUNC,FWONA,GANX,GAP,GCO,GCT,GDS,GELS,GFS,GGB,GITS,GLOB,GOOD,GOVX,GPRK,GS,GSHD,GTN,GWAV,HCAT,HCTI,HCWC,HDB,HIMS,HIMX,HL,HMC,HOTH,HOVR,HROW,HTCO,HTCR,HUBB,HURA,HWH,HZO,ICG,IIPR,IMMR,IMNN,IMRX,IMUX,INSG,IONQ,IONR,IPI,IRON,ITRI,ITRM,JAGX,JKS,JSPR,KAPA,KNSA,KOP,KOSS,LEN.B,LION,LMAT,LOAR,LOW,LRMR,LSE,LSPD,LTRN,LUCK,MEOH,MIRM,MIST,MITQ,MMA,MNTS,MPU,MRK,MS,MSDL,MSW,MTZ,MYO,NEE,NEGG,NOA,NRSN,NRT,NRXP,NVNO,NXTT,NYXH,OBE,OESX,OFG,OFIX,OM,ONCO,OOMA,OVID,OXLC,PAC,PASG,PENG,PEPG,PERI,PETS,PFG,PG,PGY,PHAT,PHG,PLCE,PLD,PLG,PLRX,PMEC,PONY,PSIG,PWP,PYXS,QCRH,QUIK,RACE,RANI,RBLX,RILY,RPD,RPID,RSI,RTO,RZLT,SAP,SBEV,SDRL,SES,SGMO,SGN,SHOP,SID,SIDU,SKK,SKLZ,SKYW,SKYX,SLP,SLQT,SLRX,SMSI,SNN,SNPS,SNY,SONY,SQM,SSBI,SSD,T,TANH,TARA,TBRG,TDY,TERN,TH,TKNO,TNON,TNYA,TRNR,TVGN,TWG,TXMD,TYGO,UBXG,UNIT,USIO,VEEV,VFS,VIOT,VNCE,VTAK,VTS,VTYX,VVOS,WBTN,WCT,WHLR,WPP,WRN,WSBC,WSC,WW,XAIR,XCH,XMTR,XOM,XP,XPEV,XRAY,XTIA,XTKG,XXII,YCBD,YJ,YMM,YYAI,ZBIO,ZENA,ZETA,ZGN,ZIM,ZJYL,ZK,ZNTL,ZTO,ZUMZ,ZVIA"
full-market-graph-build-v2_2025-01-22_2025-01-22_1435_volume_expansion_graph_community_003,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1435,2025-01-22,2025-01-22 22:35:00,1435,5,volume_expansion_graph,C003,18,"ACGLN,AIR,MBINN,MCRI,METCB,MLSS,MOGO,MPX,NRXS,NSP,PCB,PDLB,RBC,RELL,RICK,SGC,SLVM,TPB"
full-market-graph-build-v2_2025-01-22_2025-01-22_1435_volume_expansion_graph_community_004,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1435,2025-01-22,2025-01-22 22:35:00,1435,5,volume_expansion_graph,C004,14,"ACMR,ASTI,FDS,LEN,LNG,LOGI,LOOP,LPG,LSTA,LUMN,LVS,LYFT,M,PTN"
full-market-graph-build-v2_2025-01-22_2025-01-22_1435_volume_expansion_graph_community_009,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1435,2025-01-22,2025-01-22 22:35:00,1435,5,volume_expansion_graph,C009,7,"BFS,FKWL,HOFT,JWEL,PPIH,PPSI,XBP"
full-market-graph-build-v2_2025-01-22_2025-01-22_1435_volume_expansion_graph_community_011,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1435,2025-01-22,2025-01-22 22:35:00,1435,5,volume_expansion_graph,C011,7,"BTM,BZFD,FE,LLY,LYB,WGS,WRBY"
full-market-graph-build-v2_2025-01-22_2025-01-22_1435_volume_expansion_graph_community_017,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1435,2025-01-22,2025-01-22 22:35:00,1435,5,volume_expansion_graph,C017,7,"CPNG,HE,MARPS,NTR,OPRA,SFM,TIVC"
full-market-graph-build-v2_2025-01-22_2025-01-22_1435_volume_expansion_graph_community_019,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1435,2025-01-22,2025-01-22 22:35:00,1435,5,volume_expansion_graph,C019,7,"CTSO,DXC,INSP,ISPC,NITO,RZLV,VTMX"
full-market-graph-build-v2_2025-01-22_2025-01-22_1435_volume_expansion_graph_community_006,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1435,2025-01-22,2025-01-22 22:35:00,1435,5,volume_expansion_graph,C006,6,"ATCH,CDZIP,IPAR,LGL,ONBPO,SOPH"
full-market-graph-build-v2_2025-01-22_2025-01-22_1435_volume_expansion_graph_community_007,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1435,2025-01-22,2025-01-22 22:35:00,1435,5,volume_expansion_graph,C007,6,"AU,GME,IAC,IEP,LCID,VST"
full-market-graph-build-v2_2025-01-22_2025-01-22_1435_volume_expansion_graph_community_010,full-market-graph-build-v2_2025-01-22,full-market-graph-build-v2_2025-01-22_2025-01-22_1435,2025-01-22,2025-01-22 22:35:00,1435,5,volume_expansion_graph,C010,6,"BKSY,OHI,VZLA,W,WATT,WK"
