layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
full-market-graph-build-v2_2025-01-31_2025-01-31_1435_return_corr_graph_community_001,full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1435,2025-01-31,2025-01-31 22:35:00,1435,5,return_corr_graph,C001,418,"AA,AAL,AAPL,ABBV,ABEV,ABSI,ABVE,ACHR,ACMR,ACON,ADTX,AEHL,AEON,AESI,AFRM,AGNC,AI,AISP,ALAB,ALC,ALLR,ALV,AMC,AMD,AMOD,AMPG,AMZN,API,APLD,ARBE,ARBK,ARM,ASAN,ASML,ASST,ASTS,ATHE,ATXS,AU,AUR,AVGO,AXL,AZN,AZTR,BA,BAH,BBAI,BBD,BEP,BHAT,BHP,BIDU,BILI,BITF,BKKT,BKR,BMRA,BNZI,BORR,BP,BTBT,BTCT,BTDR,BURU,CAN,CCJ,CCL,CDE,CDT,CEG,CELH,CFLT,CGC,CGTX,CHPT,CHSN,CHTR,CIFR,CL,CLS,CMCSA,CMCT,CMG,CNSP,COHR,COIN,CORZ,CPNG,CRDO,CRH,CRM,CRNC,CRWD,CSCO,CTM,CVNA,CVS,CVX,CYCN,CYN,DB,DDOG,DECK,DELL,DGNX,DIS,DNA,DOCU,DOMH,DOW,DUO,DVN,DXST,DXYZ,EA,EDBL,EJH,ELAB,ENVB,ENVX,EONR,EOSE,EPD,EQNR,ERIC,ESPR,ET,ETN,EU,EVAX,EVTV,EXK,F,FCX,FLG,FLNC,FOXX,FRO,FSLY,FSM,FUBO,GCT,GCTK,GEV,GFAI,GFI,GM,GME,GNS,GOLD,GRAB,GRRR,GSAT,GSK,GTLB,GUTS,GWAV,GXAI,HAFN,HAL,HIMS,HIVE,HL,HMY,HOLO,HOOD,HOVR,HPE,HSBC,HSDT,HUBC,HURA,HUT,IAG,IBM,ICON,ICU,INTC,INTZ,INVZ,IONQ,IOVA,IP,IQ,IREN,JBLU,JG,JMIA,JOBY,JPM,JUNS,KC,KGC,KHC,KITT,KMI,KO,KOPN,KULR,KZIA,LAES,LAZR,LCID,LGCL,LI,LICN,LIDR,LITM,LMND,LODE,LOGI,LPSN,LRCX,LRHC,LTBR,LUNR,LVO,LX,LYFT,MARA,MBLY,MBOT,MDB,META,MLGO,MO,MPW,MRNA,MRSN,MRVL,MSFT,MSTR,MVIS,MVST,MYNZ,NAK,NBIS,NCLH,NEM,NINE,NIO,NITO,NIVF,NKE,NLY,NNE,NNOX,NOK,NOTE,NOW,NU,NUWE,NVAX,NVDA,NVNI,NVO,NVS,NVTS,NXT,O,OKE,OKLO,OKYO,OLN,ON,ONDS,ONON,OPEN,OPFI,OPTT,ORC,ORCL,ORKT,OTLY,OXLC,OXY,PAA,PAAS,PACB,PATH,PBR,PBR.A,PCSA,PDD,PDYN,PFE,PHIO,PL,PLBY,PLRZ,PLTR,PLUG,POET,PPG,PRZO,PSEC,PTON,PXLW,PYPL,QBTS,QCOM,QMCO,QNRX,QS,QSI,QUBT,RBLX,RCAT,RDDT,RDW,REBN,RGTI,RIME,RIO,RIOT,RIVN,RKLB,RNAZ,RR,RUN,RVSN,RXRX,RZLV,SBSW,SBUX,SENS,SERV,SES,SGBX,SGMO,SGN,SHEL,SHOP,SIDU,SIRI,SKBL,SLB,SLS,SLXN,SMCI,SMR,SNAP,SNOA,SOBR,SOFI,SOPA,SOUN,SPAI,SPCE,SPPL,SQM,SSL,STAI,STEM,STFS,STLA,STM,SVRE,SXTP,T,TANH,TDOC,TDTH,TEAM,TEM,TGL,TIGR,TLRY,TMC,TNXP,TOI,TOST,TPET,TPST,TRIB,TRMD,TS,TSM,TSSI,TTE,TVGN,TWLO,U,UBER,UEC,UMAC,UPS,UPST,USEG,V,VALE,VERU,VIAV,VMAR,VNOM,VOD,VRME,VRT,VRTX,VST,VSTS,VZ,WIMI,WKHS,WLDS,WMT,WNW,WOLF,WULF,XFOR,XOM,XPEV,XYZ,YIBO,ZENA,ZETA,ZIM,ZNTL"
full-market-graph-build-v2_2025-01-31_2025-01-31_1435_return_corr_graph_community_002,full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1435,2025-01-31,2025-01-31 22:35:00,1435,5,return_corr_graph,C002,2,"ANET,APP"
full-market-graph-build-v2_2025-01-31_2025-01-31_1435_return_corr_graph_community_003,full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1435,2025-01-31,2025-01-31 22:35:00,1435,5,return_corr_graph,C003,2,"GOOG,GOOGL"
full-market-graph-build-v2_2025-01-31_2025-01-31_1440_return_corr_graph_community_001,full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1440,2025-01-31,2025-01-31 22:40:00,1440,10,return_corr_graph,C001,441,"AA,AAL,AAPL,ABAT,ABEV,ABSI,ABVE,ACHR,ACMR,ACON,ADBE,ADTX,AEHL,AEON,AESI,AFRM,AG,AGNC,AI,AIRE,AISP,ALAB,ALC,ALLR,ALUR,ALV,AMC,AMD,AMOD,AMPG,AMZN,ANET,API,APLD,APP,ARBE,ARBK,ARM,ASAN,ASML,ASST,ASTS,ATHE,ATXS,AU,AUR,AVGO,AXL,AZN,AZTR,BA,BABA,BAC,BBAI,BE,BEP,BHAT,BHP,BIDU,BILI,BITF,BKKT,BKR,BLRX,BMRA,BNGO,BNZI,BORR,BP,BTBT,BTCT,BTDR,BTI,C,CAN,CCJ,CCL,CDE,CDT,CEG,CFLT,CGC,CGTX,CHRS,CHSN,CL,CLF,CLOV,CLS,CLSK,CMCSA,CMCT,CMG,CMPX,CNSP,COHR,COIN,CORZ,CPNG,CRDO,CRH,CRM,CRNC,CRSP,CRWD,CSCO,CSX,CTM,CUK,CVNA,CVS,CVX,CYCN,CYN,DB,DDOG,DECK,DELL,DEO,DIS,DJT,DNA,DOCU,DOMH,DUO,DVN,DX,DXST,DXYZ,EA,EDBL,EJH,ELAB,ENPH,ENVB,ENVX,EONR,EOSE,EPD,EQNR,ERIC,ERNA,ESPR,ET,ETN,EU,EVTV,EXK,F,FCX,FLG,FLNC,FRO,FSLY,FSM,FUBO,GCT,GCTK,GEV,GFAI,GFI,GM,GNS,GNTX,GOLD,GOOG,GOOGL,GRAB,GRRR,GSAT,GTLB,GWAV,GXAI,HAFN,HAL,HIMS,HIMX,HIVE,HL,HMY,HOLO,HOOD,HOVR,HPE,HSBC,HURA,HUT,HWH,IAG,IBM,ICON,ICU,INOD,INTC,INTZ,INVZ,IONQ,IP,IQ,IREN,JBLU,JD,JG,JOBY,JPM,JUNS,KC,KGC,KHC,KITT,KMI,KO,KOPN,KRKR,KULR,KZIA,LAES,LAZR,LCID,LEU,LI,LICN,LIDR,LITM,LMND,LODE,LOGI,LPG,LPSN,LRCX,LUNR,LVO,LX,LYFT,MARA,MBLY,MBOT,META,MLGO,MO,MPW,MRNA,MRSN,MRVL,MSFT,MSTR,MU,MVIS,MVST,MYNZ,NAK,NBIS,NCLH,NEGG,NEM,NINE,NIO,NITO,NIVF,NKE,NLY,NNE,NNOX,NOK,NOTE,NOW,NU,NUWE,NVNI,NVO,NVS,NXT,O,OKE,OKLO,OKYO,OLN,ON,ONDS,ONON,OPEN,OPFI,OPTT,ORC,ORCL,OTLY,OXY,PAA,PAAS,PACB,PANW,PATH,PBR,PBR.A,PCSA,PDD,PDYN,PFE,PGY,PHIO,PL,PLBY,PLRZ,PLTR,PLUG,PMAX,POET,PPG,PRZO,PSEC,PTON,PXLW,PYPL,QBTS,QCOM,QMCO,QNRX,QS,QSI,QUBT,RBLX,RCAT,RDDT,RDW,REKR,RELX,RGTI,RIME,RIO,RIVN,RKLB,RNAZ,ROKU,RR,RUM,RUN,RVSN,RXRX,RZLV,S,SATL,SBSW,SBUX,SE,SENS,SERV,SES,SGBX,SGMO,SGN,SHEL,SHOP,SIRI,SKBL,SLB,SLDP,SLS,SLXN,SMCI,SMR,SNAP,SNOA,SNOW,SOBR,SOFI,SOPA,SOUN,SPAI,SPCE,SPPL,SQM,SSL,STAI,STEM,STFS,STLA,STM,STNE,SVRE,SXTP,SYM,T,TANH,TDOC,TDTH,TEAM,TEM,TEVA,TGL,TIGR,TLRY,TMC,TNXP,TOST,TPET,TPST,TRIB,TRMD,TS,TSLA,TSM,TSSI,TTE,TVGN,U,UBER,UEC,UMAC,UPS,UPST,USEG,V,VALE,VCIG,VERU,VIAV,VMAR,VNOM,VOD,VRME,VRT,VRTX,VST,VSTS,VZ,WBD,WIMI,WKHS,WMT,WNW,WOLF,WY,XFOR,XOM,XPEV,XYZ,YCBD,ZENA,ZETA,ZIM,ZNTL"
full-market-graph-build-v2_2025-01-31_2025-01-31_1440_return_corr_graph_community_003,full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1440,2025-01-31,2025-01-31 22:40:00,1440,10,return_corr_graph,C003,4,"BAH,DOW,GUTS,NVTS"
full-market-graph-build-v2_2025-01-31_2025-01-31_1440_return_corr_graph_community_002,full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1440,2025-01-31,2025-01-31 22:40:00,1440,10,return_corr_graph,C002,3,"ABBV,UAMY,WLDS"
full-market-graph-build-v2_2025-01-31_2025-01-31_1440_return_corr_graph_community_004,full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1440,2025-01-31,2025-01-31 22:40:00,1440,10,return_corr_graph,C004,2,"BFLY,LRHC"
full-market-graph-build-v2_2025-01-31_2025-01-31_1440_return_corr_graph_community_005,full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1440,2025-01-31,2025-01-31 22:40:00,1440,10,return_corr_graph,C005,2,"CELH,IOVA"
full-market-graph-build-v2_2025-01-31_2025-01-31_1440_return_corr_graph_community_006,full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1440,2025-01-31,2025-01-31 22:40:00,1440,10,return_corr_graph,C006,2,"FOXX,SIDU"
full-market-graph-build-v2_2025-01-31_2025-01-31_1440_return_corr_graph_community_007,full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1440,2025-01-31,2025-01-31 22:40:00,1440,10,return_corr_graph,C007,2,"GME,MDB"
