graph_layer,factor_name,label_horizon,label_variant,sample_size,rank_ic,top_decile_mean,bottom_decile_mean,top_bottom_spread,top_decile_hit_rate
dtw_return_similarity_graph,edge_density_feature,1m,equal_weight,4442,0.0157239252034565,-9.795485705359371e-05,-2.262573076888757e-05,-7.532912628470615e-05,0.5
dtw_return_similarity_graph,edge_density_feature,5m,equal_weight,4431,0.026042344519074383,0.0002698374207289126,-0.00036709437278727695,0.0006369317935161895,0.5417607223476298
dtw_return_similarity_graph,edge_density_feature,15m,equal_weight,4365,-0.008389974072638492,0.0006479031306523714,0.0001561648045813622,0.0004917383260710092,0.5344036697247706
dtw_return_similarity_graph,edge_density_feature,30m,equal_weight,4207,-0.03883103145500175,0.00021854872258102572,0.0001680713693460786,5.047735323494712e-05,0.5190476190476191
dtw_return_similarity_graph,edge_density_feature,1m,member_weight,4442,0.0157239252034565,-9.795485705359371e-05,-2.262573076888757e-05,-7.532912628470615e-05,0.5
dtw_return_similarity_graph,edge_density_feature,5m,member_weight,4431,0.026042344519074383,0.0002698374207289126,-0.00036709437278727695,0.0006369317935161895,0.5417607223476298
dtw_return_similarity_graph,edge_density_feature,15m,member_weight,4365,-0.008389974072638492,0.0006479031306523714,0.0001561648045813622,0.0004917383260710092,0.5344036697247706
dtw_return_similarity_graph,edge_density_feature,30m,member_weight,4207,-0.03883103145500175,0.00021854872258102572,0.0001680713693460786,5.047735323494712e-05,0.5190476190476191
dtw_return_similarity_graph,edge_density_feature,1m,top5_member,4442,0.015695094771958486,-9.795485705359371e-05,-2.761111291071383e-05,-7.034374414287988e-05,0.5
dtw_return_similarity_graph,edge_density_feature,5m,top5_member,4431,0.027192836769098797,0.0002698374207289126,-0.00042921556705674096,0.0006990529877856535,0.5417607223476298
dtw_return_similarity_graph,edge_density_feature,15m,top5_member,4365,0.005341820365830725,0.0006479031306523714,-3.4064287577022435e-05,0.0006819674182293938,0.5344036697247706
dtw_return_similarity_graph,edge_density_feature,30m,top5_member,4207,-0.03270354609671105,0.00021854872258102572,8.382413566235796e-05,0.00013472458691866777,0.5190476190476191
dtw_return_similarity_graph,edge_density_feature,1m,top10_member,4442,0.018115665505085685,-9.795485705359371e-05,-1.890230749536252e-05,-7.905254955823119e-05,0.5
