strategy_id,entry_standard,exit_standard,holding_policy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trade_count,avg_holding_days,open_trade_ratio,return_from_long_holds,long_hold_contribution
E5_X4_H6,Expansion Entry,Breadth Breakdown,Min-hold + Signal Exit,0.17887949850677454,0.9960505858645263,0.16749599997744988,4.21556387715008,-0.055548169201180886,0.6326530612244898,49,1.0816326530612246,0.02040816326530612,0.0,0.0
E5_X4_H2,Expansion Entry,Breadth Breakdown,Fixed 3D,0.17479078774267753,0.9671353172909845,0.1682545769121309,4.1103527034122385,-0.055548169201180886,0.6326530612244898,49,1.0612244897959184,0.02040816326530612,0.0,0.0
E5_X4_H3,Expansion Entry,Breadth Breakdown,Fixed 5D,0.17479078774267753,0.9671353172909845,0.1682545769121309,4.1103527034122385,-0.055548169201180886,0.6326530612244898,49,1.0612244897959184,0.02040816326530612,0.0,0.0
E5_X4_H4,Expansion Entry,Breadth Breakdown,Fixed 10D,0.17479078774267753,0.9671353172909845,0.1682545769121309,4.1103527034122385,-0.055548169201180886,0.6326530612244898,49,1.0612244897959184,0.02040816326530612,0.0,0.0
E5_X4_H5,Expansion Entry,Breadth Breakdown,Event-driven Hold,0.17479078774267753,0.9671353172909845,0.1682545769121309,4.1103527034122385,-0.055548169201180886,0.6326530612244898,49,1.0612244897959184,0.02040816326530612,0.0,0.0
E5_X5_H2,Expansion Entry,Relative Strength Exit,Fixed 3D,0.1720031926178094,0.9476052558590711,0.1679290216818021,4.058421092127455,-0.055548169201180775,0.6326530612244898,49,1.0204081632653061,0.02040816326530612,0.0,0.0
E5_X5_H3,Expansion Entry,Relative Strength Exit,Fixed 5D,0.1720031926178094,0.9476052558590711,0.1679290216818021,4.058421092127455,-0.055548169201180775,0.6326530612244898,49,1.0204081632653061,0.02040816326530612,0.0,0.0
E5_X5_H4,Expansion Entry,Relative Strength Exit,Fixed 10D,0.1720031926178094,0.9476052558590711,0.1679290216818021,4.058421092127455,-0.055548169201180775,0.6326530612244898,49,1.0204081632653061,0.02040816326530612,0.0,0.0
E5_X5_H5,Expansion Entry,Relative Strength Exit,Event-driven Hold,0.1720031926178094,0.9476052558590711,0.1679290216818021,4.058421092127455,-0.055548169201180775,0.6326530612244898,49,1.0204081632653061,0.02040816326530612,0.0,0.0
E5_X1_H2,Expansion Entry,No Signal Exit,Fixed 3D,0.169776454191644,0.93211101669361,0.16893633452583567,3.987816741390127,-0.055548169201180886,0.6326530612244898,49,1.1020408163265305,0.02040816326530612,0.0,0.0
