holding_policy,total_return,annualized_return,sharpe,max_drawdown,win_rate,avg_holding_days,open_trade_ratio,return_from_long_holds,long_hold_contribution
Loose Signal Hold,0.1800509306083859,1.06772566899886,3.1685190849763427,-0.06162889874906874,0.6104028690371577,4.707768220918744,0.06449221983703472,0.10298872832844704,0.15017827449343465
Pure Signal Hold,0.1578664416730429,0.9037687631897731,2.9482395830333723,-0.06236076517400899,0.6183696631112481,4.044571933843052,0.05492023288969214,0.04048209940618964,0.06427966283647113
Fixed 3D,0.1354823129931338,0.7612650785017754,2.8878306401859084,-0.05818326511335623,0.6599960664449595,1.4978726938076221,0.016087863772044776,0.0,0.0
Fixed 5D,0.13549177808541085,0.7693802071086334,2.838967980632683,-0.058693271475702705,0.6610732750925338,1.587190007336852,0.018267211613748165,0.0,0.0
Min-hold + Signal Exit,0.15737003859738277,0.9157990403912354,2.834498448079776,-0.06128486325953767,0.6648743136096215,3.471474543479281,0.048172720601780065,0.010870966688444053,0.017102592447165416
Fixed 10D,0.13431713287924496,0.7560736053894914,2.802640715399492,-0.05903662741656257,0.6608099649158576,1.6164163981409623,0.019803368336301294,0.0,0.0
Event-driven Hold,0.14698782411582192,0.8463546057261815,2.657992130397202,-0.06215703255277889,0.6675791140637892,3.249444693578795,0.045186273617210324,0.012013049334076067,0.02143551804691854
Trailing Structure Hold,0.12805800630194467,0.6855082256117291,2.5393515481810236,-0.06259525512738218,0.6045612430517382,3.845622460406877,0.051868102133634145,0.009312416184169078,0.021606883437436067
Stage Hold,0.124961152184648,0.6820604112163435,2.5261220714221317,-0.058586972672562236,0.61899107171975,3.174943567559,0.04360931513943504,0.0,0.0
Fixed 1D,0.10013424590873476,0.5167288387903396,2.4613023629828152,-0.060087804423818024,0.658233560966832,0.9886761017695518,0.011323898230448255,0.0,0.0
