holding_policy,total_return,annualized_return,sharpe,max_drawdown,win_rate,avg_holding_days,open_trade_ratio,return_from_long_holds,long_hold_contribution
Stage Hold,0.11689912801444742,0.7184328938267931,3.7762152409647687,-0.034788920643228326,0.3397205466383734,1.389688840618993,0.026167859807000177,0.0,0.0
Pure Signal Hold,0.09705683375927888,0.560646480002387,3.184996746455617,-0.03569518501168399,0.306256309859028,1.9693748496137469,0.03566389861467806,0.025638595746968463,0.03827033283368489
Loose Signal Hold,0.09327621977929497,0.5323688795352206,3.102265520223544,-0.03413722012358199,0.29808886576258636,2.3856661338864833,0.04257538651638822,0.05829095487256723,0.09273141627190865
Trailing Structure Hold,0.08761839341400332,0.49168576147628634,3.000603227756654,-0.03481109430711956,0.29259530136729117,1.8381635858921574,0.033380995186728366,0.010642761353336088,0.019757755171940915
Event-driven Hold,0.08845455687828745,0.5007164220914603,2.974901291810216,-0.03680091263678561,0.3239776449400226,1.617647938497577,0.02948762961108848,0.02180007507040265,0.03744817419512001
Min-hold + Signal Exit,0.0753057401596315,0.4084915772260915,2.575376409621159,-0.03909277856516771,0.3042605004350312,1.786035534887464,0.032137602781420846,0.023158945906458155,0.04288741181876931
Fixed 10D,0.07350596146118454,0.3991058011768476,2.52610177710874,-0.04146306917661319,0.3099801054816912,0.8271076539875573,0.012399823482090974,0.0,0.0
Fixed 5D,0.07283932819269416,0.3951365107680322,2.5080599712703266,-0.04146306917661319,0.30899941031745676,0.8136349238321954,0.012220411961326293,0.0,0.0
Fixed 3D,0.06178310111279291,0.3209539054888243,2.1923883875151624,-0.04211171246059548,0.3038902969213585,0.7676176501594876,0.011735633187449723,0.0,0.0
Fixed 1D,0.05023384564161256,0.24779629823855115,1.8831777417013629,-0.03901115561278558,0.30536871193966364,0.49222356654528854,0.007776433454711441,0.0,0.0
