strategy_id,theme_path_id,entry_standard,exit_standard,holding_policy,lifecycle_id,theme_guess,theme_confidence,entry_time,exit_time,is_open_trade,entry_stage,exit_stage,entry_reason,exit_reason,holding_days,return,max_drawdown_during_trade,max_favorable_excursion,missed_return_before_entry,time_to_entry_days,time_to_entry_windows,coherence_at_entry,breadth_at_entry,volume_expansion_at_entry,rotation_in_score_at_entry,rotation_out_score_at_exit,entry_members,exit_members,member_count_at_entry,member_count_at_exit,return_after_exit_1d,return_after_exit_3d,return_after_exit_5d,return_after_exit_10d,return_if_held_to_5d,return_if_held_to_10d,saved_drawdown_vs_hold_5d
E5_X6_H5,T0205,Expansion Entry,Rotation-out Exit,Event-driven Hold,L0310,"Members:AAL,AAON,ABEV",0.6419958567482302,2026-03-30,2026-04-14,False,expansion,end_of_sample,Expansion Entry; stage=expansion; coherence=0.575; breadth=0.455; volume_expansion=0.762; rotation_in_score=0.270; cross_resolution_support=0.000,lifecycle_missing,10,0.24716612404412186,0.0,0.24716612404412186,0.0,0,1,0.5749463200340783,0.4545454545454545,0.761771559715271,0.2699195187763962,,"AAL,AAON,ABEV,ACHR,ACLS,ACMR,ACU,ADEA,ADI,ADTN,ADUR,AEHR,AEIS,AERO,AEVA,AGPU,AGX,AI,AII,AIP,AIR,AIRO,AKAM,ALAB,ALAR,ALB,ALGM,ALH,ALLT,ALM,ALNT,ALOT,ALOY,ALSN,ALX,AM,AMAT,AMBA,AMBQ,AMCI,AMD,AME,AMKR,QQQ","AAL,AAON,ABEV,ACHR,ACLS,ACMR,ACU,ADEA,ADI,ADTN,ADUR,AEHR,AEIS,AERO,AEVA,AGPU,AGX,AI,AII,AIP,AIR,AIRO,AKAM,ALAB,ALAR,ALB,ALGM,ALH,ALLT,ALM,ALNT,ALOT,ALOY,ALSN,ALX,AM,AMAT,AMBA,AMBQ,AMCI,AMD,AME,AMKR,QQQ",44,44,0.007546700037341925,0.04313233046950571,0.0607363617476373,0.05641747189882729,0.0607363617476373,0.05641747189882729,0.0019515008301942416
E5_X6_H6,T0205,Expansion Entry,Rotation-out Exit,Min-hold + Signal Exit,L0310,"Members:AAL,AAON,ABEV",0.6419958567482302,2026-03-30,2026-04-14,False,expansion,end_of_sample,Expansion Entry; stage=expansion; coherence=0.575; breadth=0.455; volume_expansion=0.762; rotation_in_score=0.270; cross_resolution_support=0.000,lifecycle_missing,10,0.24716612404412186,0.0,0.24716612404412186,0.0,0,1,0.5749463200340783,0.4545454545454545,0.761771559715271,0.2699195187763962,,"AAL,AAON,ABEV,ACHR,ACLS,ACMR,ACU,ADEA,ADI,ADTN,ADUR,AEHR,AEIS,AERO,AEVA,AGPU,AGX,AI,AII,AIP,AIR,AIRO,AKAM,ALAB,ALAR,ALB,ALGM,ALH,ALLT,ALM,ALNT,ALOT,ALOY,ALSN,ALX,AM,AMAT,AMBA,AMBQ,AMCI,AMD,AME,AMKR,QQQ","AAL,AAON,ABEV,ACHR,ACLS,ACMR,ACU,ADEA,ADI,ADTN,ADUR,AEHR,AEIS,AERO,AEVA,AGPU,AGX,AI,AII,AIP,AIR,AIRO,AKAM,ALAB,ALAR,ALB,ALGM,ALH,ALLT,ALM,ALNT,ALOT,ALOY,ALSN,ALX,AM,AMAT,AMBA,AMBQ,AMCI,AMD,AME,AMKR,QQQ",44,44,0.007546700037341925,0.04313233046950571,0.0607363617476373,0.05641747189882729,0.0607363617476373,0.05641747189882729,0.0019515008301942416
E5_X1_H6,T0205,Expansion Entry,No Signal Exit,Min-hold + Signal Exit,L0310,"Members:AAL,AAON,ABEV",0.6419958567482302,2026-03-30,2026-04-14,False,expansion,end_of_sample,Expansion Entry; stage=expansion; coherence=0.575; breadth=0.455; volume_expansion=0.762; rotation_in_score=0.270; cross_resolution_support=0.000,lifecycle_missing,10,0.24716612404412186,0.0,0.24716612404412186,0.0,0,1,0.5749463200340783,0.4545454545454545,0.761771559715271,0.2699195187763962,,"AAL,AAON,ABEV,ACHR,ACLS,ACMR,ACU,ADEA,ADI,ADTN,ADUR,AEHR,AEIS,AERO,AEVA,AGPU,AGX,AI,AII,AIP,AIR,AIRO,AKAM,ALAB,ALAR,ALB,ALGM,ALH,ALLT,ALM,ALNT,ALOT,ALOY,ALSN,ALX,AM,AMAT,AMBA,AMBQ,AMCI,AMD,AME,AMKR,QQQ","AAL,AAON,ABEV,ACHR,ACLS,ACMR,ACU,ADEA,ADI,ADTN,ADUR,AEHR,AEIS,AERO,AEVA,AGPU,AGX,AI,AII,AIP,AIR,AIRO,AKAM,ALAB,ALAR,ALB,ALGM,ALH,ALLT,ALM,ALNT,ALOT,ALOY,ALSN,ALX,AM,AMAT,AMBA,AMBQ,AMCI,AMD,AME,AMKR,QQQ",44,44,0.007546700037341925,0.04313233046950571,0.0607363617476373,0.05641747189882729,0.0607363617476373,0.05641747189882729,0.0019515008301942416
E5_X1_H5,T0205,Expansion Entry,No Signal Exit,Event-driven Hold,L0310,"Members:AAL,AAON,ABEV",0.6419958567482302,2026-03-30,2026-04-14,False,expansion,end_of_sample,Expansion Entry; stage=expansion; coherence=0.575; breadth=0.455; volume_expansion=0.762; rotation_in_score=0.270; cross_resolution_support=0.000,lifecycle_missing,10,0.24716612404412186,0.0,0.24716612404412186,0.0,0,1,0.5749463200340783,0.4545454545454545,0.761771559715271,0.2699195187763962,,"AAL,AAON,ABEV,ACHR,ACLS,ACMR,ACU,ADEA,ADI,ADTN,ADUR,AEHR,AEIS,AERO,AEVA,AGPU,AGX,AI,AII,AIP,AIR,AIRO,AKAM,ALAB,ALAR,ALB,ALGM,ALH,ALLT,ALM,ALNT,ALOT,ALOY,ALSN,ALX,AM,AMAT,AMBA,AMBQ,AMCI,AMD,AME,AMKR,QQQ","AAL,AAON,ABEV,ACHR,ACLS,ACMR,ACU,ADEA,ADI,ADTN,ADUR,AEHR,AEIS,AERO,AEVA,AGPU,AGX,AI,AII,AIP,AIR,AIRO,AKAM,ALAB,ALAR,ALB,ALGM,ALH,ALLT,ALM,ALNT,ALOT,ALOY,ALSN,ALX,AM,AMAT,AMBA,AMBQ,AMCI,AMD,AME,AMKR,QQQ",44,44,0.007546700037341925,0.04313233046950571,0.0607363617476373,0.05641747189882729,0.0607363617476373,0.05641747189882729,0.0019515008301942416
E6_X6_H5,T0205,Rotation-in Entry,Rotation-out Exit,Event-driven Hold,L0310,"Members:AAL,AAON,ABEV",0.6419958567482302,2026-03-30,2026-04-14,False,expansion,end_of_sample,Rotation-in Entry; stage=expansion; coherence=0.575; breadth=0.455; volume_expansion=0.762; rotation_in_score=0.270; cross_resolution_support=0.000,lifecycle_missing,10,0.24716612404412186,0.0,0.24716612404412186,0.0,0,1,0.5749463200340783,0.4545454545454545,0.761771559715271,0.2699195187763962,,"AAL,AAON,ABEV,ACHR,ACLS,ACMR,ACU,ADEA,ADI,ADTN,ADUR,AEHR,AEIS,AERO,AEVA,AGPU,AGX,AI,AII,AIP,AIR,AIRO,AKAM,ALAB,ALAR,ALB,ALGM,ALH,ALLT,ALM,ALNT,ALOT,ALOY,ALSN,ALX,AM,AMAT,AMBA,AMBQ,AMCI,AMD,AME,AMKR,QQQ","AAL,AAON,ABEV,ACHR,ACLS,ACMR,ACU,ADEA,ADI,ADTN,ADUR,AEHR,AEIS,AERO,AEVA,AGPU,AGX,AI,AII,AIP,AIR,AIRO,AKAM,ALAB,ALAR,ALB,ALGM,ALH,ALLT,ALM,ALNT,ALOT,ALOY,ALSN,ALX,AM,AMAT,AMBA,AMBQ,AMCI,AMD,AME,AMKR,QQQ",44,44,0.007546700037341925,0.04313233046950571,0.0607363617476373,0.05641747189882729,0.0607363617476373,0.05641747189882729,0.0019515008301942416
E3_X4_H7,T0486,15m Confirmation,Breadth Breakdown,Pure Signal Hold,L0738,"Members:AAL,AAOI,AAPG",0.6974402226162273,2026-04-27,2026-05-11,False,expansion,end_of_sample,15m Confirmation; stage=expansion; coherence=0.576; breadth=0.524; volume_expansion=1.663; rotation_in_score=0.229; cross_resolution_support=0.000,lifecycle_missing,10,0.09558973838129603,-0.03560398608815729,0.09558973838129603,0.008022795180001818,5,4,0.5759551983992786,0.5238095238095238,1.6634310483932495,0.2294773391009508,,"AAL,AAOI,AAPG,AAPL,ABVX,ACA,ACDC,ACLS,ACMR,ACOG,ACR,ADEA,ADI,ADTN,AEHR,AEIS,AEM,AEO,AEVA,AG,AGI,AGPU,AGX,AIP,AIRJ,AKAM,AKO-B,ALAB,ALGM,ALK,ALM,ALMR,ALMU,ALV,AMAT,AMBA,AMBQ,AMD,AME,AMKR,AMPG,QQQ","AAL,AAOI,AAPG,AAPL,ABVX,ACA,ACDC,ACLS,ACMR,ACOG,ACR,ADEA,ADI,ADTN,AEHR,AEIS,AEM,AEO,AEVA,AG,AGI,AGPU,AGX,AIP,AIRJ,AKAM,AKO-B,ALAB,ALGM,ALK,ALM,ALMR,ALMU,ALV,AMAT,AMBA,AMBQ,AMD,AME,AMKR,AMPG,QQQ",42,42,0.0020329603427307052,0.01701406494176183,-0.041175557830183784,0.07857395192107397,-0.041175557830183784,0.07857395192107397,0.06598122540865681
E5_X4_H7,T0486,Expansion Entry,Breadth Breakdown,Pure Signal Hold,L0738,"Members:AAL,AAOI,AAPG",0.6974402226162273,2026-04-27,2026-05-11,False,expansion,end_of_sample,Expansion Entry; stage=expansion; coherence=0.576; breadth=0.524; volume_expansion=1.663; rotation_in_score=0.229; cross_resolution_support=0.000,lifecycle_missing,10,0.09558973838129603,-0.03560398608815729,0.09558973838129603,0.008022795180001818,5,4,0.5759551983992786,0.5238095238095238,1.6634310483932495,0.2294773391009508,,"AAL,AAOI,AAPG,AAPL,ABVX,ACA,ACDC,ACLS,ACMR,ACOG,ACR,ADEA,ADI,ADTN,AEHR,AEIS,AEM,AEO,AEVA,AG,AGI,AGPU,AGX,AIP,AIRJ,AKAM,AKO-B,ALAB,ALGM,ALK,ALM,ALMR,ALMU,ALV,AMAT,AMBA,AMBQ,AMD,AME,AMKR,AMPG,QQQ","AAL,AAOI,AAPG,AAPL,ABVX,ACA,ACDC,ACLS,ACMR,ACOG,ACR,ADEA,ADI,ADTN,AEHR,AEIS,AEM,AEO,AEVA,AG,AGI,AGPU,AGX,AIP,AIRJ,AKAM,AKO-B,ALAB,ALGM,ALK,ALM,ALMR,ALMU,ALV,AMAT,AMBA,AMBQ,AMD,AME,AMKR,AMPG,QQQ",42,42,0.0020329603427307052,0.01701406494176183,-0.041175557830183784,0.07857395192107397,-0.041175557830183784,0.07857395192107397,0.06598122540865681
E3_X2_H8,T0486,15m Confirmation,Lifecycle Exit,Loose Signal Hold,L0718,"Members:AAL,AAMI,AAOI",0.6010001711223436,2026-04-23,2026-05-11,False,expansion,end_of_sample,15m Confirmation; stage=expansion; coherence=0.560; breadth=0.889; volume_expansion=1.803; rotation_in_score=0.984; cross_resolution_support=0.000,lifecycle_missing,12,0.08690261467285754,-0.034678538955305926,0.08690261467285754,0.0,1,2,0.559686629668526,0.8888888888888888,1.80318546295166,0.9837055725878612,,"AAL,AAMI,AAOI,AAON,ABSI,ACMR,ADTN,AEHR,AEIS,AENT,AER,AFYA,AGBK,AGX,AIP,AIR,ALAB,ALCO,ALG,ALK,ALNT,ALSN,ALTG,AMAT,AMD,AMKR,QQQ","AAL,AAMI,AAOI,AAON,ABSI,ACMR,ADTN,AEHR,AEIS,AENT,AER,AFYA,AGBK,AGX,AIP,AIR,ALAB,ALCO,ALG,ALK,ALNT,ALSN,ALTG,AMAT,AMD,AMKR,QQQ",27,27,-0.0231445926380357,0.0025315757229322777,-0.052431816188851066,0.03877273151646787,-0.052431816188851066,0.03877273151646787,0.0548245992872084
E3_X5_H8,T0486,15m Confirmation,Relative Strength Exit,Loose Signal Hold,L0718,"Members:AAL,AAMI,AAOI",0.6010001711223436,2026-04-23,2026-05-11,False,expansion,end_of_sample,15m Confirmation; stage=expansion; coherence=0.560; breadth=0.889; volume_expansion=1.803; rotation_in_score=0.984; cross_resolution_support=0.000,lifecycle_missing,12,0.08690261467285754,-0.034678538955305926,0.08690261467285754,0.0,1,2,0.559686629668526,0.8888888888888888,1.80318546295166,0.9837055725878612,,"AAL,AAMI,AAOI,AAON,ABSI,ACMR,ADTN,AEHR,AEIS,AENT,AER,AFYA,AGBK,AGX,AIP,AIR,ALAB,ALCO,ALG,ALK,ALNT,ALSN,ALTG,AMAT,AMD,AMKR,QQQ","AAL,AAMI,AAOI,AAON,ABSI,ACMR,ADTN,AEHR,AEIS,AENT,AER,AFYA,AGBK,AGX,AIP,AIR,ALAB,ALCO,ALG,ALK,ALNT,ALSN,ALTG,AMAT,AMD,AMKR,QQQ",27,27,-0.0231445926380357,0.0025315757229322777,-0.052431816188851066,0.03877273151646787,-0.052431816188851066,0.03877273151646787,0.0548245992872084
E6_X7_H8,T0486,Rotation-in Entry,Composite Structural Exit,Loose Signal Hold,L0718,"Members:AAL,AAMI,AAOI",0.6010001711223436,2026-04-23,2026-05-11,False,expansion,end_of_sample,Rotation-in Entry; stage=expansion; coherence=0.560; breadth=0.889; volume_expansion=1.803; rotation_in_score=0.984; cross_resolution_support=0.000,lifecycle_missing,12,0.08690261467285754,-0.034678538955305926,0.08690261467285754,0.0,1,2,0.559686629668526,0.8888888888888888,1.80318546295166,0.9837055725878612,,"AAL,AAMI,AAOI,AAON,ABSI,ACMR,ADTN,AEHR,AEIS,AENT,AER,AFYA,AGBK,AGX,AIP,AIR,ALAB,ALCO,ALG,ALK,ALNT,ALSN,ALTG,AMAT,AMD,AMKR,QQQ","AAL,AAMI,AAOI,AAON,ABSI,ACMR,ADTN,AEHR,AEIS,AENT,AER,AFYA,AGBK,AGX,AIP,AIR,ALAB,ALCO,ALG,ALK,ALNT,ALSN,ALTG,AMAT,AMD,AMKR,QQQ",27,27,-0.0231445926380357,0.0025315757229322777,-0.052431816188851066,0.03877273151646787,-0.052431816188851066,0.03877273151646787,0.0548245992872084
