holding_policy,total_return,annualized_return,sharpe,max_drawdown,win_rate,avg_holding_days,open_trade_ratio,return_from_long_holds,long_hold_contribution
Loose Signal Hold,0.15961007049670806,0.9835263942035991,3.803006486286734,-0.04404105458629757,0.3666063354019012,3.3755375601450703,0.05552873660209124,0.004273699819813974,0.006353125660652495
Trailing Structure Hold,0.129852328937221,0.7572457833646872,3.5502881584979193,-0.04081122417424203,0.38437853503581043,2.542812086104127,0.033954332432965764,0.017463870849485103,0.028921078001135647
Pure Signal Hold,0.13435334738619711,0.790959642933178,3.4842417140792112,-0.04176828210973033,0.3843480986159134,2.700779981287983,0.04239461139487947,0.00698111975352933,0.011402244375330287
Stage Hold,0.12384144553410474,0.7098040673960281,3.400066491858832,-0.04211991427228898,0.4089353542143906,1.8629145271503138,0.03237397343288228,0.0,0.0
Fixed 5D,0.11479758934651307,0.649747755455269,3.3884047240404134,-0.04133954873829042,0.3971263310872254,1.146905763791417,0.014829551590957649,0.0,0.0
Fixed 10D,0.1147672520710755,0.6490948108911699,3.3782290685319585,-0.04133954873829044,0.3964565339653675,1.1798589656830218,0.015196421670527361,0.002469568254444438,0.003568525133605767
Event-driven Hold,0.1257657170117682,0.7204300362182423,3.3649999461930213,-0.04333376629692115,0.42307575597123287,2.239073136647671,0.0364708905273044,0.03516374335273655,0.05922056081367203
Min-hold + Signal Exit,0.12166887898311861,0.6907974446335232,3.185965629106775,-0.04433026585690382,0.4161643472903998,2.533563149306841,0.044520593346837584,0.03766469683442407,0.0641736289412658
Fixed 3D,0.09327375479995298,0.5014712511080078,2.887324991288003,-0.04065306163852535,0.3951202853872158,1.0608157712851507,0.014005336165825,0.0,0.0
Fixed 1D,0.07356671428304407,0.379056773833127,2.2995565616207885,-0.03589052327847838,0.3874974716862458,0.6573123957595558,0.009354270907110815,0.0,0.0
