holding_policy,total_return,annualized_return,sharpe,max_drawdown,win_rate,avg_holding_days,open_trade_ratio,return_from_long_holds,long_hold_contribution
Stage Hold,0.1499436946545995,0.9118492522413384,3.7689299588118046,-0.04524335027385421,0.4529986324872305,1.8649152602943706,0.03443301034911924,0.0,0.0
Loose Signal Hold,0.1382055245040726,0.8145097981881528,3.398141649960819,-0.046540867317403374,0.41901244869145526,3.295792307795454,0.05803007292695698,0.07770245593149072,0.11651365055977658
Event-driven Hold,0.12345452101318263,0.7113497873678579,3.167154906772376,-0.0460852435085301,0.430737573806144,2.1773360901834455,0.039224209487121006,0.024517816742513663,0.042162998715808385
Pure Signal Hold,0.1261056210347344,0.7255678071964656,3.158876778262317,-0.047371084531444424,0.417044496152242,2.679513998789056,0.04786785517829693,0.03545681789536762,0.05445599148896144
Fixed 5D,0.11993209797168879,0.6898082374673373,3.0593642862492416,-0.04997346412923941,0.415859544283578,1.119075724299065,0.017556069454926226,0.0,0.0
Fixed 10D,0.12010459472375812,0.6896447428250275,3.043619516120388,-0.04997346412923941,0.4167147784128553,1.1408139809184425,0.017879129732788688,0.0,0.0
Trailing Structure Hold,0.10639055523308735,0.5804721791069453,2.8088014179226057,-0.04530260663473182,0.39782523178860046,2.4794914934392973,0.04443295765833082,0.018624832368338156,0.03597936735799128
Min-hold + Signal Exit,0.10572616461545024,0.5827612384638126,2.7907884376208694,-0.049383037146064304,0.40666768009285487,2.4198609858806597,0.04311604260742067,0.02587668757856917,0.04864707412953986
Fixed 3D,0.1065574622679514,0.5894892910671149,2.778729746982878,-0.049971710286967105,0.4072605409800755,1.0477551388574955,0.016622310013692847,0.0,0.0
Fixed 1D,0.07820212069927124,0.3990612427495457,2.156736042848442,-0.048381768587098806,0.4026547953167875,0.6560000598015506,0.010666606865116066,0.0,0.0
