feature,importance
edge_strength,0.64187616
present_now,0.23750047
residual_corr,0.030631064
left_degree_centrality,0.028090645
return_corr,0.015555381
right_degree_centrality,0.007826903
left_liquidity_score,0.007319967
right_volume_zscore,0.004161287
right_intraday_range,0.0034649796
left_volume_zscore,0.0030387535
left_intraday_range,0.0027086276
right_residual_return,0.0024316015
left_pagerank,0.0023321908
left_rolling_volatility,0.002294687
left_residual_return,0.0017491003
left_community_confidence,0.0016523458
right_liquidity_score,0.0016511298
left_log_return,0.0016118938
right_community_confidence,0.0013269219
right_log_return,0.0011148639
right_pagerank,0.0010523937
right_rolling_volatility,0.00052068144
volume_corr,8.7916735e-05
edge_persistence,0.0
