symbol,source_symbol,company_name,sector_code,industry_code,last_price,rank,market_cap,exchange,country,quote_type,shares_outstanding,enterprise_value,currency,security_type,is_etf,fetch_status,fetch_error,Ticker,Name,SectorCode,IndCode,Last,Rank,MktCap,Exchange,Country,QuoteType
A,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,127.05999755859376,,35885802115.10889,NYQ,United States,EQUITY,282431944.0,37982314496.0,USD,Equity,False,ok,,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,127.05999755859376,,35885802115.10889,NYQ,United States,EQUITY
AA,AA,Alcoa Corporation,Basic Materials,Aluminum,59.369998931884766,,15667141596.885204,NYQ,United States,EQUITY,263889875.0,17853757440.0,USD,Equity,False,ok,,AA,Alcoa Corporation,Basic Materials,Aluminum,59.369998931884766,,15667141596.885204,NYQ,United States,EQUITY
AACG,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,1.0800000429153442,,46664912.934296966,NCM,China,EQUITY,43208251.0,-16333255.0,USD,Equity,False,ok,,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,1.0800000429153442,,46664912.934296966,NCM,China,EQUITY
AAL,AAL,"American Airlines Group, Inc.",Industrials,Airlines,15.989999771118164,,10575548189.250956,NMS,United States,EQUITY,661385137.0,37370359808.0,USD,Equity,False,ok,,AAL,"American Airlines Group, Inc.",Industrials,Airlines,15.989999771118164,,10575548189.250956,NMS,United States,EQUITY
AAM,AAM,,,,,,,,,,,,,,False,error,Too Many Requests. Rate limited. Try after a while.,AAM,,,,,,,,,
AAME,AAME,Atlantic American Corporation,Financial Services,Insurance - Life,1.870000004768372,,38142816.45726156,NGM,United States,EQUITY,20397228.0,45193984.0,USD,Equity,False,ok,,AAME,Atlantic American Corporation,Financial Services,Insurance - Life,1.870000004768372,,38142816.45726156,NGM,United States,EQUITY
AAMI,AAMI,Acadian Asset Management Inc.,Financial Services,Asset Management,75.1500015258789,,2677518502.565521,NYQ,United States,EQUITY,35628988.0,3170734592.0,USD,Equity,False,ok,,AAMI,Acadian Asset Management Inc.,Financial Services,Asset Management,75.1500015258789,,2677518502.565521,NYQ,United States,EQUITY
AAOI,AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment,161.85000610351562,,12987292328.712982,NGM,United States,EQUITY,80242767.0,13546984448.0,USD,Equity,False,ok,,AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment,161.85000610351562,,12987292328.712982,NGM,United States,EQUITY
AAON,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,136.72000122070312,,11198969091.18988,NMS,United States,EQUITY,81911710.0,11145903104.0,USD,Equity,False,ok,,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,136.72000122070312,,11198969091.18988,NMS,United States,EQUITY
AAP,AAP,Advance Auto Parts Inc.,Consumer Cyclical,Auto Parts,60.09999847412109,,3625785308.744934,NYQ,United States,EQUITY,60329208.0,6334310912.0,USD,Equity,False,ok,,AAP,Advance Auto Parts Inc.,Consumer Cyclical,Auto Parts,60.09999847412109,,3625785308.744934,NYQ,United States,EQUITY
AAPG,AAPG,Ascentage Pharma Group Internat,Healthcare,Biotechnology,17.1200008392334,,1597933216.251709,NGM,China,EQUITY,93337216.0,1093498624.0,USD,Equity,False,ok,,AAPG,Ascentage Pharma Group Internat,Healthcare,Biotechnology,17.1200008392334,,1597933216.251709,NGM,China,EQUITY
AAPL,AAPL,Apple Inc.,Technology,Consumer Electronics,298.010009765625,,4376979104991.211,NMS,United States,EQUITY,14687356000.0,4411248607232.0,USD,Equity,False,ok,,AAPL,Apple Inc.,Technology,Consumer Electronics,298.010009765625,,4376979104991.211,NMS,United States,EQUITY
AAT,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,24.049999237060547,,1476451963.9624329,NYQ,United States,EQUITY,61390936.0,3017979904.0,USD,Equity,False,ok,,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,24.049999237060547,,1476451963.9624329,NYQ,United States,EQUITY
AB,AB,AllianceBernstein Holding L.P.,Financial Services,Asset Management,35.95000076293945,,3357868586.6114845,NYQ,United States,EQUITY,93403853.0,,USD,Equity,False,ok,,AB,AllianceBernstein Holding L.P.,Financial Services,Asset Management,35.95000076293945,,3357868586.6114845,NYQ,United States,EQUITY
