source_symbol,symbol,last_fetch_at,error_message
ARCI,ARCI,2026-06-06 19:37:59.587552+00:00,60d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1773667800 and endTime=1780774677. The requested range must be within the last 60 days.; 59d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1773667800 and endTime=1780774677. The requested range must be within the last 60 days.; 58d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1773667800 and endTime=1780774677. The requested range must be within the last 60 days.; yf-60d: yfinance fallback returned no data.; yf-59d: yfinance fallback returned no data.; yf-58d: yfinance fallback returned no data.
CLBR,CLBR,2026-06-06 19:37:57.639232+00:00,60d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774618200 and endTime=1780774675. The requested range must be within the last 60 days.; 59d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774618200 and endTime=1780774675. The requested range must be within the last 60 days.; 58d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774618200 and endTime=1780774675. The requested range must be within the last 60 days.; yf-60d: yfinance fallback returned no data.; yf-59d: yfinance fallback returned no data.; yf-58d: yfinance fallback returned no data.
CSHR,CSHR,2026-06-06 19:37:55.205249+00:00,60d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1775050200 and endTime=1780774673. The requested range must be within the last 60 days.; 59d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1775050200 and endTime=1780774673. The requested range must be within the last 60 days.; 58d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1775050200 and endTime=1780774673. The requested range must be within the last 60 days.; yf-60d: yfinance fallback returned no data.; yf-59d: yfinance fallback returned no data.; yf-58d: yfinance fallback returned no data.
GMTL,GMTL,2026-06-06 19:37:55.184433+00:00,60d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774013400 and endTime=1780774673. The requested range must be within the last 60 days.; 59d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774013400 and endTime=1780774673. The requested range must be within the last 60 days.; 58d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774013400 and endTime=1780774673. The requested range must be within the last 60 days.; yf-60d: yfinance fallback returned no data.; yf-59d: yfinance fallback returned no data.; yf-58d: yfinance fallback returned no data.
HACQ,HACQ,2026-06-06 19:37:59.639250+00:00,60d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1775482200 and endTime=1780774677. The requested range must be within the last 60 days.; 59d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1775482200 and endTime=1780774677. The requested range must be within the last 60 days.; 58d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1775482200 and endTime=1780774677. The requested range must be within the last 60 days.; yf-60d: yfinance fallback returned no data.; yf-59d: yfinance fallback returned no data.; yf-58d: yfinance fallback returned no data.
HMH,HMH,2026-06-06 19:37:54.373830+00:00,60d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1775050200 and endTime=1780774672. The requested range must be within the last 60 days.; 59d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1775050200 and endTime=1780774672. The requested range must be within the last 60 days.; 58d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1775050200 and endTime=1780774673. The requested range must be within the last 60 days.; yf-60d: yfinance fallback returned no data.; yf-59d: yfinance fallback returned no data.; yf-58d: yfinance fallback returned no data.
HQ,HQ,2026-06-06 19:37:59.994642+00:00,60d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774013400 and endTime=1780774677. The requested range must be within the last 60 days.; 59d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774013400 and endTime=1780774677. The requested range must be within the last 60 days.; 58d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774013400 and endTime=1780774677. The requested range must be within the last 60 days.; yf-60d: yfinance fallback returned no data.; yf-59d: yfinance fallback returned no data.; yf-58d: yfinance fallback returned no data.
IACO,IACO,2026-06-06 19:37:56.962954+00:00,60d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1775482200 and endTime=1780774674. The requested range must be within the last 60 days.; 59d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1775482200 and endTime=1780774674. The requested range must be within the last 60 days.; 58d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1775482200 and endTime=1780774675. The requested range must be within the last 60 days.; yf-60d: yfinance fallback returned no data.; yf-59d: yfinance fallback returned no data.; yf-58d: yfinance fallback returned no data.
JAN,JAN,2026-06-06 19:37:52.572063+00:00,60d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774013400 and endTime=1780774669. The requested range must be within the last 60 days.; 59d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774013400 and endTime=1780774669. The requested range must be within the last 60 days.; 58d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774013400 and endTime=1780774670. The requested range must be within the last 60 days.; yf-60d: yfinance fallback returned no data.; yf-59d: yfinance fallback returned no data.; yf-58d: yfinance fallback returned no data.
KRAQ,KRAQ,2026-06-06 19:37:57.611233+00:00,60d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774013400 and endTime=1780774675. The requested range must be within the last 60 days.; 59d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774013400 and endTime=1780774675. The requested range must be within the last 60 days.; 58d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774013400 and endTime=1780774675. The requested range must be within the last 60 days.; yf-60d: yfinance fallback returned no data.; yf-59d: yfinance fallback returned no data.; yf-58d: yfinance fallback returned no data.
MLAA,MLAA,2026-06-06 19:37:57.285044+00:00,60d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1773927000 and endTime=1780774674. The requested range must be within the last 60 days.; 59d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1773927000 and endTime=1780774675. The requested range must be within the last 60 days.; 58d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1773927000 and endTime=1780774675. The requested range must be within the last 60 days.; yf-60d: yfinance fallback returned no data.; yf-59d: yfinance fallback returned no data.; yf-58d: yfinance fallback returned no data.
NINE,NINE,2026-06-06 19:38:01.548579+00:00,60d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774963800 and endTime=1780774679. The requested range must be within the last 60 days.; 59d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774963800 and endTime=1780774679. The requested range must be within the last 60 days.; 58d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774963800 and endTime=1780774680. The requested range must be within the last 60 days.; yf-60d: yfinance fallback returned no data.; yf-59d: yfinance fallback returned no data.; yf-58d: yfinance fallback returned no data.
PTOR,PTOR,2026-06-06 19:37:59.617113+00:00,60d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1773667800 and endTime=1780774677. The requested range must be within the last 60 days.; 59d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1773667800 and endTime=1780774677. The requested range must be within the last 60 days.; 58d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1773667800 and endTime=1780774677. The requested range must be within the last 60 days.; yf-60d: yfinance fallback returned no data.; yf-59d: yfinance fallback returned no data.; yf-58d: yfinance fallback returned no data.
RMIX,RMIX,2026-06-06 19:37:53.002495+00:00,60d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1775136600 and endTime=1780774670. The requested range must be within the last 60 days.; 59d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1775136600 and endTime=1780774670. The requested range must be within the last 60 days.; 58d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1775136600 and endTime=1780774671. The requested range must be within the last 60 days.; yf-60d: yfinance fallback returned no data.; yf-59d: yfinance fallback returned no data.; yf-58d: yfinance fallback returned no data.
SAAQ,SAAQ,2026-06-06 19:38:01.918335+00:00,60d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774013400 and endTime=1780774679. The requested range must be within the last 60 days.; 59d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774013400 and endTime=1780774679. The requested range must be within the last 60 days.; 58d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774013400 and endTime=1780774679. The requested range must be within the last 60 days.; yf-60d: yfinance fallback returned no data.; yf-59d: yfinance fallback returned no data.; yf-58d: yfinance fallback returned no data.
SWMR,SWMR,2026-06-06 19:37:54.346421+00:00,60d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1773754200 and endTime=1780774672. The requested range must be within the last 60 days.; 59d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1773754200 and endTime=1780774672. The requested range must be within the last 60 days.; 58d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1773754200 and endTime=1780774673. The requested range must be within the last 60 days.; yf-60d: yfinance fallback returned no data.; yf-59d: yfinance fallback returned no data.; yf-58d: yfinance fallback returned no data.
VGNT,VGNT,2026-06-06 19:37:52.977108+00:00,60d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774618200 and endTime=1780774670. The requested range must be within the last 60 days.; 59d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774618200 and endTime=1780774670. The requested range must be within the last 60 days.; 58d: HTTP 422: Unprocessable Entity - 15m data not available for startTime=1774618200 and endTime=1780774671. The requested range must be within the last 60 days.; yf-60d: yfinance fallback returned no data.; yf-59d: yfinance fallback returned no data.; yf-58d: yfinance fallback returned no data.
