source_symbol,symbol,status,row_count,min_timestamp,max_timestamp,exchange_timezone,last_fetch_at,error_message
A,A,success,1561,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.338436+00:00,
AA,AA,success,1561,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.340895+00:00,
AACP,AACP,success,47,2026-05-28 13:45:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.341959+00:00,
AAL,AAL,success,1561,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.343465+00:00,
AAMI,AAMI,success,1560,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.344887+00:00,
AAOI,AAOI,success,1561,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.346302+00:00,
AAON,AAON,success,1561,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.347717+00:00,
AAP,AAP,success,1561,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.349082+00:00,
AAPG,AAPG,success,253,2026-03-13 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.350022+00:00,
AAPL,AAPL,success,1561,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.351331+00:00,
AARD,AARD,success,1518,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.352814+00:00,
AAT,AAT,success,1559,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.354105+00:00,
AAUC,AAUC,success,1546,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.355415+00:00,
ABAT,ABAT,success,1561,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.357132+00:00,
ABBV,ABBV,success,1561,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.358626+00:00,
ABCB,ABCB,success,1561,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.360020+00:00,
ABCL,ABCL,success,1561,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.361272+00:00,
ABEO,ABEO,success,1560,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.362504+00:00,
ABEV,ABEV,success,1561,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.363840+00:00,
ABG,ABG,success,1544,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.365069+00:00,
ABM,ABM,success,1561,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.385738+00:00,
ABNB,ABNB,success,1561,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-06 19:38:44.387974+00:00,
