source_symbol,symbol,status,row_count,min_timestamp,max_timestamp,exchange_timezone,last_fetch_at,error_message
A,A,success,4680,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:09.983866+00:00,
AA,AA,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:26.514024+00:00,
AACP,AACP,success,69,2026-05-28 13:50:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:39.241013+00:00,
AAL,AAL,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:50.991828+00:00,
AAMI,AAMI,success,4312,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:47.650870+00:00,
AAOI,AAOI,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:33.733168+00:00,
AAON,AAON,success,4630,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:43.225298+00:00,
AAP,AAP,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:34.853805+00:00,
AAPG,AAPG,success,290,2026-03-13 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:09.607188+00:00,
AAPL,AAPL,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:11:44.545585+00:00,
AARD,AARD,success,3707,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:58.820660+00:00,
AAT,AAT,success,4421,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:14.791679+00:00,
AAUC,AAUC,success,4237,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:38.974725+00:00,
ABAT,ABAT,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:11.487041+00:00,
ABBV,ABBV,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:11:46.274737+00:00,
ABCB,ABCB,success,4533,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:07.670721+00:00,
ABCL,ABCL,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:07.763773+00:00,
ABEO,ABEO,success,4610,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:24.605554+00:00,
ABEV,ABEV,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:05.789014+00:00,
ABG,ABG,success,3977,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:33.039719+00:00,
ABM,ABM,success,4498,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:47.895999+00:00,
ABNB,ABNB,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:11:57.164810+00:00,
ABR,ABR,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:31.116892+00:00,
ABSI,ABSI,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:33.056810+00:00,
ABT,ABT,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:11:50.829621+00:00,
ABUS,ABUS,success,4619,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:39.975430+00:00,
ABVX,ABVX,success,4666,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:54.331451+00:00,
ABX,ABX,success,4582,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:38.674522+00:00,
ACA,ACA,success,4125,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:07.072938+00:00,
ACAD,ACAD,success,4679,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:31.944710+00:00,
ACB,ACB,success,4473,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:41.583993+00:00,
ACCO,ACCO,success,4632,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:19.471203+00:00,
ACDC,ACDC,success,4677,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:22.252249+00:00,
ACEL,ACEL,success,4297,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:31.649450+00:00,
ACET,ACET,success,3051,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:16:01.299512+00:00,
ACGC,ACGC,success,52,2026-05-28 13:50:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:27.022054+00:00,
ACGL,ACGL,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:13.082148+00:00,
ACHC,ACHC,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:55.088314+00:00,
ACHR,ACHR,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:26.038392+00:00,
ACHV,ACHV,success,4529,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:59.650677+00:00,
ACI,ACI,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:53.032640+00:00,
ACIC,ACIC,success,3637,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:01.447620+00:00,
ACIW,ACIW,success,4603,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:21.959602+00:00,
ACLS,ACLS,success,4618,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:21.158429+00:00,
ACM,ACM,success,4673,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:48.302078+00:00,
ACMR,ACMR,success,4670,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:13.112408+00:00,
ACN,ACN,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:11:53.977415+00:00,
ACNB,ACNB,success,1965,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:55.364113+00:00,
ACNT,ACNT,success,2574,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:51.717504+00:00,
ACOG,ACOG,success,1534,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:52.764386+00:00,
ACR,ACR,success,1155,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:50.270942+00:00,
ACRE,ACRE,success,4499,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:29.129818+00:00,
ACRS,ACRS,success,4660,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:53.343321+00:00,
ACT,ACT,success,4191,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:08.199039+00:00,
ACTG,ACTG,success,3849,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:06.540871+00:00,
ACU,ACU,success,1276,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:46.062772+00:00,
ACVA,ACVA,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:33.403495+00:00,
AD,AD,success,3483,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:22.534637+00:00,
ADAG,ADAG,success,2522,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:46.868708+00:00,
ADAM,ADAM,success,4574,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:41.618421+00:00,
ADBE,ADBE,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:11:54.524753+00:00,
ADC,ADC,success,4677,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:51.348713+00:00,
ADEA,ADEA,success,4676,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:38.539226+00:00,
ADI,ADI,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:11:49.078781+00:00,
ADM,ADM,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:09.582744+00:00,
ADMA,ADMA,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:02.011844+00:00,
ADNT,ADNT,success,4664,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:04.898451+00:00,
ADP,ADP,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:11:55.736531+00:00,
ADPT,ADPT,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:46.710873+00:00,
ADSE,ADSE,success,305,2026-03-12 16:55:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:47.644327+00:00,
ADSK,ADSK,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:06.044257+00:00,
ADT,ADT,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:12.146448+00:00,
ADTN,ADTN,success,4677,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:23.381991+00:00,
ADUR,ADUR,success,4214,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:04.136187+00:00,
ADUS,ADUS,success,3849,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:07.182875+00:00,
ADV,ADV,success,2938,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:01.397437+00:00,
AEBI,AEBI,success,4049,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:37.348892+00:00,
AEC,AEC,success,1716,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:59.789065+00:00,
AEE,AEE,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:14.988200+00:00,
AEG,AEG,success,4676,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:38.205473+00:00,
AEHR,AEHR,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:39.704471+00:00,
AEIS,AEIS,success,4579,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:41.888924+00:00,
AEM,AEM,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:11:57.668322+00:00,
AENT,AENT,success,1178,2026-03-12 13:50:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:28.373139+00:00,
AEO,AEO,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:44.900263+00:00,
AEP,AEP,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:00.755089+00:00,
AER,AER,success,4677,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:22.404732+00:00,
AERO,AERO,success,4133,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:53.070490+00:00,
AES,AES,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:44.474818+00:00,
AESI,AESI,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:58.464131+00:00,
AESPU,AESPU,success,12,2026-06-04 19:40:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:51.248994+00:00,
AEVA,AEVA,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:17.615557+00:00,
AEXA,AEXA,success,2225,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:56.237812+00:00,
AEYE,AEYE,success,3525,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:58.357728+00:00,
AFBI,AFBI,success,486,2026-03-13 19:55:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:49.613110+00:00,
AFCG,AFCG,success,3480,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:59.133807+00:00,
AFG,AFG,success,4298,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:42.173661+00:00,
AFJK,AFJK,success,479,2026-03-12 14:50:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:51.613917+00:00,
AFL,AFL,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:02.466926+00:00,
AFRI,AFRI,success,570,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:30.705230+00:00,
AFRM,AFRM,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:23.475961+00:00,
AFYA,AFYA,success,2740,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:20.532732+00:00,
AG,AG,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:53.620755+00:00,
AGBK,AGBK,success,4295,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:23.264674+00:00,
AGCC,AGCC,success,1829,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:56.102353+00:00,
AGCO,AGCO,success,4644,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:51.717557+00:00,
AGEN,AGEN,success,4500,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:50.715616+00:00,
AGI,AGI,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:30.831830+00:00,
AGIO,AGIO,success,4631,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:08.672829+00:00,
AGL,AGL,success,4522,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:10.050111+00:00,
AGM,AGM,success,2494,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:01.294758+00:00,
AGMB,AGMB,success,2428,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:02.995311+00:00,
AGNC,AGNC,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:40.099900+00:00,
AGNT,AGNT,success,1556,2026-05-08 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:43.609592+00:00,
AGO,AGO,success,4352,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:33.884466+00:00,
AGPU,AGPU,success,3486,2026-03-12 13:50:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:58.623796+00:00,
AGRO,AGRO,success,4657,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:09.474425+00:00,
AGX,AGX,success,4508,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:47.886668+00:00,
AGYS,AGYS,success,4002,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:50.068121+00:00,
AHCO,AHCO,success,4655,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:18.654378+00:00,
