lifecycle_id,cluster_name,dominant_sector,dominant_industry,first_date,last_date,active_days,peak_momentum_score,avg_momentum_score,return_2m,avg_relative_strength_10d,top_members
L085,TECH/COMPUTER :: AMPL-APLD-APPS,HEALTHCARE,BIOPHARMANONSYS,2026-05-22 00:00:00-04:00,2026-06-04 00:00:00-04:00,9,1.9581873534440033,1.2533215332044219,0.24182642149969832,0.11799655016788901,"AA, MRK, OKTA, OFLX, OEC, ODD"
L090,INDUSTRIAL/AERODEF :: A-ADPT-AIRO,HEALTHCARE,HCAREDIAGNOSTICS,2026-05-28 00:00:00-04:00,2026-06-05 00:00:00-04:00,7,1.9470197969962713,1.2514275689832808,0.05702505906153044,0.14757592662448588,"A, PAL, NTRA, NVCR, NYT, OCC"
L027,HEALTHCARE/MEDDEVICESGEN :: AAP-AAPL-AGPU,UNKNOWN,UNKNOWN,2026-04-22 00:00:00-04:00,2026-04-24 00:00:00-04:00,3,1.7308048691511015,1.0476676833583611,0.07755011399513097,0.07272149360583845,"AAP, NVEC, NXT, OFG, OMAB, ONIT"
L041,TECH/COMPUTER :: ABG-ADP-AGIO,UNKNOWN,UNKNOWN,2026-04-29 00:00:00-04:00,2026-05-12 00:00:00-04:00,10,1.724486722284066,0.8585344698676783,0.10460468884309686,0.06583459291303452,"AAOI, ABG, OPFI, ORN, PAG, PENG"
L069,NONCYCLICAL/TOBACCO :: ALH-ALHC-ALKS,UNKNOWN,UNKNOWN,2026-05-12 00:00:00-04:00,2026-05-26 00:00:00-04:00,10,1.701692572739433,1.1669593582864368,0.13065709244155704,0.08898287595718295,"AAOI, PNNT, RFIL, REPL, RELY, RCKY"
L071,TECH/SEMIMFR :: ADAG-ADI-AIRO,NONCYCLICAL,GENMERCH,2026-05-13 00:00:00-04:00,2026-05-14 00:00:00-04:00,2,1.62601623146024,1.2113073025191958,0.0496341274349543,0.08735060241347978,"ADAG, PSFE, OUST, PBH, PDD, PDFS"
L022,HEALTHCARE/HCARESUPPORT :: ABX-ADTN-ALLY,TECH,COMPUTER,2026-04-20 00:00:00-04:00,2026-04-21 00:00:00-04:00,2,1.5911345186703298,1.5855169826096631,0.04757650743412325,0.1263280003413021,"ABX, OUST, NP, NRXP, NTAP, NTGR"
L035,TECH/SEMIMFR :: AAOI-ACLS-ACMR,UNKNOWN,UNKNOWN,2026-04-24 00:00:00-04:00,2026-05-11 00:00:00-04:00,12,1.5805699379144285,0.5670221570799179,0.06989134958240614,0.02352085275277817,"AAOI, PII, PRIM, PRDO, POWL, POWI"
L015,INDUSTRIAL/MEDDEVICESGEN :: ABAT-ABCL-ACHR,UNKNOWN,UNKNOWN,2026-04-09 00:00:00-04:00,2026-06-05 00:00:00-04:00,41,1.5354925690050787,0.5393705879708515,0.2563937213821009,0.04204283646314618,"AA, ONIT, OPY, OPTX, OPRX, OPRT"
L056,INDUSTRIAL/AERODEF :: AAON-ACAD-ACIW,UNKNOWN,UNKNOWN,2026-05-07 00:00:00-04:00,2026-05-20 00:00:00-04:00,10,1.5241993361390394,0.9627656753928011,0.07232482350336711,0.0790748192101221,"AAON, NSIT, NTWK, NVAX, NWFL, NXRT"
L018,INDUSTRIAL/GENMERCH :: ACHV-AD-AEHR,INDUSTRIAL,AERODEF,2026-04-16 00:00:00-04:00,2026-04-16 00:00:00-04:00,1,1.5049203624538676,1.5049203624538676,0.056610499395422134,0.07388773419591738,"ACHV, PDD, RLMD, RKLB, RFIL, RDW"
L060,FINANCIAL/REIT :: AD-AFRM-AFYA,UNKNOWN,UNKNOWN,2026-05-08 00:00:00-04:00,2026-05-21 00:00:00-04:00,10,1.4936491509060636,0.7963996917946974,0.06445237188466034,0.058914050488296246,"AAMI, OWLT, NAMS, NHC, NHI, NSIT"
L050,NONCYCLICAL/FOODDRINKMFR :: ABEV-ABVX-ADM,HEALTHCARE,COMMEQUIP,2026-05-05 00:00:00-04:00,2026-05-18 00:00:00-04:00,10,1.4935886302943955,0.8424732326009774,0.07244294096425197,0.0835862694478886,"A, PACK, NOA, NOK, NPKI, NRXP"
L024,TECH/SEMIMFR :: ABCL-ACB-ADI,BIZSVCE,BIZSUPPORT,2026-04-21 00:00:00-04:00,2026-05-06 00:00:00-04:00,12,1.3891404609629385,0.7232635589007081,0.031592231952697634,0.04963925166741542,"ABCL, OTIS, PODD, PNTG, PNFP, PLD"
L078,CONSUMERSVCE/HOSPITALITY :: ABNB-APT-ATAI,CONSUMERSVCE,HOSPITALITY,2026-05-18 00:00:00-04:00,2026-05-19 00:00:00-04:00,2,1.3431040404874344,1.0371073113556906,0.041995934935482405,0.05301597545455432,"ABNB, SNDR, SAIA, RYAAY, RTO, RNW"
L054,FINANCIAL/BANKSINTL :: ACLS-AEG-AER,HEALTHCARE,BIOPHARMANONSYS,2026-05-06 00:00:00-04:00,2026-05-19 00:00:00-04:00,10,1.3269582019951955,0.5942602191978151,0.04753682446606879,0.044975241726168666,"AAL, NOMD, ONON, ONC, OI, OGC"
L008,INDUSTRIAL/MACHINE :: AAP-ABG-ABM,TECH,SEMIMFR,2026-04-09 00:00:00-04:00,2026-05-01 00:00:00-04:00,17,1.2742018236033499,0.49633710361050376,0.02859702799005089,0.043444217856807125,"AAOI, PAG, NX, NXDT, NXPI, NXST"
L046,TECH/PERSONALCAREPRODUCT :: AAPL-ACCO-AIG,TECH,COMMEQUIP,2026-05-01 00:00:00-04:00,2026-05-14 00:00:00-04:00,10,1.243974616590999,0.6667717344188447,0.08035041114702682,0.06045043799608697,"AAPL, ORCL, NVT, NWFL, NWL, NWPX"
