lifecycle_id,cluster_name,dominant_sector,dominant_industry,first_date,last_date,active_days,peak_momentum_score,avg_momentum_score,return_2m,avg_relative_strength_10d,top_members,theme_label,avg_size,avg_coherence,avg_breadth
L043,NONCYCLICAL/FOODDRINKMFR :: AAOI-ABEV-ABX,NONCYCLICAL,FOODDRINKMFR,2026-04-20 00:00:00-04:00,2026-04-22 00:00:00-04:00,3,2.066197525716004,1.0830537998877767,0.0582448117651987,0.1187369333567991,"AAOI, ABEV, ABX, ADTN, ALOY, ALTO",NONCYCLICAL/FOODDRINKMFR (AAOI/ABEV/ABX),6,,
L088,UNKNOWN/UNKNOWN :: AAON-ACAD-ACIC,UNKNOWN,UNKNOWN,2026-05-07 00:00:00-04:00,2026-05-20 00:00:00-04:00,10,1.970035177025061,0.9985508073989058,0.0824736140169111,0.0956403369494378,"AAON, ACAD, ACIC, ACIW, ACMR, ACVA",AAON/ACAD/ACIC,6,,
L095,UNKNOWN/UNKNOWN :: ACU-ADMA-AEVA,UNKNOWN,UNKNOWN,2026-05-12 00:00:00-04:00,2026-05-26 00:00:00-04:00,10,1.9263913608233452,1.0576118606892773,0.1359682736636552,0.0888127389655849,"ACU, ADMA, AEVA, AGEN, ALH, ALHC",ACU/ADMA/AEVA,6,,
L116,TECH/COMMEQUIP :: AA-AAPL-ABBV,HEALTHCARE,BIOPHARMAOTHER,2026-05-22 00:00:00-04:00,2026-06-01 00:00:00-04:00,6,1.8075125591055283,1.1932887975409547,0.2222817638275205,0.1144267549512212,"AA, AAPL, ABBV, ADMA, AEYE, AFRM",TECH/COMMEQUIP (AA/AAPL/ABBV),6,,
L047,UNKNOWN/UNKNOWN :: ZWS-AAOI-AAON,UNKNOWN,UNKNOWN,2026-04-20 00:00:00-04:00,2026-06-03 00:00:00-04:00,32,1.7891235493065956,0.4228135711633873,0.0290273380758512,0.0125322878663102,"ZWS, AAOI, AAON, AAP, AAUC, ABEO",ZWS/AAOI/AAON,6,,
L070,TECH/SEMIMFR :: ABG-ADI-ADP,BIZSVCE,PROSVCE,2026-04-29 00:00:00-04:00,2026-05-12 00:00:00-04:00,10,1.7850690400854372,0.8331220184997956,0.0937917498010559,0.0662986300777056,"ABG, ADI, ADP, AENT, AGIO, AIN",TECH/SEMIMFR (ABG/ADI/ADP),6,,
L058,TECH/SEMIMFR :: ABCL-ACB-ACDC,TECH,SEMIMFR,2026-04-23 00:00:00-04:00,2026-05-06 00:00:00-04:00,10,1.6599236329899043,0.7733267778848709,0.0625554542295976,0.0515123403086962,"ABCL, ACB, ACDC, AD, ADI, ADTN",TECH/SEMIMFR (ABCL/ACB/ACDC),6,,
L090,TECH/COMMEQUIP :: AAPL-ABNB-AD,CONSUMERSVCE,COMMEQUIP,2026-05-08 00:00:00-04:00,2026-05-21 00:00:00-04:00,10,1.62729888939183,0.7395867023180942,0.0745512484536845,0.05930566604132,"AAPL, ABNB, AD, AFRM, AFYA, AHR",TECH/COMMEQUIP (AAPL/ABNB/AD),6,,
L099,UNKNOWN/UNKNOWN :: AA-AAMI-AAOI,UNKNOWN,UNKNOWN,2026-05-14 00:00:00-04:00,2026-06-05 00:00:00-04:00,16,1.5700127195246352,0.5875521311968407,-0.0126790864084294,0.0432308964742224,"AA, AAMI, AAOI, AAON, ABSI, ACA",AA/AAMI/AAOI,6,,
L103,HEALTHCARE/HOSPITALITY :: AARD-ABNB-ABT,HEALTHCARE,HOSPITALITY,2026-05-18 00:00:00-04:00,2026-06-01 00:00:00-04:00,10,1.5695561664881106,0.711701458770818,0.1349917725856304,0.0565252795866834,"AARD, ABNB, ABT, AFCG, ALC, ALOT",HEALTHCARE/HOSPITALITY (AARD/ABNB/ABT),6,,
