symbol,count,mean,max
NOW,46,0.8913043478260869,1.0
HYMC,44,0.9318181818181818,1.0
SWK,43,0.9534883720930233,1.0
TMHC,43,0.9534883720930233,1.0
ALK,43,0.9534883720930233,1.0
LTM,43,0.9534883720930233,1.0
NCLH,43,0.9534883720930233,1.0
SSRM,42,0.9761904761904762,1.0
DB,42,0.9761904761904762,1.0
ZETA,42,0.9761904761904762,1.0
BBAI,42,0.9761904761904762,1.0
ADBE,42,0.9761904761904762,1.0
CFG,42,0.9761904761904762,1.0
ASX,42,0.9761904761904762,1.0
ACHR,42,0.9761904761904762,1.0
UPST,42,0.9761904761904762,1.0
DX,42,0.9761904761904762,1.0
FHN,42,0.9761904761904762,1.0
FER,42,0.9761904761904762,1.0
FLS,42,0.9761904761904762,1.0
FNB,42,0.9761904761904762,1.0
GBDC,42,0.9761904761904762,1.0
RPM,42,0.9761904761904762,1.0
HBM,42,0.9761904761904762,1.0
HLT,42,0.9761904761904762,1.0
HOOD,42,0.9761904761904762,1.0
RCL,42,0.9761904761904762,1.0
JOBY,42,0.9761904761904762,1.0
PHM,42,0.9761904761904762,1.0
LSPD,42,0.9761904761904762,1.0
ACN,41,1.0,1.0
ACNB,41,1.0,1.0
ACRE,41,1.0,1.0
ABG,41,1.0,1.0
ABM,41,1.0,1.0
ABR,41,1.0,1.0
ABT,41,1.0,1.0
ACA,41,1.0,1.0
ACAD,41,1.0,1.0
ACB,41,1.0,1.0
ACDC,41,1.0,1.0
ADC,41,1.0,1.0
ADI,41,1.0,1.0
ADM,41,1.0,1.0
ADNT,41,1.0,1.0
ADP,41,1.0,1.0
XPRO,41,1.0,1.0
XRAY,41,1.0,1.0
XRPN,41,1.0,1.0
XXI,41,1.0,1.0
