epoch,train_loss,validation_average_precision,validation_auc,validation_f1
1,0.4317425800462998,0.9260274620147021,0.7122124292991456,0.9128181285945518
2,0.3941680736937377,0.9369478375256197,0.7510300422125572,0.9131768964142204
3,0.3870676924112582,0.9377422401550206,0.7542788282101612,0.9117320448533186
4,0.3854091650273602,0.9388379754453458,0.7581278748091256,0.9145496422860441
5,0.38353787616350765,0.9392885632589358,0.7594760736611778,0.9147630595920283
6,0.3828382923320652,0.9396361028031535,0.7603591128908996,0.9151128755139447
7,0.3822762972988416,0.9398896395772922,0.760974977677278,0.9152994690727879
8,0.3819106354919063,0.9400260252129045,0.7612975812170639,0.9154911871072157
9,0.38161586008673154,0.9400970625251995,0.7614623073003048,0.9156232536914979
10,0.38131601670878945,0.940200889641204,0.7617670080339696,0.9158754078213925
