theme_instance_id,run_id,snapshot_id,label_short,label_long,sector_summary,industry_summary,bucket_tags_json,top_companies_json,semantic_coherence_score,explanation,semantic_method,semantic_metadata_json,semantic_prompt_text,dictionary_version,created_at
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1505_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1505,"Theme: A, AA","Theme: A, AA",Mixed,Mixed,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]","[""A"", ""AA""]",0.7,Dictionary-first label generated from leading members and supporting layers.,dictionary_v1,"{""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""], ""member_count"": 2}",,builtin-v1,2026-06-15 19:18:28.351405
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1510_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1510,"Theme: A, AA","Theme: A, AA",Mixed,Mixed,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]","[""A"", ""AA""]",0.7,Dictionary-first label generated from leading members and supporting layers.,dictionary_v1,"{""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""], ""member_count"": 2}",,builtin-v1,2026-06-15 19:18:28.405883
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1515_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1515,"Theme: A, AA","Theme: A, AA",Mixed,Mixed,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]","[""A"", ""AA""]",0.7,Dictionary-first label generated from leading members and supporting layers.,dictionary_v1,"{""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""], ""member_count"": 2}",,builtin-v1,2026-06-15 19:18:28.456821
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1520_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1520,"Theme: A, AA","Theme: A, AA",Mixed,Mixed,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]","[""A"", ""AA""]",0.7,Dictionary-first label generated from leading members and supporting layers.,dictionary_v1,"{""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""], ""member_count"": 2}",,builtin-v1,2026-06-15 19:18:28.510260
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1525_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1525,"Theme: A, AA","Theme: A, AA",Mixed,Mixed,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]","[""A"", ""AA""]",0.7,Dictionary-first label generated from leading members and supporting layers.,dictionary_v1,"{""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""], ""member_count"": 2}",,builtin-v1,2026-06-15 19:18:28.593375
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1530_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1530,"Theme: A, AA","Theme: A, AA",Mixed,Mixed,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]","[""A"", ""AA""]",0.7,Dictionary-first label generated from leading members and supporting layers.,dictionary_v1,"{""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""], ""member_count"": 2}",,builtin-v1,2026-06-15 19:18:28.671792
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1535_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1535,"Theme: A, AA","Theme: A, AA",Mixed,Mixed,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]","[""A"", ""AA""]",0.7,Dictionary-first label generated from leading members and supporting layers.,dictionary_v1,"{""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""], ""member_count"": 2}",,builtin-v1,2026-06-15 19:18:28.751232
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1540_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1540,"Theme: A, AA","Theme: A, AA",Mixed,Mixed,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]","[""A"", ""AA""]",0.7,Dictionary-first label generated from leading members and supporting layers.,dictionary_v1,"{""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""], ""member_count"": 2}",,builtin-v1,2026-06-15 19:18:28.841820
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1545_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1545,"Theme: A, AA","Theme: A, AA",Mixed,Mixed,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]","[""A"", ""AA""]",0.7,Dictionary-first label generated from leading members and supporting layers.,dictionary_v1,"{""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""], ""member_count"": 2}",,builtin-v1,2026-06-15 19:18:28.916680
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1550_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1550,"Theme: A, AA","Theme: A, AA",Mixed,Mixed,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]","[""A"", ""AA""]",0.7,Dictionary-first label generated from leading members and supporting layers.,dictionary_v1,"{""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""], ""member_count"": 2}",,builtin-v1,2026-06-15 19:18:28.976440
