trade_date,status,candidate_rows,signal_rows,evaluated_rows,best_horizon,best_avg_net_return
2025-09-02,ok,188,93,462,3,0.00017510880850948112
2025-09-03,ok,189,77,383,10,0.0017052787916315116
2025-09-04,ok,187,92,455,3,-0.0007943506434832624
2025-09-05,ok,187,83,408,15,0.004880376578476246
2025-09-08,ok,186,104,514,10,0.000686179721811133
2025-09-09,ok,187,91,452,15,0.0022471312179927145
2025-09-10,ok,187,93,460,10,0.024623623253709738
2025-09-11,ok,187,88,438,10,0.022173484012125204
2025-09-12,ok,187,89,438,15,0.0015760694047580242
2025-09-15,ok,186,90,447,1,-0.00426939955294883
2025-09-16,ok,188,92,458,1,0.0029276782465270934
2025-09-17,ok,186,91,455,1,0.00010099050203764544
2025-09-18,ok,187,97,485,3,-0.0005072960241404425
2025-09-19,ok,188,113,559,5,0.002964502363746368
2025-09-22,ok,187,104,512,1,-0.0016228674508067366
2025-09-23,ok,191,85,425,15,0.00023785501418072209
2025-09-24,ok,187,99,492,1,-0.00026685124677025784
2025-09-25,ok,188,78,390,1,-0.0007575204872292978
2025-09-26,ok,186,86,429,1,0.0017535724029247993
2025-09-29,ok,188,88,437,1,0.0026996470740183716
2025-09-30,ok,186,83,405,1,0.0007936391440463907
