rule_id,month,horizon_minutes,signal_count,avg_net_return,median_net_return,hit_rate
baseline,2025-09,1,1910,0.0004073217939548604,-0.0004999550067490642,0.31099476439790574
baseline,2025-09,3,1910,-0.0007085128439971951,-0.0004999550067490642,0.35026178010471204
baseline,2025-09,5,1905,-0.0004217294949807635,-0.0004999550067490642,0.36167979002624673
baseline,2025-09,10,1894,-0.0001152671339140194,-0.0004999550067491752,0.366948257655755
baseline,2025-09,15,1885,-0.0014970791640251588,-0.0004999550067490642,0.39363395225464193
regular,2025-09,1,596,0.0007243342363297639,-0.0004999550067490642,0.38422818791946306
regular,2025-09,3,596,0.0005412539568501183,-0.0004443346607892138,0.4228187919463087
regular,2025-09,5,596,-0.00034091670280543475,-0.0005552337768706892,0.4211409395973154
regular,2025-09,10,596,-0.0008316955183497361,-0.0006356184837599475,0.4110738255033557
regular,2025-09,15,596,-0.0015471244588610145,-0.0005880638332923736,0.4395973154362416
regular_both,2025-09,1,44,0.00567542745066019,-1.089101453668456e-05,0.5
regular_both,2025-09,3,44,0.004647626233357233,0.0009343198286537514,0.5227272727272727
regular_both,2025-09,5,44,0.000436042774383884,0.00015052350595110584,0.5227272727272727
regular_both,2025-09,10,44,-0.0003374131647665242,-0.0024328263732782073,0.4318181818181818
regular_both,2025-09,15,44,-0.0025536745715909583,-0.0035492803838939823,0.4090909090909091
regular_theme_0.6,2025-09,1,108,0.006470816466882335,5.084557959009767e-05,0.5185185185185185
regular_theme_0.6,2025-09,3,108,0.006275837611225209,0.00042989990885664595,0.5555555555555556
regular_theme_0.6,2025-09,5,108,0.0020368673559422673,0.0003072320626517968,0.5277777777777778
regular_theme_0.6,2025-09,10,108,0.0018134174527786992,-0.0009741987769515625,0.4166666666666667
regular_theme_0.6,2025-09,15,108,-0.0008225643736085087,-0.0018413293501575944,0.4074074074074074
regular_theme_0.7,2025-09,1,32,0.0073877162134713395,0.00011273387534891394,0.53125
regular_theme_0.7,2025-09,3,32,0.006682859606032956,0.00016740808047819317,0.53125
regular_theme_0.7,2025-09,5,32,-0.0045434240650459486,-0.0006536367357439452,0.4375
regular_theme_0.7,2025-09,10,32,-0.005562763667979522,-0.001408516596789222,0.34375
regular_theme_0.7,2025-09,15,32,-0.008203965035614828,-0.0035492803838939823,0.28125
baseline,2025-10,1,2036,-0.0004402869128523631,-0.0004999550067490642,0.3118860510805501
baseline,2025-10,3,2033,-0.00016956681087529243,-0.0004999550067490642,0.35071323167732416
baseline,2025-10,5,2027,-0.0004325541826596756,-0.0004999550067490642,0.3675382338431179
baseline,2025-10,10,2014,-0.0009069827043322806,-0.0004999550067491752,0.3952333664349553
baseline,2025-10,15,1998,-0.001003681265662426,-0.0005936771941666084,0.3923923923923924
regular,2025-10,1,621,-0.00036285185548978635,-0.0004927835573589554,0.3961352657004831
regular,2025-10,3,621,-6.307381499042756e-05,-0.0004999550067490642,0.4074074074074074
regular,2025-10,5,620,-0.00012577267122176368,-0.0005098993024319707,0.44193548387096776
regular,2025-10,10,619,-0.00038250920357003806,-0.0004925988621943487,0.46526655896607433
regular,2025-10,15,618,-0.0006639828043369765,-0.0005331956226577115,0.46440129449838186
regular_both,2025-10,1,66,-0.00016545258533116094,-0.00024136760713641106,0.45454545454545453
regular_both,2025-10,3,66,-0.00043497999619277546,7.786506527816002e-05,0.5
regular_both,2025-10,5,66,-0.0008463643648411529,-0.0007605698627050294,0.4696969696969697
regular_both,2025-10,10,66,-0.0011873569121013789,0.0007535239993313516,0.5303030303030303
regular_both,2025-10,15,66,-0.001912108817751843,0.000199753744908693,0.5
regular_theme_0.6,2025-10,1,177,0.0001930652264126628,-0.00045291029874940916,0.4519774011299435
regular_theme_0.6,2025-10,3,177,0.0004140569546317812,-0.0004983552281528023,0.4350282485875706
regular_theme_0.6,2025-10,5,177,0.0007341960235056708,-0.0008459403876920566,0.4689265536723164
regular_theme_0.6,2025-10,10,177,-3.7657954850793386e-05,-0.00032643333586070947,0.4689265536723164
regular_theme_0.6,2025-10,15,177,-0.0009289225424074894,-0.0005463986789903339,0.4519774011299435
regular_theme_0.7,2025-10,1,64,0.0012049266667601916,-0.00011207758451450261,0.46875
regular_theme_0.7,2025-10,3,64,3.426559100883162e-05,0.0007187778409771586,0.53125
regular_theme_0.7,2025-10,5,64,-0.003557352738527901,-4.643227444353064e-05,0.5
regular_theme_0.7,2025-10,10,64,-0.005081896782559775,-0.001007057554913504,0.4375
regular_theme_0.7,2025-10,15,64,-0.005409223626523386,-0.0015596793302033118,0.4375
baseline,2025-11,1,1635,-0.0005301859454477906,-0.0004999550067490642,0.2837920489296636
baseline,2025-11,3,1635,-0.0004737182103397921,-0.0004999550067490642,0.3308868501529052
baseline,2025-11,5,1635,-0.0007183940661046629,-0.0004999550067490642,0.3498470948012232
baseline,2025-11,10,1634,-0.0012456307710735745,-0.0005402817390674162,0.36474908200734396
baseline,2025-11,15,1634,0.00034251526433276607,-0.0005984641393961485,0.37821297429620565
regular,2025-11,1,492,-0.00011247018413748415,-0.0005211176544392624,0.3800813008130081
regular,2025-11,3,492,0.0005296169653580533,-0.00040165057494203607,0.42276422764227645
regular,2025-11,5,492,0.001166288935135424,-0.00043221001193440836,0.4410569105691057
regular,2025-11,10,492,0.0008469821979147365,-0.0007114884470086567,0.4268292682926829
regular,2025-11,15,492,0.0009673899456637405,-0.0008436241062700021,0.41260162601626016
regular_both,2025-11,1,31,-0.001964124971915889,-0.003173510449573169,0.3870967741935484
regular_both,2025-11,3,31,-0.000978942716492871,-0.0005739739646189122,0.45161290322580644
regular_both,2025-11,5,31,0.0031763802469876364,0.0009674193283446322,0.5483870967741935
regular_both,2025-11,10,31,0.004363922699177702,-0.0007960308382292334,0.41935483870967744
regular_both,2025-11,15,31,0.005923310754697721,0.0011284620663924772,0.5161290322580645
regular_theme_0.6,2025-11,1,69,-0.001189745552361726,-0.0008448575580664251,0.3333333333333333
regular_theme_0.6,2025-11,3,69,-0.00041613949031310045,-0.00036199874579658767,0.4492753623188406
regular_theme_0.6,2025-11,5,69,0.0011928927251916705,1.8225656717585527e-05,0.5072463768115942
regular_theme_0.6,2025-11,10,69,0.0012546241188393036,-0.0008523342964894763,0.42028985507246375
regular_theme_0.6,2025-11,15,69,0.0020618528991801547,-0.0002555415196351605,0.4492753623188406
regular_theme_0.7,2025-11,1,15,0.0018173182457409556,0.00010011838456767136,0.5333333333333333
regular_theme_0.7,2025-11,3,15,0.0032474731189086146,0.0018198890919738143,0.6666666666666666
regular_theme_0.7,2025-11,5,15,0.006303108470840551,0.0027905364250217835,0.6666666666666666
regular_theme_0.7,2025-11,10,15,0.008780935742360552,0.00021056385962856544,0.5333333333333333
regular_theme_0.7,2025-11,15,15,0.006818563405470799,-0.00033982365243336846,0.4
baseline,2025-12,1,1860,-0.0009108773459171075,-0.0004999550067490642,0.2467741935483871
baseline,2025-12,3,1859,-0.0003235446698917821,-0.0004999550067490642,0.31091984938138784
baseline,2025-12,5,1856,-0.0008495496509552336,-0.0004999550067490642,0.31842672413793105
baseline,2025-12,10,1851,-0.00075126351742894,-0.0004999550067491752,0.35548352242031334
baseline,2025-12,15,1846,-0.001082525422253322,-0.0004999550067491752,0.36728060671722645
regular,2025-12,1,560,-0.0007971255117723765,-0.0005115415567074842,0.325
regular,2025-12,3,560,-0.0007949347573584295,-0.0005318307469218906,0.3732142857142857
regular,2025-12,5,560,-0.0010339259029040885,-0.0005903599606654429,0.3517857142857143
regular,2025-12,10,559,-0.0004064027555394693,-0.0005557293899779656,0.407871198568873
regular,2025-12,15,559,-0.0007425044471997006,-0.0004999550067491752,0.43828264758497315
regular_both,2025-12,1,27,0.0016887852580666051,-0.000461400655635291,0.48148148148148145
regular_both,2025-12,3,27,0.0025478978489236878,0.0016819139783627924,0.5555555555555556
regular_both,2025-12,5,27,0.003848422337010815,0.0016444037341203145,0.5555555555555556
regular_both,2025-12,10,27,0.0071581546711331845,0.002285145757852747,0.7407407407407407
regular_both,2025-12,15,27,0.007524453814676035,0.0027582426742549294,0.6666666666666666
regular_theme_0.6,2025-12,1,81,0.0006709923657534679,-0.0006676102954485062,0.3950617283950617
regular_theme_0.6,2025-12,3,81,0.0013091692133326382,-0.00015553724883445846,0.48148148148148145
regular_theme_0.6,2025-12,5,81,0.002462727894108836,-0.00010893090904719998,0.4691358024691358
regular_theme_0.6,2025-12,10,81,0.004857237859889083,0.000982179974708708,0.6419753086419753
regular_theme_0.6,2025-12,15,81,0.0038293208074729394,0.0008085529055459119,0.5802469135802469
regular_theme_0.7,2025-12,1,22,-0.0003179920376512317,-0.0003276301147052905,0.5
regular_theme_0.7,2025-12,3,22,-0.0004545496484123217,-0.0001128338752859002,0.5
regular_theme_0.7,2025-12,5,22,0.00041320177409094513,-0.0002827999234842558,0.45454545454545453
regular_theme_0.7,2025-12,10,22,0.0029234190834046534,0.0011068807130264259,0.6818181818181818
regular_theme_0.7,2025-12,15,22,0.0017651382078417773,0.000895452844113054,0.6363636363636364
baseline,2026-01,1,1415,-0.0007955192932915888,-0.0004999550067490642,0.3201413427561837
baseline,2026-01,3,1411,-0.0011008361953455438,-0.0004999550067490642,0.34443656980864634
baseline,2026-01,5,1405,-0.001242044387267257,-0.0004999550067490642,0.36725978647686836
baseline,2026-01,10,1389,-0.0009378518436217509,-0.0004999550067490642,0.39164866810655147
baseline,2026-01,15,1380,-0.0010869919373516469,-0.0004999550067491752,0.4036231884057971
regular,2026-01,1,545,-0.00050877983399376,-0.0003919902089744241,0.41651376146788993
regular,2026-01,3,545,-0.0004279766095186207,-0.0003079880263368249,0.43853211009174314
regular,2026-01,5,545,-1.778522193888565e-05,-0.0003977450271472003,0.44954128440366975
regular,2026-01,10,545,-6.0670696326145446e-05,-0.0006279329936902609,0.44587155963302755
regular,2026-01,15,544,-0.00041308727299460427,-0.0006606715534911099,0.44485294117647056
regular_both,2026-01,1,42,0.00015246895491388611,-0.0009816243985656613,0.42857142857142855
regular_both,2026-01,3,42,0.0033324283344292405,0.001692899653319291,0.5476190476190477
regular_both,2026-01,5,42,0.0036451693519979574,0.0015748581255225825,0.6428571428571429
regular_both,2026-01,10,42,0.003842815039234653,-0.0026392458867107393,0.47619047619047616
regular_both,2026-01,15,42,0.004124698873202541,-3.397094641277408e-06,0.5
regular_theme_0.6,2026-01,1,97,-0.001132663641037729,-0.0005832217104799973,0.41237113402061853
regular_theme_0.6,2026-01,3,97,-0.00042764657521232016,-0.0001668881918253316,0.4742268041237113
regular_theme_0.6,2026-01,5,97,0.0037744387578455977,0.0004933349249582666,0.5463917525773195
regular_theme_0.6,2026-01,10,97,0.0052278979000789615,-0.0005505829843138963,0.4742268041237113
regular_theme_0.6,2026-01,15,97,0.005359479061318818,-0.0001794943063344821,0.4948453608247423
regular_theme_0.7,2026-01,1,25,-0.0004506936699445771,-0.0004533647813711681,0.4
regular_theme_0.7,2026-01,3,25,0.0015289334594156534,0.00011138393289920073,0.52
regular_theme_0.7,2026-01,5,25,0.0020370829667412734,9.518629402081053e-05,0.52
regular_theme_0.7,2026-01,10,25,0.004779379332367949,9.385138101090113e-05,0.56
regular_theme_0.7,2026-01,15,25,0.005264993043224543,0.0043078509899814104,0.56
baseline,2026-02,1,1349,-0.0007868950561169353,-0.0004999550067490642,0.28984432913269087
baseline,2026-02,3,1340,-0.0008325100252755464,-0.0004999550067490642,0.3455223880597015
baseline,2026-02,5,1334,-0.0019380344999682159,-0.0004999550067490642,0.34632683658170915
baseline,2026-02,10,1318,-0.0032119113308852415,-0.0004999550067491752,0.37556904400606983
baseline,2026-02,15,1302,-0.003931803276753213,-0.0005776482329007624,0.38863287250384027
regular,2026-02,1,498,-0.0006975315300891737,-0.0005700145386540399,0.3453815261044177
regular,2026-02,3,498,-0.000840147278464575,-0.0006494434050758,0.41767068273092367
regular,2026-02,5,497,-0.0011048002449443402,-0.00045411297786026575,0.4225352112676056
regular,2026-02,10,497,-0.0008714388882702268,-0.0004999550067491752,0.4426559356136821
regular,2026-02,15,497,-0.0010230755003883217,-0.0004999550067490642,0.45271629778672035
regular_both,2026-02,1,34,0.0005048463831691381,-0.00017310757547247515,0.5
regular_both,2026-02,3,34,0.0008491943278981814,0.00246445178302388,0.6470588235294118
regular_both,2026-02,5,34,-7.861772965718886e-05,0.0009712536379953064,0.5588235294117647
regular_both,2026-02,10,34,0.0025730359812253423,0.0019391359222956429,0.5882352941176471
regular_both,2026-02,15,34,0.003060110347521201,0.0005899587192156109,0.5
regular_theme_0.6,2026-02,1,51,-0.00013650717318949471,-0.0004999550067491752,0.49019607843137253
regular_theme_0.6,2026-02,3,51,0.0005401435037013581,0.0014188550604165907,0.5882352941176471
regular_theme_0.6,2026-02,5,51,-0.0004813742216460102,-2.2105189823950876e-05,0.49019607843137253
regular_theme_0.6,2026-02,10,51,0.0007414969989096181,0.000381935268632261,0.5098039215686274
regular_theme_0.6,2026-02,15,51,0.0019315624771565384,0.0012364727467854887,0.5490196078431373
regular_theme_0.7,2026-02,1,13,-0.0009075445291493996,-0.0008509116663920844,0.38461538461538464
regular_theme_0.7,2026-02,3,13,-0.00042458519832364733,-0.0007924188897848959,0.46153846153846156
regular_theme_0.7,2026-02,5,13,-0.00012217929443700113,-0.0022921439212836513,0.38461538461538464
regular_theme_0.7,2026-02,10,13,0.0018047316749629566,0.0018286785855705424,0.5384615384615384
regular_theme_0.7,2026-02,15,13,0.002939409933949848,-0.0023724650072872943,0.46153846153846156
baseline,2026-03,1,1589,-0.0011014628602237983,-0.0004999550067490642,0.2643171806167401
baseline,2026-03,3,1583,-0.001173429906889835,-0.0004999550067490642,0.31838281743524954
baseline,2026-03,5,1579,-0.0014168374553445312,-0.0004999550067490642,0.34325522482583914
baseline,2026-03,10,1568,-0.0009676630504018516,-0.0005238765272581267,0.36989795918367346
baseline,2026-03,15,1551,-0.0009022746704987099,-0.0006988738987684593,0.38233397807865893
regular,2026-03,1,543,-0.0007669535880057458,-0.0005479173776802513,0.35174953959484345
regular,2026-03,3,543,-0.0005012949629429354,-0.000566650586507089,0.40699815837937386
regular,2026-03,5,543,-0.0009803517486682367,-0.0005012129657840035,0.43646408839779005
regular,2026-03,10,542,-0.0006876417557917971,-0.000580806650925436,0.44095940959409596
regular,2026-03,15,541,7.76447205288352e-05,-0.0006737036489914636,0.4491682070240296
regular_both,2026-03,1,25,-0.0004486684034821575,-0.00014106482866573772,0.48
regular_both,2026-03,3,25,-0.0016241094841441051,-0.0013555296192852228,0.4
regular_both,2026-03,5,25,-0.0006239042683203835,-0.000252422806767205,0.48
regular_both,2026-03,10,25,0.0004816411730743308,-0.0003462994623048219,0.48
regular_both,2026-03,15,25,0.00017367227799283645,0.0003496402723275118,0.56
regular_theme_0.6,2026-03,1,51,0.000311313474913685,-8.687478063731363e-05,0.49019607843137253
regular_theme_0.6,2026-03,3,51,-0.00010173504520611628,-0.0011465915170939755,0.4117647058823529
regular_theme_0.6,2026-03,5,51,-0.0010776290776911882,-0.0006643523172231933,0.45098039215686275
regular_theme_0.6,2026-03,10,50,-0.0011153803605793095,-0.0007822794799871801,0.42
regular_theme_0.6,2026-03,15,50,0.005264331185010576,-0.0011055639965322438,0.46
regular_theme_0.7,2026-03,1,12,0.0060914054811016015,0.0012792148209984423,0.6666666666666666
regular_theme_0.7,2026-03,3,12,0.003919882168204348,-0.001211709282129958,0.4166666666666667
regular_theme_0.7,2026-03,5,12,0.00031330915658096906,-0.0007923724015431952,0.3333333333333333
regular_theme_0.7,2026-03,10,12,0.00026802582048997416,0.0013572883740661013,0.5833333333333334
regular_theme_0.7,2026-03,15,12,0.02490093753076117,0.00021823286338504852,0.5833333333333334
baseline,2026-04,1,1587,-0.0007349109695966733,-0.0004999550067490642,0.2885948330182735
baseline,2026-04,3,1584,-0.001141137027443384,-0.0004999550067490642,0.33775252525252525
baseline,2026-04,5,1579,-0.001786482139367755,-0.0004999550067491752,0.3388220392653578
baseline,2026-04,10,1566,-0.002154818739399698,-0.0004999550067491752,0.3850574712643678
baseline,2026-04,15,1555,-0.00197941339264603,-0.0005230108195950709,0.4064308681672026
regular,2026-04,1,592,-0.00026964001827102946,-0.0004902784924524448,0.3766891891891892
regular,2026-04,3,592,-5.907811407323834e-05,-0.0004999550067490642,0.40033783783783783
regular,2026-04,5,592,-0.0005168044639855958,-0.0005564732934587811,0.39864864864864863
regular,2026-04,10,592,-0.0008487791500068484,-0.0007443670973536152,0.42567567567567566
regular,2026-04,15,592,-0.0008276132594557218,-0.0006857577053600237,0.4375
regular_both,2026-04,1,36,-0.0006810280491749486,-0.0009035569283863064,0.3611111111111111
regular_both,2026-04,3,36,-0.0046640874794774915,-0.0020063871808636224,0.3055555555555556
regular_both,2026-04,5,36,-0.0064147628275811296,-0.003669761455642484,0.3888888888888889
regular_both,2026-04,10,36,-0.010442773653442964,-0.006479681362642508,0.3055555555555556
regular_both,2026-04,15,36,-0.012462690916333043,-0.009769630084966252,0.3611111111111111
regular_theme_0.6,2026-04,1,83,-0.0005806589088488686,-0.00040852794673742457,0.40963855421686746
regular_theme_0.6,2026-04,3,83,-0.001683135362481744,-0.0005166659715116982,0.43373493975903615
regular_theme_0.6,2026-04,5,83,-0.0023168773489108305,-0.00036599484349277825,0.4578313253012048
regular_theme_0.6,2026-04,10,83,-0.004487551269839955,-0.002788956127408504,0.37349397590361444
regular_theme_0.6,2026-04,15,83,-0.005431316658140805,-0.0019418886079659802,0.3855421686746988
regular_theme_0.7,2026-04,1,16,0.004626468532660499,0.00040902579706978434,0.5
regular_theme_0.7,2026-04,3,16,-0.0020860548994582765,-0.0014463302087040163,0.25
regular_theme_0.7,2026-04,5,16,-0.003991116492627581,-0.0019778095833574926,0.3125
regular_theme_0.7,2026-04,10,16,-0.009295932257872884,-0.0029295164852962906,0.25
