rule_id,month,horizon_minutes,signal_count,avg_net_return,median_net_return,hit_rate
baseline,2025-09,1,1910,0.0004073217939548604,-0.0004999550067490642,0.31099476439790574
baseline,2025-09,3,1910,-0.0007085128439971951,-0.0004999550067490642,0.35026178010471204
baseline,2025-09,5,1905,-0.0004217294949807635,-0.0004999550067490642,0.36167979002624673
baseline,2025-09,10,1894,-0.0001152671339140194,-0.0004999550067491752,0.366948257655755
baseline,2025-09,15,1885,-0.0014970791640251588,-0.0004999550067490642,0.39363395225464193
regular,2025-09,1,596,0.0007243342363297639,-0.0004999550067490642,0.38422818791946306
regular,2025-09,3,596,0.0005412539568501183,-0.0004443346607892138,0.4228187919463087
regular,2025-09,5,596,-0.00034091670280543475,-0.0005552337768706892,0.4211409395973154
regular,2025-09,10,596,-0.0008316955183497361,-0.0006356184837599475,0.4110738255033557
regular,2025-09,15,596,-0.0015471244588610145,-0.0005880638332923736,0.4395973154362416
regular_both,2025-09,1,44,0.00567542745066019,-1.089101453668456e-05,0.5
regular_both,2025-09,3,44,0.004647626233357233,0.0009343198286537514,0.5227272727272727
regular_both,2025-09,5,44,0.000436042774383884,0.00015052350595110584,0.5227272727272727
regular_both,2025-09,10,44,-0.0003374131647665242,-0.0024328263732782073,0.4318181818181818
regular_both,2025-09,15,44,-0.0025536745715909583,-0.0035492803838939823,0.4090909090909091
regular_confirmed,2025-09,1,449,0.0007379890633102648,-0.0004999550067490642,0.37861915367483295
regular_confirmed,2025-09,3,449,0.0003734420318976056,-0.0004999550067490642,0.4142538975501114
regular_confirmed,2025-09,5,449,-0.0008584285451846456,-0.0006115037732067561,0.41202672605790647
regular_confirmed,2025-09,10,449,-0.0008425477308442576,-0.0005950196743975898,0.4209354120267261
regular_confirmed,2025-09,15,449,-0.0015726549634188748,-0.0005769809179495764,0.4365256124721604
regular_confirmed_both,2025-09,1,37,0.005292564547649998,-0.0002812979540383285,0.4594594594594595
regular_confirmed_both,2025-09,3,37,0.003141040786593051,-0.0005554645280204882,0.4864864864864865
regular_confirmed_both,2025-09,5,37,-0.0008199603240517178,1.2419826566968954e-06,0.5135135135135135
regular_confirmed_both,2025-09,10,37,-0.0007026802020663736,-0.0010740230546472328,0.4594594594594595
regular_confirmed_both,2025-09,15,37,-0.003145472884375878,-0.003500424019296755,0.43243243243243246
regular_confirmed_theme_0.6,2025-09,1,89,0.007138144391112791,4.12278569636772e-05,0.5168539325842697
regular_confirmed_theme_0.6,2025-09,3,89,0.006342015648824872,0.0004050494518159422,0.5393258426966292
regular_confirmed_theme_0.6,2025-09,5,89,0.0016587672863033684,0.00029980502924551475,0.5280898876404494
regular_confirmed_theme_0.6,2025-09,10,89,0.0016621401725166805,-0.000874374499255892,0.4157303370786517
regular_confirmed_theme_0.6,2025-09,15,89,-0.0005723703333815738,-0.0018368098409201838,0.4044943820224719
regular_confirmed_theme_0.7,2025-09,1,26,0.00653658763242807,0.00011273387534891394,0.5384615384615384
regular_confirmed_theme_0.7,2025-09,3,26,0.005263144824999386,-1.305726080538233e-05,0.5
regular_confirmed_theme_0.7,2025-09,5,26,-0.007042092005589891,-0.0014807598261935228,0.4230769230769231
regular_confirmed_theme_0.7,2025-09,10,26,-0.008031985706281728,-0.002428442216842541,0.34615384615384615
regular_confirmed_theme_0.7,2025-09,15,26,-0.008477899756642777,-0.004993336926464331,0.2692307692307692
regular_theme_0.6,2025-09,1,108,0.006470816466882335,5.084557959009767e-05,0.5185185185185185
regular_theme_0.6,2025-09,3,108,0.006275837611225209,0.00042989990885664595,0.5555555555555556
regular_theme_0.6,2025-09,5,108,0.0020368673559422673,0.0003072320626517968,0.5277777777777778
regular_theme_0.6,2025-09,10,108,0.0018134174527786992,-0.0009741987769515625,0.4166666666666667
regular_theme_0.6,2025-09,15,108,-0.0008225643736085087,-0.0018413293501575944,0.4074074074074074
regular_theme_0.7,2025-09,1,32,0.0073877162134713395,0.00011273387534891394,0.53125
regular_theme_0.7,2025-09,3,32,0.006682859606032956,0.00016740808047819317,0.53125
regular_theme_0.7,2025-09,5,32,-0.0045434240650459486,-0.0006536367357439452,0.4375
regular_theme_0.7,2025-09,10,32,-0.005562763667979522,-0.001408516596789222,0.34375
regular_theme_0.7,2025-09,15,32,-0.008203965035614828,-0.0035492803838939823,0.28125
baseline,2025-10,1,2036,-0.0004402869128523631,-0.0004999550067490642,0.3118860510805501
baseline,2025-10,3,2033,-0.00016956681087529243,-0.0004999550067490642,0.35071323167732416
baseline,2025-10,5,2027,-0.0004325541826596756,-0.0004999550067490642,0.3675382338431179
baseline,2025-10,10,2014,-0.0009069827043322806,-0.0004999550067491752,0.3952333664349553
baseline,2025-10,15,1998,-0.001003681265662426,-0.0005936771941666084,0.3923923923923924
regular,2025-10,1,621,-0.00036285185548978635,-0.0004927835573589554,0.3961352657004831
regular,2025-10,3,621,-6.307381499042756e-05,-0.0004999550067490642,0.4074074074074074
regular,2025-10,5,620,-0.00012577267122176368,-0.0005098993024319707,0.44193548387096776
regular,2025-10,10,619,-0.00038250920357003806,-0.0004925988621943487,0.46526655896607433
regular,2025-10,15,618,-0.0006639828043369765,-0.0005331956226577115,0.46440129449838186
regular_both,2025-10,1,66,-0.00016545258533116094,-0.00024136760713641106,0.45454545454545453
regular_both,2025-10,3,66,-0.00043497999619277546,7.786506527816002e-05,0.5
regular_both,2025-10,5,66,-0.0008463643648411529,-0.0007605698627050294,0.4696969696969697
regular_both,2025-10,10,66,-0.0011873569121013789,0.0007535239993313516,0.5303030303030303
regular_both,2025-10,15,66,-0.001912108817751843,0.000199753744908693,0.5
regular_confirmed,2025-10,1,492,-0.0007642919789233884,-0.0004999550067491752,0.37601626016260165
regular_confirmed,2025-10,3,492,-0.00019328500988631187,-0.00048432357303193044,0.4024390243902439
regular_confirmed,2025-10,5,491,-0.00018196726367991192,-0.0004999550067489531,0.4439918533604888
regular_confirmed,2025-10,10,491,-0.0010702567809916744,-0.0005328128553931053,0.45621181262729127
regular_confirmed,2025-10,15,490,-0.0015023083562321765,-0.0005554293930372876,0.45714285714285713
regular_confirmed_both,2025-10,1,55,-0.0007449080817549572,-0.0002566893917124389,0.43636363636363634
regular_confirmed_both,2025-10,3,55,-0.00042537569762698854,-0.000128405628818906,0.4909090909090909
regular_confirmed_both,2025-10,5,55,-0.0002980259480813102,-0.0010681278086775103,0.45454545454545453
regular_confirmed_both,2025-10,10,55,-0.0024654035726930793,-0.000273309886211792,0.4909090909090909
regular_confirmed_both,2025-10,15,55,-0.0037434144041439987,-0.0015274619586275406,0.4727272727272727
regular_confirmed_theme_0.6,2025-10,1,152,-0.00015867846596833452,-0.0005302980338954486,0.42105263157894735
regular_confirmed_theme_0.6,2025-10,3,152,0.00038586081914099665,-0.0005961255541688469,0.40789473684210525
regular_confirmed_theme_0.6,2025-10,5,152,0.0010009716441698618,-0.0009269843704063583,0.45394736842105265
regular_confirmed_theme_0.6,2025-10,10,152,-0.0003838900131787161,-0.00043809280337427905,0.45394736842105265
regular_confirmed_theme_0.6,2025-10,15,152,-0.001543416475466699,-0.000681832880748656,0.4407894736842105
regular_confirmed_theme_0.7,2025-10,1,56,0.0009287850824987473,-0.00030834734891879137,0.44642857142857145
regular_confirmed_theme_0.7,2025-10,3,56,3.60385465690647e-05,0.0006766103160797734,0.5178571428571429
regular_confirmed_theme_0.7,2025-10,5,56,-0.003613379291488052,-4.643227444353064e-05,0.5
regular_confirmed_theme_0.7,2025-10,10,56,-0.006330327491508818,-0.0012977445969134748,0.4107142857142857
regular_confirmed_theme_0.7,2025-10,15,56,-0.007263988754269386,-0.0015596793302033118,0.42857142857142855
regular_theme_0.6,2025-10,1,177,0.0001930652264126628,-0.00045291029874940916,0.4519774011299435
regular_theme_0.6,2025-10,3,177,0.0004140569546317812,-0.0004983552281528023,0.4350282485875706
regular_theme_0.6,2025-10,5,177,0.0007341960235056708,-0.0008459403876920566,0.4689265536723164
regular_theme_0.6,2025-10,10,177,-3.7657954850793386e-05,-0.00032643333586070947,0.4689265536723164
regular_theme_0.6,2025-10,15,177,-0.0009289225424074894,-0.0005463986789903339,0.4519774011299435
regular_theme_0.7,2025-10,1,64,0.0012049266667601916,-0.00011207758451450261,0.46875
regular_theme_0.7,2025-10,3,64,3.426559100883162e-05,0.0007187778409771586,0.53125
regular_theme_0.7,2025-10,5,64,-0.003557352738527901,-4.643227444353064e-05,0.5
regular_theme_0.7,2025-10,10,64,-0.005081896782559775,-0.001007057554913504,0.4375
regular_theme_0.7,2025-10,15,64,-0.005409223626523386,-0.0015596793302033118,0.4375
baseline,2025-11,1,1635,-0.0005301859454477906,-0.0004999550067490642,0.2837920489296636
baseline,2025-11,3,1635,-0.0004737182103397921,-0.0004999550067490642,0.3308868501529052
baseline,2025-11,5,1635,-0.0007183940661046629,-0.0004999550067490642,0.3498470948012232
baseline,2025-11,10,1634,-0.0012456307710735745,-0.0005402817390674162,0.36474908200734396
baseline,2025-11,15,1634,0.00034251526433276607,-0.0005984641393961485,0.37821297429620565
regular,2025-11,1,492,-0.00011247018413748415,-0.0005211176544392624,0.3800813008130081
regular,2025-11,3,492,0.0005296169653580533,-0.00040165057494203607,0.42276422764227645
regular,2025-11,5,492,0.001166288935135424,-0.00043221001193440836,0.4410569105691057
regular,2025-11,10,492,0.0008469821979147365,-0.0007114884470086567,0.4268292682926829
regular,2025-11,15,492,0.0009673899456637405,-0.0008436241062700021,0.41260162601626016
regular_both,2025-11,1,31,-0.001964124971915889,-0.003173510449573169,0.3870967741935484
regular_both,2025-11,3,31,-0.000978942716492871,-0.0005739739646189122,0.45161290322580644
regular_both,2025-11,5,31,0.0031763802469876364,0.0009674193283446322,0.5483870967741935
regular_both,2025-11,10,31,0.004363922699177702,-0.0007960308382292334,0.41935483870967744
regular_both,2025-11,15,31,0.005923310754697721,0.0011284620663924772,0.5161290322580645
regular_confirmed,2025-11,1,369,-0.0005040720363663903,-0.0005822890575638782,0.35772357723577236
regular_confirmed,2025-11,3,369,-0.0005118618125159823,-0.0004750961221289483,0.41192411924119243
regular_confirmed,2025-11,5,369,-0.00031767475056220445,-0.0004552666875343945,0.42276422764227645
regular_confirmed,2025-11,10,369,-4.722982148469809e-05,-0.0007582240962743734,0.4173441734417344
regular_confirmed,2025-11,15,369,7.189995607345669e-05,-0.0007936368169789929,0.42005420054200543
regular_confirmed_both,2025-11,1,26,-0.0019666728813974407,-0.0021143038201738794,0.38461538461538464
regular_confirmed_both,2025-11,3,26,-0.0013776952624557448,-0.00042783180664026624,0.46153846153846156
regular_confirmed_both,2025-11,5,26,0.0032459515249583654,-0.00042519502501738845,0.5
regular_confirmed_both,2025-11,10,26,0.006103435427164536,-0.0007758510383850335,0.4230769230769231
regular_confirmed_both,2025-11,15,26,0.007365728755776392,0.0011816506846319187,0.5384615384615384
regular_confirmed_theme_0.6,2025-11,1,58,-0.0013015716025479526,-0.0008448516085985623,0.3275862068965517
regular_confirmed_theme_0.6,2025-11,3,58,-0.0007404410976643045,-0.000321844197229104,0.4482758620689655
regular_confirmed_theme_0.6,2025-11,5,58,0.0010081458536062924,-0.00015462961012754334,0.46551724137931033
regular_confirmed_theme_0.6,2025-11,10,58,0.0020381193017034384,-0.0008207626228245666,0.43103448275862066
regular_confirmed_theme_0.6,2025-11,15,58,0.0029954056090367824,-0.0002180877036504712,0.46551724137931033
regular_confirmed_theme_0.7,2025-11,1,14,0.001657634436075023,-7.981979535384136e-05,0.5
regular_confirmed_theme_0.7,2025-11,3,14,0.0031659699065203126,0.0017809915514276132,0.6428571428571429
regular_confirmed_theme_0.7,2025-11,5,14,0.006457584338533654,0.0018789778766832078,0.6428571428571429
regular_confirmed_theme_0.7,2025-11,10,14,0.009826387347545902,0.0018687067470834818,0.5714285714285714
regular_confirmed_theme_0.7,2025-11,15,14,0.0077759614759219655,-0.0002884433393113504,0.42857142857142855
regular_theme_0.6,2025-11,1,69,-0.001189745552361726,-0.0008448575580664251,0.3333333333333333
regular_theme_0.6,2025-11,3,69,-0.00041613949031310045,-0.00036199874579658767,0.4492753623188406
regular_theme_0.6,2025-11,5,69,0.0011928927251916705,1.8225656717585527e-05,0.5072463768115942
regular_theme_0.6,2025-11,10,69,0.0012546241188393036,-0.0008523342964894763,0.42028985507246375
regular_theme_0.6,2025-11,15,69,0.0020618528991801547,-0.0002555415196351605,0.4492753623188406
regular_theme_0.7,2025-11,1,15,0.0018173182457409556,0.00010011838456767136,0.5333333333333333
regular_theme_0.7,2025-11,3,15,0.0032474731189086146,0.0018198890919738143,0.6666666666666666
regular_theme_0.7,2025-11,5,15,0.006303108470840551,0.0027905364250217835,0.6666666666666666
regular_theme_0.7,2025-11,10,15,0.008780935742360552,0.00021056385962856544,0.5333333333333333
regular_theme_0.7,2025-11,15,15,0.006818563405470799,-0.00033982365243336846,0.4
baseline,2025-12,1,1860,-0.0009108773459171075,-0.0004999550067490642,0.2467741935483871
baseline,2025-12,3,1859,-0.0003235446698917821,-0.0004999550067490642,0.31091984938138784
baseline,2025-12,5,1856,-0.0008495496509552336,-0.0004999550067490642,0.31842672413793105
baseline,2025-12,10,1851,-0.00075126351742894,-0.0004999550067491752,0.35548352242031334
baseline,2025-12,15,1846,-0.001082525422253322,-0.0004999550067491752,0.36728060671722645
regular,2025-12,1,560,-0.0007971255117723765,-0.0005115415567074842,0.325
regular,2025-12,3,560,-0.0007949347573584295,-0.0005318307469218906,0.3732142857142857
regular,2025-12,5,560,-0.0010339259029040885,-0.0005903599606654429,0.3517857142857143
regular,2025-12,10,559,-0.0004064027555394693,-0.0005557293899779656,0.407871198568873
regular,2025-12,15,559,-0.0007425044471997006,-0.0004999550067491752,0.43828264758497315
regular_both,2025-12,1,27,0.0016887852580666051,-0.000461400655635291,0.48148148148148145
regular_both,2025-12,3,27,0.0025478978489236878,0.0016819139783627924,0.5555555555555556
regular_both,2025-12,5,27,0.003848422337010815,0.0016444037341203145,0.5555555555555556
regular_both,2025-12,10,27,0.0071581546711331845,0.002285145757852747,0.7407407407407407
regular_both,2025-12,15,27,0.007524453814676035,0.0027582426742549294,0.6666666666666666
regular_confirmed,2025-12,1,393,-0.0007371991274494976,-0.0004999550067490642,0.3231552162849873
regular_confirmed,2025-12,3,393,-0.0006788497800831626,-0.0005289234230051674,0.3638676844783715
regular_confirmed,2025-12,5,393,-0.0008544224834988814,-0.0004999550067490642,0.361323155216285
regular_confirmed,2025-12,10,392,-0.00045326075295508135,-0.0004999550067491197,0.4107142857142857
regular_confirmed,2025-12,15,392,-0.0006737334304246034,-0.0004999550067491752,0.4260204081632653
regular_confirmed_both,2025-12,1,21,0.0005575644230547779,-0.001137428466075696,0.42857142857142855
regular_confirmed_both,2025-12,3,21,0.0007977184985066851,0.00010076896679753772,0.5238095238095238
regular_confirmed_both,2025-12,5,21,0.001952138139610619,-0.0016177709348071056,0.47619047619047616
regular_confirmed_both,2025-12,10,21,0.0057982943122582885,0.001215531985946572,0.6666666666666666
regular_confirmed_both,2025-12,15,21,0.005742807451755143,0.0016444037341203145,0.5714285714285714
regular_confirmed_theme_0.6,2025-12,1,67,0.0005354942067796771,-0.0007116213300591088,0.3880597014925373
regular_confirmed_theme_0.6,2025-12,3,67,0.000684070885313756,-0.0002535515524388019,0.44776119402985076
regular_confirmed_theme_0.6,2025-12,5,67,0.001376565527201783,-0.00024082725861709325,0.44776119402985076
regular_confirmed_theme_0.6,2025-12,10,67,0.0031885045261747375,0.0008085529055459119,0.6268656716417911
regular_confirmed_theme_0.6,2025-12,15,67,0.0025953460541751875,0.0003134705790876826,0.5223880597014925
regular_confirmed_theme_0.7,2025-12,1,20,3.303178141747546e-05,0.0001506889183336748,0.55
regular_confirmed_theme_0.7,2025-12,3,20,-0.000353097602242519,0.00011527351683940942,0.5
regular_confirmed_theme_0.7,2025-12,5,20,0.0007907229291691855,0.0003356681690947829,0.5
regular_confirmed_theme_0.7,2025-12,10,20,0.0017825770781274013,0.0011068807130264259,0.7
regular_confirmed_theme_0.7,2025-12,15,20,0.0004697003572778528,0.0007175511172540008,0.6
regular_theme_0.6,2025-12,1,81,0.0006709923657534679,-0.0006676102954485062,0.3950617283950617
regular_theme_0.6,2025-12,3,81,0.0013091692133326382,-0.00015553724883445846,0.48148148148148145
regular_theme_0.6,2025-12,5,81,0.002462727894108836,-0.00010893090904719998,0.4691358024691358
regular_theme_0.6,2025-12,10,81,0.004857237859889083,0.000982179974708708,0.6419753086419753
regular_theme_0.6,2025-12,15,81,0.0038293208074729394,0.0008085529055459119,0.5802469135802469
regular_theme_0.7,2025-12,1,22,-0.0003179920376512317,-0.0003276301147052905,0.5
regular_theme_0.7,2025-12,3,22,-0.0004545496484123217,-0.0001128338752859002,0.5
regular_theme_0.7,2025-12,5,22,0.00041320177409094513,-0.0002827999234842558,0.45454545454545453
regular_theme_0.7,2025-12,10,22,0.0029234190834046534,0.0011068807130264259,0.6818181818181818
regular_theme_0.7,2025-12,15,22,0.0017651382078417773,0.000895452844113054,0.6363636363636364
baseline,2026-01,1,1415,-0.0007955192932915888,-0.0004999550067490642,0.3201413427561837
baseline,2026-01,3,1411,-0.0011008361953455438,-0.0004999550067490642,0.34443656980864634
baseline,2026-01,5,1405,-0.001242044387267257,-0.0004999550067490642,0.36725978647686836
baseline,2026-01,10,1389,-0.0009378518436217509,-0.0004999550067490642,0.39164866810655147
baseline,2026-01,15,1380,-0.0010869919373516469,-0.0004999550067491752,0.4036231884057971
regular,2026-01,1,545,-0.00050877983399376,-0.0003919902089744241,0.41651376146788993
regular,2026-01,3,545,-0.0004279766095186207,-0.0003079880263368249,0.43853211009174314
regular,2026-01,5,545,-1.778522193888565e-05,-0.0003977450271472003,0.44954128440366975
regular,2026-01,10,545,-6.0670696326145446e-05,-0.0006279329936902609,0.44587155963302755
